alternative_id,decision_id,action,score,cost,benefit,liquidity_impact,risk
ALT_FUT_DEC_FUT_004_5,DEC_FUT_004,Retain Cash,0.8,11699.07,13470.51,97601.24,0.45
ALT_FUT_DEC_FUT_005_1,DEC_FUT_005,Pay Now,0.89,12876.73,26614.78,-80602.62,0.18
ALT_FUT_DEC_FUT_005_2,DEC_FUT_005,Pay at Maturity,0.82,19564.1,26310.68,-76898.22,0.41
ALT_FUT_DEC_FUT_005_3,DEC_FUT_005,Bank Financing,0.76,18002.67,16925.2,28373.28,0.26
ALT_FUT_DEC_FUT_005_4,DEC_FUT_005,Supplier Financing,0.73,8247.46,13396.23,-91076.62,0.28
ALT_FUT_DEC_FUT_005_5,DEC_FUT_005,Retain Cash,0.69,16904.5,30391.1,-69773.87,0.38
ALT_FUT_DEC_FUT_006_1,DEC_FUT_006,Pay Now,0.89,6758.04,17615.6,-1676.16,0.38
ALT_FUT_DEC_FUT_006_2,DEC_FUT_006,Pay at Maturity,0.63,17509.1,11047.35,94843.88,0.28
ALT_FUT_DEC_FUT_006_3,DEC_FUT_006,Bank Financing,0.89,6118.98,23754.77,29110.96,0.18
ALT_FUT_DEC_FUT_006_4,DEC_FUT_006,Supplier Financing,0.67,16655.42,38342.52,51898.66,0.45
ALT_FUT_DEC_FUT_006_5,DEC_FUT_006,Retain Cash,0.89,10790.12,12153.76,-37775.38,0.3
ALT_FUT_DEC_FUT_007_1,DEC_FUT_007,Pay Now,0.91,4813.81,7593.24,-93385.79,0.12
ALT_FUT_DEC_FUT_007_2,DEC_FUT_007,Pay at Maturity,0.73,4783.09,21575.84,-7156.31,0.26
ALT_FUT_DEC_FUT_007_3,DEC_FUT_007,Bank Financing,0.92,13942.31,15887.21,-2242.65,0.28
ALT_FUT_DEC_FUT_007_4,DEC_FUT_007,Supplier Financing,0.94,10017.06,29810.02,-31150.2,0.44
ALT_FUT_DEC_FUT_007_5,DEC_FUT_007,Retain Cash,0.69,16786.53,9067.64,-94509.9,0.12
ALT_FUT_DEC_FUT_008_1,DEC_FUT_008,Pay Now,0.77,6616.49,45811.02,-19080.22,0.39
ALT_FUT_DEC_FUT_008_2,DEC_FUT_008,Pay at Maturity,0.8,19900.32,41720.66,-31366.59,0.39
ALT_FUT_DEC_FUT_008_3,DEC_FUT_008,Bank Financing,0.84,13127.96,26408.08,88133.59,0.24
ALT_FUT_DEC_FUT_008_4,DEC_FUT_008,Supplier Financing,0.71,4229.75,34592.66,11649.61,0.22
ALT_FUT_DEC_FUT_008_5,DEC_FUT_008,Retain Cash,0.76,15077.46,37633.4,11806.33,0.47
ALT_FUT_DEC_FUT_009_1,DEC_FUT_009,Pay Now,0.91,10509.07,44037.4,-23666.16,0.22
ALT_FUT_DEC_FUT_009_2,DEC_FUT_009,Pay at Maturity,0.62,17230.56,11181.44,-59940.68,0.26
ALT_FUT_DEC_FUT_009_3,DEC_FUT_009,Bank Financing,0.8,18225.8,25590.71,-36723.31,0.39
ALT_FUT_DEC_FUT_009_4,DEC_FUT_009,Supplier Financing,0.87,10264.04,33396.47,-64635.15,0.35
ALT_FUT_DEC_FUT_009_5,DEC_FUT_009,Retain Cash,0.6,6197.03,39253.7,-66278.85,0.41
ALT_FUT_DEC_FUT_010_1,DEC_FUT_010,Pay Now,0.67,8088.93,5633.47,-35557.37,0.43
ALT_FUT_DEC_FUT_010_2,DEC_FUT_010,Pay at Maturity,0.67,13858.21,33200.91,-50235.38,0.38
ALT_FUT_DEC_FUT_010_3,DEC_FUT_010,Bank Financing,0.72,3449.69,22259.77,17734.14,0.17
ALT_FUT_DEC_FUT_010_4,DEC_FUT_010,Supplier Financing,0.89,6665.84,18087.25,45566.38,0.34
ALT_FUT_DEC_FUT_010_5,DEC_FUT_010,Retain Cash,0.72,17871.51,49796.26,-31453.43,0.46
ALT_FUT_DEC_FUT_011_1,DEC_FUT_011,Pay Now,0.76,3348.31,16373.22,40373.64,0.18
ALT_FUT_DEC_FUT_011_2,DEC_FUT_011,Pay at Maturity,0.84,1176.79,23939.22,-79804.03,0.31
ALT_FUT_DEC_FUT_011_3,DEC_FUT_011,Bank Financing,0.82,14313.8,23847.16,79724.39,0.3
ALT_FUT_DEC_FUT_011_4,DEC_FUT_011,Supplier Financing,0.82,6371.43,40314.2,-452.19,0.34
ALT_FUT_DEC_FUT_011_5,DEC_FUT_011,Retain Cash,0.87,16798.48,48790.39,-28415.63,0.26
ALT_FUT_DEC_FUT_012_1,DEC_FUT_012,Pay Now,0.88,17608.67,43351.19,-27957.07,0.37
ALT_FUT_DEC_FUT_012_2,DEC_FUT_012,Pay at Maturity,0.75,3202.12,43306.07,78058.4,0.1
ALT_FUT_DEC_FUT_012_3,DEC_FUT_012,Bank Financing,0.65,13296.77,19789.74,78905.52,0.48
ALT_FUT_DEC_FUT_012_4,DEC_FUT_012,Supplier Financing,0.69,14928.29,21768.0,-31455.46,0.15
ALT_FUT_DEC_FUT_012_5,DEC_FUT_012,Retain Cash,0.74,9674.24,42606.88,37980.49,0.29
ALT_FUT_DEC_FUT_013_1,DEC_FUT_013,Pay Now,0.92,3145.81,23507.79,-90805.53,0.2
ALT_FUT_DEC_FUT_013_2,DEC_FUT_013,Pay at Maturity,0.71,14386.8,35506.8,53505.74,0.33
ALT_FUT_DEC_FUT_013_3,DEC_FUT_013,Bank Financing,0.8,19580.02,35143.0,-32339.87,0.31
ALT_FUT_DEC_FUT_013_4,DEC_FUT_013,Supplier Financing,0.85,2809.6,34777.1,-50284.6,0.24
ALT_FUT_DEC_FUT_013_5,DEC_FUT_013,Retain Cash,0.84,8312.66,42756.49,11668.85,0.5
ALT_FUT_DEC_FUT_014_1,DEC_FUT_014,Pay Now,0.74,14300.27,38679.21,-40217.37,0.38
ALT_FUT_DEC_FUT_014_2,DEC_FUT_014,Pay at Maturity,0.9,14525.61,47098.04,26516.66,0.18
ALT_FUT_DEC_FUT_014_3,DEC_FUT_014,Bank Financing,0.82,6521.01,20538.21,34474.74,0.49
ALT_FUT_DEC_FUT_014_4,DEC_FUT_014,Supplier Financing,0.83,19208.2,27675.2,38862.39,0.23
ALT_FUT_DEC_FUT_014_5,DEC_FUT_014,Retain Cash,0.64,7692.52,26616.65,14127.64,0.37
