invoice_id,supplier_id,company_id,amount,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,status,actual_payment_date,data_source
INV00063,SUP010,COMP001,36835476.8,2025-05-02,1.5,2025-05-22,1.0,INR,IMPS,PAID,2025-06-30,HISTORICAL
INV00064,SUP003,COMP001,53546999.83,2025-12-08,2.5,2025-12-15,0.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00065,SUP011,COMP001,34242370.49,2025-01-14,1.5,2025-02-03,1.0,INR,RTGS,PAID,2025-03-14,HISTORICAL
INV00066,SUP005,COMP001,27750119.94,2025-06-05,1.0,2025-06-20,0.0,INR,IMPS,PAID,2025-07-17,HISTORICAL
INV00067,SUP004,COMP001,40120095.59,2025-09-02,1.0,2025-09-12,1.0,INR,RTGS,PAID,2025-10-03,HISTORICAL
INV00068,SUP003,COMP001,49239259.07,2025-08-21,0.0,,1.0,INR,RTGS,OVERDUE,,HISTORICAL
INV00069,SUP015,COMP001,47219422.93,2025-07-01,1.5,2025-07-16,0.0,INR,NEFT,PAID,2025-08-14,HISTORICAL
INV00070,SUP012,COMP001,28709129.31,2025-01-08,2.0,2025-01-28,2.0,INR,CHEQUE,PAID,2025-03-09,HISTORICAL
INV00071,SUP004,COMP001,37606917.5,2025-01-23,0.0,,1.5,INR,RTGS,OVERDUE,,HISTORICAL
INV00072,SUP014,COMP001,29085572.26,2025-10-09,2.5,2025-10-24,2.0,INR,NEFT,PAID,2025-11-25,HISTORICAL
INV00073,SUP005,COMP001,38636448.2,2025-01-29,2.0,2025-02-13,0.0,INR,CHEQUE,PAID,2025-03-31,HISTORICAL
INV00074,SUP013,COMP001,19201374.04,2025-03-11,0.0,,0.0,INR,NEFT,PAID,2025-05-29,HISTORICAL
INV00075,SUP014,COMP001,33567438.77,2025-07-10,0.0,,1.5,INR,IMPS,PAID,2025-08-22,HISTORICAL
INV00076,SUP008,COMP001,25182057.86,2025-02-10,1.0,2025-02-25,1.0,INR,IMPS,PAID,2025-03-26,HISTORICAL
INV00077,SUP013,COMP001,43034507.6,2025-01-16,0.0,,0.0,INR,NEFT,PAID,2025-03-16,HISTORICAL
INV00078,SUP005,COMP001,21346416.85,2025-05-11,0.0,,1.5,INR,RTGS,OVERDUE,,HISTORICAL
INV00079,SUP006,COMP001,3344718.31,2025-03-26,1.5,2025-04-10,1.5,INR,CHEQUE,PAID,2025-05-07,HISTORICAL
INV00080,SUP011,COMP001,44696490.19,2025-06-13,0.0,,1.0,INR,RTGS,PAID,2025-08-14,HISTORICAL
INV00081,SUP009,COMP001,34620205.16,2025-07-24,1.5,2025-08-08,0.0,INR,CHEQUE,PAID,2025-09-07,HISTORICAL
INV00082,SUP013,COMP001,25615769.83,2025-12-19,0.0,,1.5,INR,IMPS,PENDING,,HISTORICAL
INV00083,SUP004,COMP001,8101130.34,2025-02-02,2.0,2025-02-12,0.0,INR,CHEQUE,PAID,2025-03-03,HISTORICAL
INV00084,SUP012,COMP001,57681582.35,2025-07-28,0.0,,1.0,INR,NEFT,PAID,2025-09-26,HISTORICAL
INV00085,SUP002,COMP001,29831214.31,2025-11-19,0.0,,1.0,INR,CHEQUE,PAID,2025-12-19,HISTORICAL
INV00086,SUP003,COMP001,34701476.05,2025-12-01,2.0,2025-12-08,1.5,INR,CHEQUE,PAID,2025-12-15,HISTORICAL
INV00087,SUP010,COMP001,30429227.65,2025-03-15,0.0,,0.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00088,SUP008,COMP001,28914358.47,2025-04-04,1.5,2025-04-19,1.5,INR,IMPS,PAID,2025-05-16,HISTORICAL
INV00089,SUP013,COMP001,30582012.26,2025-02-20,2.0,2025-03-12,1.5,INR,RTGS,PAID,2025-04-18,HISTORICAL
INV00090,SUP001,COMP001,27850283.64,2025-07-15,0.0,,0.0,INR,RTGS,PAID,2025-08-14,HISTORICAL
INV00091,SUP015,COMP001,27489949.4,2025-10-08,1.5,2025-10-23,0.0,INR,NEFT,PAID,2025-11-21,HISTORICAL
INV00092,SUP003,COMP001,46969708.86,2025-04-23,0.0,,0.0,INR,IMPS,PAID,2025-05-09,HISTORICAL
INV00093,SUP001,COMP001,5221748.37,2025-04-13,0.0,,2.0,INR,RTGS,PAID,2025-05-13,HISTORICAL
INV00094,SUP003,COMP001,18067647.23,2025-08-25,0.0,,1.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00095,SUP006,COMP001,19659479.89,2025-05-05,2.0,2025-05-20,1.5,INR,NEFT,PAID,2025-06-19,HISTORICAL
INV00096,SUP014,COMP001,48510195.02,2025-04-20,1.0,2025-05-05,1.0,INR,IMPS,PAID,2025-06-01,HISTORICAL
INV00097,SUP006,COMP001,20191185.99,2025-12-01,2.0,2025-12-16,1.5,INR,CHEQUE,PENDING,,HISTORICAL
INV00098,SUP001,COMP001,33548733.08,2025-05-11,0.0,,1.0,INR,NEFT,OVERDUE,,HISTORICAL
INV00099,SUP001,COMP001,43568851.38,2025-08-06,0.0,,0.0,INR,RTGS,PAID,2025-09-03,HISTORICAL
INV00100,SUP010,COMP001,41424310.62,2025-06-23,0.0,,1.0,INR,CHEQUE,PAID,2025-08-21,HISTORICAL
INV00101,SUP011,COMP001,50605172.45,2025-06-08,1.5,2025-06-28,0.0,INR,NEFT,PAID,2025-08-10,HISTORICAL
INV00102,SUP013,COMP001,41808613.12,2025-02-11,0.0,,1.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00103,SUP004,COMP001,6061544.6,2025-05-06,0.0,,2.0,INR,IMPS,PAID,2025-06-12,HISTORICAL
INV00104,SUP003,COMP001,3412503.98,2025-11-30,0.0,,1.0,INR,RTGS,PAID,2025-12-12,HISTORICAL
INV00105,SUP012,COMP001,12659738.83,2025-04-02,2.0,2025-04-22,2.0,INR,NEFT,PAID,2025-06-06,HISTORICAL
INV00106,SUP001,COMP001,59262688.72,2025-06-06,1.0,2025-06-16,0.0,INR,NEFT,PAID,2025-07-04,HISTORICAL
INV00107,SUP010,COMP001,17093060.62,2025-05-13,0.0,,0.0,INR,RTGS,PAID,2025-07-12,HISTORICAL
INV00108,SUP014,COMP001,7783190.74,2025-11-03,1.5,2025-11-18,0.0,INR,NEFT,PAID,2025-12-17,HISTORICAL
INV00109,SUP006,COMP001,24914661.1,2025-09-08,0.0,,2.0,INR,RTGS,PAID,2025-10-20,HISTORICAL
INV00110,SUP014,COMP001,28857805.37,2025-09-18,1.0,2025-10-03,0.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00111,SUP015,COMP001,32559113.79,2025-05-25,2.0,2025-06-09,0.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00112,SUP013,COMP001,8725523.77,2025-04-16,2.0,2025-05-06,0.0,INR,RTGS,PAID,2025-06-14,HISTORICAL
INV00113,SUP005,COMP001,3841663.74,2025-08-12,0.0,,0.0,INR,NEFT,PAID,2025-09-26,HISTORICAL
INV00114,SUP002,COMP001,7501360.09,2025-02-05,2.0,2025-02-15,1.0,INR,IMPS,PAID,2025-03-10,HISTORICAL
INV00115,SUP008,COMP001,37173031.88,2025-07-17,1.0,2025-08-01,0.0,INR,CHEQUE,PAID,2025-08-28,HISTORICAL
INV00116,SUP006,COMP001,23204982.86,2025-02-09,2.0,2025-02-24,1.0,INR,IMPS,PAID,2025-03-25,HISTORICAL
INV00117,SUP011,COMP001,5538653.83,2025-04-13,1.5,2025-05-03,1.0,INR,RTGS,PAID,2025-06-12,HISTORICAL
INV00118,SUP005,COMP001,26730437.15,2025-10-11,0.0,,0.0,INR,NEFT,PAID,2025-11-25,HISTORICAL
INV00119,SUP013,COMP001,14499968.93,2025-04-04,0.0,,1.5,INR,NEFT,PAID,2025-06-01,HISTORICAL
INV00120,SUP002,COMP001,14905740.33,2025-05-04,1.5,2025-05-14,2.0,INR,NEFT,PAID,2025-06-11,HISTORICAL
INV00121,SUP011,COMP001,28864137.12,2025-11-08,0.0,,2.0,INR,IMPS,PENDING,,HISTORICAL
INV00122,SUP003,COMP001,46919627.67,2025-10-14,1.0,2025-10-21,2.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00123,SUP013,COMP001,45789837.08,2025-09-02,2.5,2025-09-22,2.0,INR,NEFT,OVERDUE,,HISTORICAL
INV00124,SUP002,COMP001,6966562.25,2025-11-25,1.5,2025-12-05,0.0,INR,RTGS,PAID,2025-12-22,HISTORICAL
INV00125,SUP013,COMP001,19591891.48,2025-12-04,0.0,,1.0,INR,CHEQUE,PENDING,,HISTORICAL
INV00126,SUP006,COMP001,5978315.31,2025-11-03,1.5,2025-11-18,0.0,INR,IMPS,PAID,2025-12-17,HISTORICAL
INV00127,SUP011,COMP001,22892784.05,2025-09-04,2.5,2025-09-24,1.5,INR,RTGS,PAID,2025-11-02,HISTORICAL
INV00128,SUP004,COMP001,18857125.8,2025-12-09,0.0,,2.0,INR,NEFT,PENDING,,HISTORICAL
INV00129,SUP008,COMP001,10134259.14,2025-10-21,0.0,,1.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00130,SUP015,COMP001,15257690.11,2025-03-30,1.5,2025-04-14,1.0,INR,NEFT,PAID,2025-05-12,HISTORICAL
INV00131,SUP001,COMP001,3812834.0,2025-07-06,1.0,2025-07-16,0.0,INR,IMPS,PAID,2025-08-04,HISTORICAL
INV00132,SUP007,COMP001,51219082.72,2025-09-20,1.5,2025-09-30,0.0,INR,IMPS,PAID,2025-10-20,HISTORICAL
INV00133,SUP013,COMP001,8868624.11,2025-09-20,0.0,,2.0,INR,CHEQUE,PAID,2025-11-16,HISTORICAL
INV00134,SUP013,COMP001,53005991.6,2025-10-27,2.0,2025-11-16,1.5,INR,NEFT,PAID,2025-12-23,HISTORICAL
INV00135,SUP010,COMP001,37004053.16,2025-10-28,0.0,,1.0,INR,IMPS,PAID,2025-12-27,HISTORICAL
INV00136,SUP011,COMP001,48041129.26,2025-03-03,2.0,2025-03-23,0.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00137,SUP004,COMP001,35274439.15,2025-04-28,2.5,2025-05-08,0.0,INR,IMPS,PAID,2025-05-25,HISTORICAL
INV00138,SUP014,COMP001,55115633.89,2025-05-11,2.0,2025-05-26,0.0,INR,RTGS,PAID,2025-06-25,HISTORICAL
INV00139,SUP002,COMP001,13495785.96,2025-07-15,1.0,2025-07-25,2.0,INR,RTGS,PAID,2025-08-11,HISTORICAL
INV00140,SUP015,COMP001,49151681.9,2025-06-02,0.0,,0.0,INR,IMPS,PAID,2025-07-22,HISTORICAL
INV00141,SUP004,COMP001,55932202.74,2025-09-16,0.0,,1.5,INR,RTGS,PAID,2025-10-13,HISTORICAL
INV00142,SUP004,COMP001,48233225.56,2025-10-14,0.0,,2.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00143,SUP010,COMP001,44742748.6,2025-06-16,1.0,2025-07-06,0.0,INR,RTGS,PAID,2025-08-12,HISTORICAL
INV00144,SUP008,COMP001,53285675.08,2025-05-10,2.0,2025-05-25,1.5,INR,IMPS,PAID,2025-06-24,HISTORICAL
INV00145,SUP004,COMP001,32630588.22,2025-09-09,1.5,2025-09-19,0.0,INR,CHEQUE,PAID,2025-10-16,HISTORICAL
INV00146,SUP009,COMP001,41445522.24,2025-01-30,0.0,,1.5,INR,CHEQUE,PAID,2025-03-15,HISTORICAL
INV00147,SUP004,COMP001,17145619.92,2025-02-08,2.0,2025-02-18,1.5,INR,RTGS,PAID,2025-03-09,HISTORICAL
INV00148,SUP006,COMP001,40060907.41,2025-07-16,2.0,2025-07-31,1.0,INR,NEFT,PAID,2025-08-27,HISTORICAL
INV00149,SUP001,COMP001,26530572.71,2025-04-12,1.0,2025-04-22,0.0,INR,NEFT,OVERDUE,,HISTORICAL
INV00150,SUP009,COMP001,14111910.56,2025-06-14,0.0,,0.0,INR,RTGS,PAID,2025-07-26,HISTORICAL
INV00151,SUP006,COMP001,47910878.63,2025-11-16,2.5,2025-12-01,0.0,INR,NEFT,PAID,2025-12-31,HISTORICAL
INV00152,SUP009,COMP001,31552396.9,2025-06-12,0.0,,1.5,INR,NEFT,OVERDUE,,HISTORICAL
INV00153,SUP012,COMP001,29939231.53,2025-01-24,0.0,,1.0,INR,CHEQUE,PAID,2025-03-24,HISTORICAL
INV00154,SUP011,COMP001,35588666.42,2025-05-18,1.5,2025-06-07,2.0,INR,CHEQUE,PAID,2025-07-17,HISTORICAL
INV00155,SUP008,COMP001,11754884.54,2025-09-29,0.0,,1.5,INR,IMPS,PAID,2025-11-13,HISTORICAL
INV00156,SUP008,COMP001,54270624.05,2025-11-04,1.5,2025-11-19,0.0,INR,NEFT,PAID,2025-12-24,HISTORICAL
INV00157,SUP007,COMP001,49445617.01,2025-04-28,0.0,,0.0,INR,RTGS,PAID,2025-05-26,HISTORICAL
INV00158,SUP006,COMP001,49071133.15,2025-08-29,1.0,2025-09-13,1.5,INR,IMPS,PAID,2025-10-10,HISTORICAL
INV00159,SUP015,COMP001,55987607.6,2025-11-23,2.5,2025-12-08,0.0,INR,IMPS,PENDING,,HISTORICAL
INV00160,SUP013,COMP001,21158221.35,2025-03-07,0.0,,0.0,INR,CHEQUE,PAID,2025-05-04,HISTORICAL
INV00161,SUP009,COMP001,47606210.75,2025-08-11,2.5,2025-08-26,1.5,INR,IMPS,OVERDUE,,HISTORICAL
INV00162,SUP013,COMP001,22664229.38,2025-02-04,2.0,2025-02-24,0.0,INR,RTGS,PAID,2025-05-01,HISTORICAL
INV00163,SUP001,COMP001,23073412.31,2025-10-07,0.0,,1.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00164,SUP003,COMP001,16952316.97,2025-02-09,0.0,,1.0,INR,NEFT,PAID,2025-02-21,HISTORICAL
INV00165,SUP009,COMP001,20169572.05,2025-02-24,0.0,,1.5,INR,RTGS,PAID,2025-04-09,HISTORICAL
INV00166,SUP014,COMP001,42155109.89,2025-07-04,0.0,,2.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00167,SUP007,COMP001,15149695.73,2025-02-06,2.5,2025-02-16,2.0,INR,CHEQUE,PAID,2025-03-14,HISTORICAL
INV00168,SUP011,COMP001,36383609.38,2025-10-05,2.5,2025-10-25,1.5,INR,NEFT,PAID,2025-12-03,HISTORICAL
INV00169,SUP010,COMP001,6838697.27,2025-01-21,0.0,,1.0,INR,CHEQUE,PAID,2025-03-19,HISTORICAL
INV00170,SUP012,COMP001,13024326.86,2025-08-17,1.0,2025-09-06,2.0,INR,IMPS,PAID,2025-10-13,HISTORICAL
INV00171,SUP014,COMP001,3049418.23,2025-03-04,1.5,2025-03-19,0.0,INR,IMPS,PAID,2025-04-17,HISTORICAL
INV00172,SUP005,COMP001,44311823.48,2025-06-05,0.0,,2.0,INR,NEFT,PAID,2025-07-18,HISTORICAL
INV00173,SUP010,COMP001,13353019.27,2025-04-10,2.0,2025-04-30,1.5,INR,RTGS,PAID,2025-06-09,HISTORICAL
INV00174,SUP012,COMP001,21490334.58,2025-01-02,1.0,2025-01-22,1.5,INR,IMPS,PAID,2025-03-10,HISTORICAL
INV00175,SUP009,COMP001,47351805.86,2025-04-25,0.0,,2.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00176,SUP004,COMP001,22184789.5,2025-02-24,0.0,,0.0,INR,NEFT,PAID,2025-03-26,HISTORICAL
INV00177,SUP015,COMP001,25700391.42,2025-12-06,0.0,,2.0,INR,NEFT,PENDING,,HISTORICAL
INV00178,SUP012,COMP001,22904550.26,2025-05-08,1.5,2025-05-28,1.5,INR,RTGS,PAID,2025-07-06,HISTORICAL
INV00179,SUP008,COMP001,24828369.78,2025-06-07,2.5,2025-06-22,1.0,INR,IMPS,PAID,2025-07-21,HISTORICAL
INV00180,SUP012,COMP001,42812191.69,2025-09-07,1.5,2025-09-27,0.0,INR,IMPS,PAID,2025-11-03,HISTORICAL
INV00181,SUP014,COMP001,57471684.56,2025-12-06,1.0,2025-12-21,2.0,INR,IMPS,PENDING,,HISTORICAL
INV00182,SUP005,COMP001,14577587.04,2025-07-03,0.0,,1.0,INR,NEFT,PAID,2025-08-15,HISTORICAL
INV00183,SUP007,COMP001,36329327.2,2025-12-11,2.5,2025-12-21,1.5,INR,NEFT,PENDING,,HISTORICAL
INV00184,SUP007,COMP001,59212941.81,2025-02-19,1.5,2025-03-01,1.5,INR,RTGS,PAID,2025-03-18,HISTORICAL
INV00185,SUP010,COMP001,42022669.81,2025-10-06,1.5,2025-10-26,0.0,INR,NEFT,PAID,2025-12-03,HISTORICAL
INV00186,SUP008,COMP001,16200364.13,2025-09-25,0.0,,0.0,INR,IMPS,PAID,2025-11-20,HISTORICAL
INV00187,SUP010,COMP001,9834321.03,2025-07-21,0.0,,1.5,INR,RTGS,OVERDUE,,HISTORICAL
INV00188,SUP004,COMP001,13955924.63,2025-10-11,2.0,2025-10-21,0.0,INR,RTGS,PAID,2025-11-09,HISTORICAL
INV00189,SUP012,COMP001,11560634.11,2025-06-26,0.0,,0.0,INR,IMPS,PAID,2025-08-25,HISTORICAL
INV00190,SUP002,COMP001,33263380.34,2025-04-10,2.0,2025-04-20,1.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00191,SUP015,COMP001,13790443.32,2025-11-17,0.0,,1.5,INR,IMPS,PENDING,,HISTORICAL
INV00192,SUP002,COMP001,25990384.77,2025-10-21,0.0,,1.0,INR,NEFT,PAID,2025-11-20,HISTORICAL
INV00193,SUP014,COMP001,10907101.14,2025-07-01,2.5,2025-07-16,1.5,INR,CHEQUE,PAID,2025-08-12,HISTORICAL
INV00194,SUP003,COMP001,29941666.32,2025-09-04,0.0,,1.5,INR,CHEQUE,PAID,2025-09-16,HISTORICAL
INV00195,SUP005,COMP001,51949960.86,2025-03-02,1.5,2025-03-17,0.0,INR,CHEQUE,OVERDUE,,HISTORICAL
INV00196,SUP005,COMP001,48519338.88,2025-03-28,1.0,2025-04-12,2.0,INR,CHEQUE,PAID,2025-05-10,HISTORICAL
INV00197,SUP001,COMP001,59001510.19,2025-01-01,1.5,2025-01-11,0.0,INR,NEFT,PAID,2025-01-29,HISTORICAL
INV00198,SUP010,COMP001,40515769.14,2025-06-17,0.0,,2.0,INR,RTGS,PAID,2025-08-16,HISTORICAL
INV00199,SUP007,COMP001,15137166.71,2025-08-20,0.0,,0.0,INR,CHEQUE,PAID,2025-09-17,HISTORICAL
INV00200,SUP001,COMP001,5772139.02,2025-02-08,0.0,,0.0,INR,CHEQUE,PAID,2025-03-08,HISTORICAL
INV00201,SUP004,COMP001,54272235.08,2025-12-21,2.0,2025-12-31,1.0,INR,IMPS,PENDING,,HISTORICAL
INV00202,SUP002,COMP001,17565061.22,2025-09-22,0.0,,0.0,INR,IMPS,OVERDUE,,HISTORICAL
INV00203,SUP003,COMP001,39267007.7,2025-07-03,2.0,2025-07-10,0.0,INR,CHEQUE,PAID,2025-07-17,HISTORICAL
INV00204,SUP008,COMP001,9366595.43,2025-02-19,1.0,2025-03-06,1.0,INR,RTGS,PAID,2025-04-20,HISTORICAL
INV00205,SUP007,COMP001,59118384.12,2025-04-08,0.0,,1.0,INR,NEFT,PAID,2025-05-07,HISTORICAL
INV00206,SUP010,COMP001,47544705.26,2025-07-19,0.0,,2.0,INR,NEFT,PAID,2025-10-07,HISTORICAL
INV00207,SUP006,COMP001,37039778.02,2025-11-22,0.0,,0.0,INR,RTGS,PENDING,,HISTORICAL
