record_type,entity_id,company_id,supplier_id,customer_id,date,amount,status,data_source,details
INVOICES,INV00015,COMP001,SUP014,,2025-06-21,40847477.19,PAID,HISTORICAL,"{'invoice_id': 'INV00015', 'supplier_id': 'SUP014', 'company_id': 'COMP001', 'amount': 40847477.19, 'issue_date': '2025-06-21', 'discount_percentage': 2.5, 'discount_deadline': '2025-07-06', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-08-25', 'data_source': 'HISTORICAL'}"
INVOICES,INV00016,COMP001,SUP004,,2025-10-08,11592591.68,PAID,HISTORICAL,"{'invoice_id': 'INV00016', 'supplier_id': 'SUP004', 'company_id': 'COMP001', 'amount': 11592591.68, 'issue_date': '2025-10-08', 'discount_percentage': 2.0, 'discount_deadline': '2025-10-18', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-11-14', 'data_source': 'HISTORICAL'}"
INVOICES,INV00017,COMP001,SUP009,,2025-04-27,12926812.96,PAID,HISTORICAL,"{'invoice_id': 'INV00017', 'supplier_id': 'SUP009', 'company_id': 'COMP001', 'amount': 12926812.96, 'issue_date': '2025-04-27', 'discount_percentage': 1.0, 'discount_deadline': '2025-05-12', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-06-09', 'data_source': 'HISTORICAL'}"
INVOICES,INV00018,COMP001,SUP003,,2025-10-18,8355520.7,PAID,HISTORICAL,"{'invoice_id': 'INV00018', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 8355520.7, 'issue_date': '2025-10-18', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-11-04', 'data_source': 'HISTORICAL'}"
INVOICES,INV00019,COMP001,SUP015,,2025-04-03,38867845.39,PAID,HISTORICAL,"{'invoice_id': 'INV00019', 'supplier_id': 'SUP015', 'company_id': 'COMP001', 'amount': 38867845.39, 'issue_date': '2025-04-03', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-05-15', 'data_source': 'HISTORICAL'}"
INVOICES,INV00020,COMP001,SUP003,,2025-01-02,56162064.41,OVERDUE,HISTORICAL,"{'invoice_id': 'INV00020', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 56162064.41, 'issue_date': '2025-01-02', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'OVERDUE', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00021,COMP001,SUP008,,2025-02-07,12441264.31,PAID,HISTORICAL,"{'invoice_id': 'INV00021', 'supplier_id': 'SUP008', 'company_id': 'COMP001', 'amount': 12441264.31, 'issue_date': '2025-02-07', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-03-24', 'data_source': 'HISTORICAL'}"
INVOICES,INV00022,COMP001,SUP006,,2025-09-15,12113087.75,PAID,HISTORICAL,"{'invoice_id': 'INV00022', 'supplier_id': 'SUP006', 'company_id': 'COMP001', 'amount': 12113087.75, 'issue_date': '2025-09-15', 'discount_percentage': 2.0, 'discount_deadline': '2025-09-30', 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-10-30', 'data_source': 'HISTORICAL'}"
INVOICES,INV00023,COMP001,SUP007,,2025-11-10,14495537.69,PAID,HISTORICAL,"{'invoice_id': 'INV00023', 'supplier_id': 'SUP007', 'company_id': 'COMP001', 'amount': 14495537.69, 'issue_date': '2025-11-10', 'discount_percentage': 2.5, 'discount_deadline': '2025-11-20', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-12-09', 'data_source': 'HISTORICAL'}"
INVOICES,INV00024,COMP001,SUP003,,2025-12-18,17622135.85,PENDING,HISTORICAL,"{'invoice_id': 'INV00024', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 17622135.85, 'issue_date': '2025-12-18', 'discount_percentage': 2.0, 'discount_deadline': '2025-12-25', 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PENDING', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00025,COMP001,SUP009,,2025-04-27,42164561.89,PAID,HISTORICAL,"{'invoice_id': 'INV00025', 'supplier_id': 'SUP009', 'company_id': 'COMP001', 'amount': 42164561.89, 'issue_date': '2025-04-27', 'discount_percentage': 1.0, 'discount_deadline': '2025-05-12', 'late_penalty_percentage': 1.5, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-06-09', 'data_source': 'HISTORICAL'}"
INVOICES,INV00026,COMP001,SUP013,,2025-10-17,22048776.9,OVERDUE,HISTORICAL,"{'invoice_id': 'INV00026', 'supplier_id': 'SUP013', 'company_id': 'COMP001', 'amount': 22048776.9, 'issue_date': '2025-10-17', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'OVERDUE', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00027,COMP001,SUP007,,2025-02-01,20965891.37,PAID,HISTORICAL,"{'invoice_id': 'INV00027', 'supplier_id': 'SUP007', 'company_id': 'COMP001', 'amount': 20965891.37, 'issue_date': '2025-02-01', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-03-01', 'data_source': 'HISTORICAL'}"
INVOICES,INV00028,COMP001,SUP001,,2025-10-23,33227923.52,PAID,HISTORICAL,"{'invoice_id': 'INV00028', 'supplier_id': 'SUP001', 'company_id': 'COMP001', 'amount': 33227923.52, 'issue_date': '2025-10-23', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-11-19', 'data_source': 'HISTORICAL'}"
INVOICES,INV00029,COMP001,SUP003,,2025-06-06,33258803.06,OVERDUE,HISTORICAL,"{'invoice_id': 'INV00029', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 33258803.06, 'issue_date': '2025-06-06', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.5, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'OVERDUE', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00030,COMP001,SUP001,,2025-07-01,16201189.95,PAID,HISTORICAL,"{'invoice_id': 'INV00030', 'supplier_id': 'SUP001', 'company_id': 'COMP001', 'amount': 16201189.95, 'issue_date': '2025-07-01', 'discount_percentage': 1.5, 'discount_deadline': '2025-07-11', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-07-29', 'data_source': 'HISTORICAL'}"
INVOICES,INV00031,COMP001,SUP015,,2025-07-12,16962562.82,PAID,HISTORICAL,"{'invoice_id': 'INV00031', 'supplier_id': 'SUP015', 'company_id': 'COMP001', 'amount': 16962562.82, 'issue_date': '2025-07-12', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-08-25', 'data_source': 'HISTORICAL'}"
INVOICES,INV00032,COMP001,SUP004,,2025-06-25,38381645.65,PAID,HISTORICAL,"{'invoice_id': 'INV00032', 'supplier_id': 'SUP004', 'company_id': 'COMP001', 'amount': 38381645.65, 'issue_date': '2025-06-25', 'discount_percentage': 2.5, 'discount_deadline': '2025-07-05', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-07-22', 'data_source': 'HISTORICAL'}"
INVOICES,INV00033,COMP001,SUP002,,2025-12-21,51109113.32,PENDING,HISTORICAL,"{'invoice_id': 'INV00033', 'supplier_id': 'SUP002', 'company_id': 'COMP001', 'amount': 51109113.32, 'issue_date': '2025-12-21', 'discount_percentage': 2.0, 'discount_deadline': '2025-12-31', 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PENDING', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00034,COMP001,SUP015,,2025-07-12,46757435.6,PAID,HISTORICAL,"{'invoice_id': 'INV00034', 'supplier_id': 'SUP015', 'company_id': 'COMP001', 'amount': 46757435.6, 'issue_date': '2025-07-12', 'discount_percentage': 2.0, 'discount_deadline': '2025-07-27', 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-08-30', 'data_source': 'HISTORICAL'}"
INVOICES,INV00035,COMP001,SUP005,,2025-09-29,16878072.34,PAID,HISTORICAL,"{'invoice_id': 'INV00035', 'supplier_id': 'SUP005', 'company_id': 'COMP001', 'amount': 16878072.34, 'issue_date': '2025-09-29', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-11-13', 'data_source': 'HISTORICAL'}"
INVOICES,INV00036,COMP001,SUP005,,2025-06-07,38416832.5,PAID,HISTORICAL,"{'invoice_id': 'INV00036', 'supplier_id': 'SUP005', 'company_id': 'COMP001', 'amount': 38416832.5, 'issue_date': '2025-06-07', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-08-08', 'data_source': 'HISTORICAL'}"
INVOICES,INV00037,COMP001,SUP001,,2025-11-05,45391163.71,PAID,HISTORICAL,"{'invoice_id': 'INV00037', 'supplier_id': 'SUP001', 'company_id': 'COMP001', 'amount': 45391163.71, 'issue_date': '2025-11-05', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.5, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-12-10', 'data_source': 'HISTORICAL'}"
INVOICES,INV00038,COMP001,SUP008,,2025-08-15,27271686.0,PAID,HISTORICAL,"{'invoice_id': 'INV00038', 'supplier_id': 'SUP008', 'company_id': 'COMP001', 'amount': 27271686.0, 'issue_date': '2025-08-15', 'discount_percentage': 2.5, 'discount_deadline': '2025-08-30', 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-09-29', 'data_source': 'HISTORICAL'}"
INVOICES,INV00039,COMP001,SUP015,,2025-05-27,25707443.11,PAID,HISTORICAL,"{'invoice_id': 'INV00039', 'supplier_id': 'SUP015', 'company_id': 'COMP001', 'amount': 25707443.11, 'issue_date': '2025-05-27', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-07-08', 'data_source': 'HISTORICAL'}"
INVOICES,INV00040,COMP001,SUP006,,2025-11-01,7851856.43,PAID,HISTORICAL,"{'invoice_id': 'INV00040', 'supplier_id': 'SUP006', 'company_id': 'COMP001', 'amount': 7851856.43, 'issue_date': '2025-11-01', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-12-13', 'data_source': 'HISTORICAL'}"
INVOICES,INV00041,COMP001,SUP004,,2025-08-05,53341948.69,PAID,HISTORICAL,"{'invoice_id': 'INV00041', 'supplier_id': 'SUP004', 'company_id': 'COMP001', 'amount': 53341948.69, 'issue_date': '2025-08-05', 'discount_percentage': 2.0, 'discount_deadline': '2025-08-15', 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-09-02', 'data_source': 'HISTORICAL'}"
INVOICES,INV00042,COMP001,SUP004,,2025-04-15,41062700.77,PAID,HISTORICAL,"{'invoice_id': 'INV00042', 'supplier_id': 'SUP004', 'company_id': 'COMP001', 'amount': 41062700.77, 'issue_date': '2025-04-15', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-05-30', 'data_source': 'HISTORICAL'}"
INVOICES,INV00043,COMP001,SUP005,,2025-04-04,50760615.05,PAID,HISTORICAL,"{'invoice_id': 'INV00043', 'supplier_id': 'SUP005', 'company_id': 'COMP001', 'amount': 50760615.05, 'issue_date': '2025-04-04', 'discount_percentage': 2.5, 'discount_deadline': '2025-04-19', 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-05-23', 'data_source': 'HISTORICAL'}"
INVOICES,INV00044,COMP001,SUP005,,2025-04-05,45850148.1,PAID,HISTORICAL,"{'invoice_id': 'INV00044', 'supplier_id': 'SUP005', 'company_id': 'COMP001', 'amount': 45850148.1, 'issue_date': '2025-04-05', 'discount_percentage': 1.0, 'discount_deadline': '2025-04-20', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-05-18', 'data_source': 'HISTORICAL'}"
INVOICES,INV00045,COMP001,SUP005,,2025-03-23,45917034.35,PAID,HISTORICAL,"{'invoice_id': 'INV00045', 'supplier_id': 'SUP005', 'company_id': 'COMP001', 'amount': 45917034.35, 'issue_date': '2025-03-23', 'discount_percentage': 2.0, 'discount_deadline': '2025-04-07', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-05-10', 'data_source': 'HISTORICAL'}"
INVOICES,INV00046,COMP001,SUP005,,2025-08-31,25295955.07,PAID,HISTORICAL,"{'invoice_id': 'INV00046', 'supplier_id': 'SUP005', 'company_id': 'COMP001', 'amount': 25295955.07, 'issue_date': '2025-08-31', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-10-13', 'data_source': 'HISTORICAL'}"
INVOICES,INV00047,COMP001,SUP014,,2025-08-18,17380113.34,PAID,HISTORICAL,"{'invoice_id': 'INV00047', 'supplier_id': 'SUP014', 'company_id': 'COMP001', 'amount': 17380113.34, 'issue_date': '2025-08-18', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-10-01', 'data_source': 'HISTORICAL'}"
INVOICES,INV00048,COMP001,SUP006,,2025-09-19,10338834.65,PAID,HISTORICAL,"{'invoice_id': 'INV00048', 'supplier_id': 'SUP006', 'company_id': 'COMP001', 'amount': 10338834.65, 'issue_date': '2025-09-19', 'discount_percentage': 1.5, 'discount_deadline': '2025-10-04', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-11-03', 'data_source': 'HISTORICAL'}"
INVOICES,INV00049,COMP001,SUP004,,2025-10-12,27796321.66,PAID,HISTORICAL,"{'invoice_id': 'INV00049', 'supplier_id': 'SUP004', 'company_id': 'COMP001', 'amount': 27796321.66, 'issue_date': '2025-10-12', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-11-08', 'data_source': 'HISTORICAL'}"
INVOICES,INV00050,COMP001,SUP010,,2025-02-12,3600999.38,PAID,HISTORICAL,"{'invoice_id': 'INV00050', 'supplier_id': 'SUP010', 'company_id': 'COMP001', 'amount': 3600999.38, 'issue_date': '2025-02-12', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.5, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-04-13', 'data_source': 'HISTORICAL'}"
INVOICES,INV00051,COMP001,SUP004,,2025-02-15,47270989.44,PAID,HISTORICAL,"{'invoice_id': 'INV00051', 'supplier_id': 'SUP004', 'company_id': 'COMP001', 'amount': 47270989.44, 'issue_date': '2025-02-15', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-03-15', 'data_source': 'HISTORICAL'}"
INVOICES,INV00052,COMP001,SUP012,,2025-06-08,12874275.97,PAID,HISTORICAL,"{'invoice_id': 'INV00052', 'supplier_id': 'SUP012', 'company_id': 'COMP001', 'amount': 12874275.97, 'issue_date': '2025-06-08', 'discount_percentage': 1.5, 'discount_deadline': '2025-06-28', 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-08-05', 'data_source': 'HISTORICAL'}"
INVOICES,INV00053,COMP001,SUP001,,2025-04-22,19972961.58,PAID,HISTORICAL,"{'invoice_id': 'INV00053', 'supplier_id': 'SUP001', 'company_id': 'COMP001', 'amount': 19972961.58, 'issue_date': '2025-04-22', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'NEFT', 'status': 'PAID', 'actual_payment_date': '2025-05-20', 'data_source': 'HISTORICAL'}"
INVOICES,INV00054,COMP001,SUP008,,2025-10-05,38143020.93,PAID,HISTORICAL,"{'invoice_id': 'INV00054', 'supplier_id': 'SUP008', 'company_id': 'COMP001', 'amount': 38143020.93, 'issue_date': '2025-10-05', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'RTGS', 'status': 'PAID', 'actual_payment_date': '2025-11-17', 'data_source': 'HISTORICAL'}"
INVOICES,INV00055,COMP001,SUP012,,2025-10-11,56763705.74,PAID,HISTORICAL,"{'invoice_id': 'INV00055', 'supplier_id': 'SUP012', 'company_id': 'COMP001', 'amount': 56763705.74, 'issue_date': '2025-10-11', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 0.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-12-16', 'data_source': 'HISTORICAL'}"
INVOICES,INV00056,COMP001,SUP010,,2025-06-27,34770833.25,PAID,HISTORICAL,"{'invoice_id': 'INV00056', 'supplier_id': 'SUP010', 'company_id': 'COMP001', 'amount': 34770833.25, 'issue_date': '2025-06-27', 'discount_percentage': 2.0, 'discount_deadline': '2025-07-17', 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-08-24', 'data_source': 'HISTORICAL'}"
INVOICES,INV00057,COMP001,SUP003,,2025-03-07,27858510.24,OVERDUE,HISTORICAL,"{'invoice_id': 'INV00057', 'supplier_id': 'SUP003', 'company_id': 'COMP001', 'amount': 27858510.24, 'issue_date': '2025-03-07', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'OVERDUE', 'actual_payment_date': nan, 'data_source': 'HISTORICAL'}"
INVOICES,INV00058,COMP001,SUP009,,2025-05-30,50538408.21,PAID,HISTORICAL,"{'invoice_id': 'INV00058', 'supplier_id': 'SUP009', 'company_id': 'COMP001', 'amount': 50538408.21, 'issue_date': '2025-05-30', 'discount_percentage': 0.0, 'discount_deadline': nan, 'late_penalty_percentage': 2.0, 'currency': 'INR', 'payment_method': 'IMPS', 'status': 'PAID', 'actual_payment_date': '2025-07-18', 'data_source': 'HISTORICAL'}"
INVOICES,INV00059,COMP001,SUP012,,2025-10-09,19848338.16,PAID,HISTORICAL,"{'invoice_id': 'INV00059', 'supplier_id': 'SUP012', 'company_id': 'COMP001', 'amount': 19848338.16, 'issue_date': '2025-10-09', 'discount_percentage': 2.0, 'discount_deadline': '2025-10-29', 'late_penalty_percentage': 1.0, 'currency': 'INR', 'payment_method': 'CHEQUE', 'status': 'PAID', 'actual_payment_date': '2025-12-07', 'data_source': 'HISTORICAL'}"
