obligation_id,company_id,supplier_id,description,category,amount,issue_date,due_date,priority,status,data_source
OBL00033,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,12272653.71,2025-07-17,2025-08-31,HIGH,PAID,HISTORICAL
OBL00034,COMP001,SUP013,REGULATORY obligation – 3M India Ltd,REGULATORY,22348723.78,2025-03-13,2025-05-12,MEDIUM,OVERDUE,HISTORICAL
OBL00035,COMP001,SUP008,OTHER obligation – Bharat Forge Ltd,OTHER,20123487.25,2025-08-29,2025-10-13,HIGH,PAID,HISTORICAL
OBL00036,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,43837437.07,2025-06-19,2025-08-03,CRITICAL,PAID,HISTORICAL
OBL00037,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,10564107.77,2025-08-16,2025-09-30,HIGH,PAID,HISTORICAL
OBL00038,COMP001,SUP006,UTILITY obligation – Apollo Tyres Ltd,UTILITY,16497196.76,2025-07-15,2025-08-29,HIGH,PAID,HISTORICAL
OBL00039,COMP001,SUP009,RENT obligation – Sundaram-Clayton Ltd,RENT,23337320.56,2025-12-04,2026-01-18,HIGH,PENDING,HISTORICAL
OBL00040,COMP001,SUP005,UTILITY obligation – MRF Ltd,UTILITY,35817057.52,2025-03-21,2025-05-05,CRITICAL,PAID,HISTORICAL
OBL00041,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,19667282.54,2025-02-02,2025-02-17,CRITICAL,PAID,HISTORICAL
OBL00042,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,29328414.41,2025-02-02,2025-04-03,HIGH,PAID,HISTORICAL
OBL00043,COMP001,SUP011,RAW_MATERIAL obligation – ZF Commercial Vehicle Control,RAW_MATERIAL,7142743.07,2025-08-13,2025-10-12,HIGH,PAID,HISTORICAL
OBL00044,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,50253969.78,2025-01-12,2025-02-26,CRITICAL,PAID,HISTORICAL
OBL00045,COMP001,SUP004,REGULATORY obligation – Denso India Pvt Ltd,REGULATORY,38178348.76,2025-11-09,2025-12-09,CRITICAL,PAID,HISTORICAL
OBL00046,COMP001,SUP012,RAW_MATERIAL obligation – Saint-Gobain India,RAW_MATERIAL,32425274.58,2025-07-10,2025-09-08,HIGH,OVERDUE,HISTORICAL
OBL00047,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,14041304.61,2025-02-01,2025-04-02,HIGH,OVERDUE,HISTORICAL
OBL00048,COMP001,SUP006,REGULATORY obligation – Apollo Tyres Ltd,REGULATORY,44395857.24,2025-08-28,2025-10-12,CRITICAL,PAID,HISTORICAL
OBL00049,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,7163768.9,2025-06-05,2025-08-04,HIGH,OVERDUE,HISTORICAL
OBL00050,COMP001,SUP003,RAW_MATERIAL obligation – Bosch Ltd,RAW_MATERIAL,33916818.62,2025-06-08,2025-06-23,CRITICAL,OVERDUE,HISTORICAL
OBL00051,COMP001,SUP013,RAW_MATERIAL obligation – 3M India Ltd,RAW_MATERIAL,53079554.96,2025-05-15,2025-07-14,HIGH,PAID,HISTORICAL
OBL00052,COMP001,SUP015,OTHER obligation – Castrol India Ltd,OTHER,48216197.48,2025-05-26,2025-07-10,HIGH,OVERDUE,HISTORICAL
OBL00053,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,32009718.31,2025-05-29,2025-07-13,HIGH,OVERDUE,HISTORICAL
OBL00054,COMP001,SUP009,TAX obligation – Sundaram-Clayton Ltd,TAX,3780450.06,2025-02-18,2025-04-04,HIGH,PAID,HISTORICAL
OBL00055,COMP001,SUP013,TAX obligation – 3M India Ltd,TAX,28513820.46,2025-04-24,2025-06-23,HIGH,PAID,HISTORICAL
OBL00056,COMP001,SUP002,UTILITY obligation – JSW Steel Ltd,UTILITY,58076155.23,2025-10-16,2025-11-15,CRITICAL,OVERDUE,HISTORICAL
OBL00057,COMP001,SUP009,REGULATORY obligation – Sundaram-Clayton Ltd,REGULATORY,58565845.26,2025-05-04,2025-06-18,CRITICAL,OVERDUE,HISTORICAL
OBL00058,COMP001,SUP004,EMI obligation – Denso India Pvt Ltd,EMI,7734322.06,2025-03-13,2025-04-12,HIGH,PAID,HISTORICAL
OBL00059,COMP001,SUP011,EMI obligation – ZF Commercial Vehicle Control,EMI,41040883.48,2025-02-07,2025-04-08,CRITICAL,PAID,HISTORICAL
OBL00060,COMP001,SUP008,OTHER obligation – Bharat Forge Ltd,OTHER,29913201.01,2025-04-26,2025-06-10,HIGH,OVERDUE,HISTORICAL
OBL00061,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,31009612.64,2025-06-01,2025-07-31,HIGH,PAID,HISTORICAL
OBL00062,COMP001,SUP005,TAX obligation – MRF Ltd,TAX,34759861.88,2025-08-13,2025-09-27,CRITICAL,PAID,HISTORICAL
OBL00063,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,57148200.53,2025-07-12,2025-07-27,CRITICAL,PAID,HISTORICAL
OBL00064,COMP001,SUP012,RAW_MATERIAL obligation – Saint-Gobain India,RAW_MATERIAL,47553325.42,2025-08-18,2025-10-17,HIGH,OVERDUE,HISTORICAL
OBL00065,COMP001,SUP013,REGULATORY obligation – 3M India Ltd,REGULATORY,24711205.9,2025-09-03,2025-11-02,MEDIUM,PAID,HISTORICAL
OBL00066,COMP001,SUP009,RAW_MATERIAL obligation – Sundaram-Clayton Ltd,RAW_MATERIAL,25360644.56,2025-07-30,2025-09-13,HIGH,PAID,HISTORICAL
OBL00067,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,20221944.54,2025-07-30,2025-09-28,HIGH,PAID,HISTORICAL
OBL00068,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,54222236.07,2025-10-15,2025-12-14,CRITICAL,OVERDUE,HISTORICAL
OBL00069,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,40821672.54,2025-09-04,2025-11-03,HIGH,OVERDUE,HISTORICAL
OBL00070,COMP001,SUP009,UTILITY obligation – Sundaram-Clayton Ltd,UTILITY,55476493.03,2025-11-30,2026-01-14,HIGH,PENDING,HISTORICAL
OBL00071,COMP001,SUP004,OTHER obligation – Denso India Pvt Ltd,OTHER,46186667.44,2025-06-14,2025-07-14,CRITICAL,OVERDUE,HISTORICAL
OBL00072,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,51217738.76,2025-10-09,2025-11-08,CRITICAL,PAID,HISTORICAL
OBL00073,COMP001,SUP002,REGULATORY obligation – JSW Steel Ltd,REGULATORY,39944157.8,2025-09-20,2025-10-20,CRITICAL,PAID,HISTORICAL
OBL00074,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,4778392.99,2025-03-28,2025-04-27,HIGH,PAID,HISTORICAL
OBL00075,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,8619540.73,2025-03-25,2025-05-09,HIGH,OVERDUE,HISTORICAL
OBL00076,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,16533138.42,2025-09-03,2025-11-02,HIGH,PAID,HISTORICAL
OBL00077,COMP001,SUP004,RENT obligation – Denso India Pvt Ltd,RENT,31215432.81,2025-03-04,2025-04-03,CRITICAL,OVERDUE,HISTORICAL
OBL00078,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,10777778.6,2025-07-17,2025-08-31,HIGH,PAID,HISTORICAL
OBL00079,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,8709332.78,2025-05-07,2025-07-06,HIGH,OVERDUE,HISTORICAL
OBL00080,COMP001,SUP004,REGULATORY obligation – Denso India Pvt Ltd,REGULATORY,13232461.69,2025-02-16,2025-03-18,HIGH,PAID,HISTORICAL
OBL00081,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,30091931.73,2025-09-03,2025-11-02,HIGH,PAID,HISTORICAL
OBL00082,COMP001,SUP006,SALARY obligation – Apollo Tyres Ltd,SALARY,34229540.86,2025-08-21,2025-10-05,HIGH,OVERDUE,HISTORICAL
OBL00083,COMP001,SUP013,TAX obligation – 3M India Ltd,TAX,45431954.18,2025-06-09,2025-08-08,HIGH,PAID,HISTORICAL
OBL00084,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,59994510.78,2025-04-10,2025-06-09,CRITICAL,PAID,HISTORICAL
OBL00085,COMP001,SUP011,TAX obligation – ZF Commercial Vehicle Control,TAX,59093580.01,2025-02-20,2025-04-21,CRITICAL,OVERDUE,HISTORICAL
OBL00086,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,12812279.86,2025-04-20,2025-06-19,HIGH,PAID,HISTORICAL
OBL00087,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,51198253.69,2025-10-10,2025-12-09,CRITICAL,PAID,HISTORICAL
OBL00088,COMP001,SUP013,TAX obligation – 3M India Ltd,TAX,30268604.28,2025-08-22,2025-10-21,HIGH,OVERDUE,HISTORICAL
OBL00089,COMP001,SUP006,SALARY obligation – Apollo Tyres Ltd,SALARY,11145083.65,2025-09-26,2025-11-10,HIGH,OVERDUE,HISTORICAL
OBL00090,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,18085743.07,2025-07-15,2025-09-13,HIGH,OVERDUE,HISTORICAL
OBL00091,COMP001,SUP004,TAX obligation – Denso India Pvt Ltd,TAX,33853846.12,2025-07-14,2025-08-13,CRITICAL,OVERDUE,HISTORICAL
OBL00092,COMP001,SUP004,EMI obligation – Denso India Pvt Ltd,EMI,47926162.1,2025-01-15,2025-02-14,CRITICAL,OVERDUE,HISTORICAL
OBL00093,COMP001,SUP003,RENT obligation – Bosch Ltd,RENT,11618381.71,2025-09-21,2025-10-06,HIGH,PAID,HISTORICAL
OBL00094,COMP001,SUP012,SALARY obligation – Saint-Gobain India,SALARY,26951377.17,2025-10-11,2025-12-10,HIGH,PAID,HISTORICAL
OBL00095,COMP001,SUP012,UTILITY obligation – Saint-Gobain India,UTILITY,33036633.52,2025-04-04,2025-06-03,HIGH,PAID,HISTORICAL
OBL00096,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,37230896.72,2025-08-30,2025-10-14,HIGH,PAID,HISTORICAL
OBL00097,COMP001,SUP014,RENT obligation – Asian Paints Industrial,RENT,51706169.42,2025-04-07,2025-05-22,HIGH,PAID,HISTORICAL
OBL00098,COMP001,SUP015,UTILITY obligation – Castrol India Ltd,UTILITY,37833566.97,2025-07-31,2025-09-14,HIGH,PAID,HISTORICAL
OBL00099,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,4007692.36,2025-03-08,2025-05-07,MEDIUM,PAID,HISTORICAL
OBL00100,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,40559878.79,2025-01-10,2025-02-24,CRITICAL,PAID,HISTORICAL
OBL00101,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,16500309.91,2025-03-16,2025-05-15,HIGH,PAID,HISTORICAL
OBL00102,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,36955313.16,2025-11-12,2025-12-27,CRITICAL,PAID,HISTORICAL
OBL00103,COMP001,SUP005,RAW_MATERIAL obligation – MRF Ltd,RAW_MATERIAL,15828855.48,2025-01-13,2025-02-27,HIGH,OVERDUE,HISTORICAL
OBL00104,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,9741055.0,2025-06-03,2025-07-18,MEDIUM,PAID,HISTORICAL
OBL00105,COMP001,SUP004,TAX obligation – Denso India Pvt Ltd,TAX,56764832.9,2025-11-23,2025-12-23,CRITICAL,OVERDUE,HISTORICAL
OBL00106,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,49303161.86,2025-09-18,2025-10-18,CRITICAL,PAID,HISTORICAL
OBL00107,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,37517833.87,2025-01-03,2025-02-17,CRITICAL,OVERDUE,HISTORICAL
OBL00108,COMP001,SUP015,OTHER obligation – Castrol India Ltd,OTHER,13668063.43,2025-05-05,2025-06-19,MEDIUM,PAID,HISTORICAL
OBL00109,COMP001,SUP014,REGULATORY obligation – Asian Paints Industrial,REGULATORY,21684832.61,2025-06-12,2025-07-27,MEDIUM,PAID,HISTORICAL
OBL00110,COMP001,SUP008,RAW_MATERIAL obligation – Bharat Forge Ltd,RAW_MATERIAL,34347600.26,2025-08-31,2025-10-15,HIGH,PAID,HISTORICAL
OBL00111,COMP001,SUP001,REGULATORY obligation – Tata Steel Ltd,REGULATORY,18268819.63,2025-08-05,2025-09-04,CRITICAL,PAID,HISTORICAL
OBL00112,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,36446288.6,2025-04-12,2025-05-27,CRITICAL,PAID,HISTORICAL
OBL00113,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,13539904.62,2025-04-29,2025-06-28,MEDIUM,PAID,HISTORICAL
OBL00114,COMP001,SUP002,RENT obligation – JSW Steel Ltd,RENT,50341366.0,2025-11-24,2025-12-24,CRITICAL,PAID,HISTORICAL
OBL00115,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,28258022.07,2025-12-13,2026-02-11,MEDIUM,PENDING,HISTORICAL
OBL00116,COMP001,SUP006,REGULATORY obligation – Apollo Tyres Ltd,REGULATORY,48213058.28,2025-11-08,2025-12-23,CRITICAL,PAID,HISTORICAL
OBL00117,COMP001,SUP009,REGULATORY obligation – Sundaram-Clayton Ltd,REGULATORY,45364082.47,2025-11-25,2026-01-09,HIGH,PENDING,HISTORICAL
OBL00118,COMP001,SUP007,RENT obligation – Motherson Sumi Systems Ltd,RENT,19890219.53,2025-03-17,2025-04-16,HIGH,PAID,HISTORICAL
OBL00119,COMP001,SUP012,REGULATORY obligation – Saint-Gobain India,REGULATORY,17147123.38,2025-03-20,2025-05-19,MEDIUM,PAID,HISTORICAL
OBL00120,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,4701351.38,2025-12-03,2026-01-17,MEDIUM,PENDING,HISTORICAL
OBL00121,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,31797930.05,2025-01-10,2025-03-11,HIGH,OVERDUE,HISTORICAL
OBL00122,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,45984810.15,2025-05-01,2025-06-30,HIGH,PAID,HISTORICAL
OBL00123,COMP001,SUP007,RAW_MATERIAL obligation – Motherson Sumi Systems Ltd,RAW_MATERIAL,12251289.91,2025-06-05,2025-07-05,HIGH,PAID,HISTORICAL
OBL00124,COMP001,SUP005,UTILITY obligation – MRF Ltd,UTILITY,33811563.99,2025-07-16,2025-08-30,CRITICAL,OVERDUE,HISTORICAL
OBL00125,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,12473042.01,2025-02-20,2025-03-22,HIGH,PAID,HISTORICAL
OBL00126,COMP001,SUP002,UTILITY obligation – JSW Steel Ltd,UTILITY,11683010.52,2025-11-29,2025-12-29,HIGH,PENDING,HISTORICAL
OBL00127,COMP001,SUP011,UTILITY obligation – ZF Commercial Vehicle Control,UTILITY,23802403.2,2025-05-13,2025-07-12,HIGH,OVERDUE,HISTORICAL
OBL00128,COMP001,SUP014,EMI obligation – Asian Paints Industrial,EMI,59855939.91,2025-06-14,2025-07-29,HIGH,PAID,HISTORICAL
OBL00129,COMP001,SUP013,RENT obligation – 3M India Ltd,RENT,27844942.83,2025-10-24,2025-12-23,HIGH,OVERDUE,HISTORICAL
OBL00130,COMP001,SUP003,EMI obligation – Bosch Ltd,EMI,8805869.48,2025-02-18,2025-03-05,HIGH,PAID,HISTORICAL
OBL00131,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,57526572.96,2025-02-25,2025-04-11,CRITICAL,PAID,HISTORICAL
OBL00132,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,39778159.95,2025-10-25,2025-12-09,CRITICAL,OVERDUE,HISTORICAL
OBL00133,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,46094880.92,2025-09-24,2025-11-23,CRITICAL,PAID,HISTORICAL
OBL00134,COMP001,SUP004,OTHER obligation – Denso India Pvt Ltd,OTHER,19572614.3,2025-10-13,2025-11-12,HIGH,OVERDUE,HISTORICAL
OBL00135,COMP001,SUP005,RENT obligation – MRF Ltd,RENT,18926240.77,2025-01-12,2025-02-26,HIGH,OVERDUE,HISTORICAL
OBL00136,COMP001,SUP007,RAW_MATERIAL obligation – Motherson Sumi Systems Ltd,RAW_MATERIAL,37869920.91,2025-08-18,2025-09-17,CRITICAL,PAID,HISTORICAL
OBL00137,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,54092703.7,2025-07-28,2025-09-26,CRITICAL,PAID,HISTORICAL
OBL00138,COMP001,SUP007,RENT obligation – Motherson Sumi Systems Ltd,RENT,23894504.31,2025-04-18,2025-05-18,HIGH,PAID,HISTORICAL
OBL00139,COMP001,SUP002,EMI obligation – JSW Steel Ltd,EMI,49886172.85,2025-09-28,2025-10-28,CRITICAL,PAID,HISTORICAL
OBL00140,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,31647643.88,2025-04-17,2025-06-01,HIGH,PAID,HISTORICAL
OBL00141,COMP001,SUP014,OTHER obligation – Asian Paints Industrial,OTHER,59849274.93,2025-06-12,2025-07-27,HIGH,PAID,HISTORICAL
OBL00142,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,53385572.22,2025-01-16,2025-03-17,HIGH,PAID,HISTORICAL
OBL00143,COMP001,SUP012,UTILITY obligation – Saint-Gobain India,UTILITY,3186097.46,2025-04-17,2025-06-16,MEDIUM,PAID,HISTORICAL
OBL00144,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,55035278.16,2025-11-13,2026-01-12,HIGH,PENDING,HISTORICAL
OBL00145,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,16322814.17,2025-04-05,2025-05-05,HIGH,PAID,HISTORICAL
OBL00146,COMP001,SUP015,RAW_MATERIAL obligation – Castrol India Ltd,RAW_MATERIAL,10660241.54,2025-05-30,2025-07-14,MEDIUM,PAID,HISTORICAL
OBL00147,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,12177390.07,2025-01-16,2025-03-17,HIGH,OVERDUE,HISTORICAL
OBL00148,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,52241925.52,2025-04-19,2025-06-18,HIGH,OVERDUE,HISTORICAL
OBL00149,COMP001,SUP011,UTILITY obligation – ZF Commercial Vehicle Control,UTILITY,27847143.59,2025-05-01,2025-06-30,HIGH,PAID,HISTORICAL
OBL00150,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,52088526.31,2025-11-12,2025-12-27,CRITICAL,PAID,HISTORICAL
OBL00151,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,57860667.13,2025-03-05,2025-04-04,CRITICAL,OVERDUE,HISTORICAL
OBL00152,COMP001,SUP006,UTILITY obligation – Apollo Tyres Ltd,UTILITY,37852297.44,2025-01-15,2025-03-01,HIGH,OVERDUE,HISTORICAL
OBL00153,COMP001,SUP007,REGULATORY obligation – Motherson Sumi Systems Ltd,REGULATORY,8873178.31,2025-04-19,2025-05-19,HIGH,PAID,HISTORICAL
OBL00154,COMP001,SUP004,TAX obligation – Denso India Pvt Ltd,TAX,23975244.73,2025-03-17,2025-04-16,CRITICAL,PAID,HISTORICAL
OBL00155,COMP001,SUP009,SALARY obligation – Sundaram-Clayton Ltd,SALARY,47130519.54,2025-07-14,2025-08-28,CRITICAL,PAID,HISTORICAL
OBL00156,COMP001,SUP013,SALARY obligation – 3M India Ltd,SALARY,15710412.34,2025-12-09,2026-02-07,LOW,PENDING,HISTORICAL
OBL00157,COMP001,SUP015,SALARY obligation – Castrol India Ltd,SALARY,21013059.98,2025-10-15,2025-11-29,MEDIUM,OVERDUE,HISTORICAL
OBL00158,COMP001,SUP008,RAW_MATERIAL obligation – Bharat Forge Ltd,RAW_MATERIAL,33207449.01,2025-01-27,2025-03-13,HIGH,OVERDUE,HISTORICAL
OBL00159,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,28852113.32,2025-03-20,2025-05-04,MEDIUM,PAID,HISTORICAL
OBL00160,COMP001,SUP005,REGULATORY obligation – MRF Ltd,REGULATORY,6406840.85,2025-04-06,2025-05-21,HIGH,PAID,HISTORICAL
OBL00161,COMP001,SUP006,UTILITY obligation – Apollo Tyres Ltd,UTILITY,14201948.17,2025-06-28,2025-08-12,HIGH,PAID,HISTORICAL
OBL00162,COMP001,SUP011,SALARY obligation – ZF Commercial Vehicle Control,SALARY,17812070.36,2025-10-17,2025-12-16,HIGH,OVERDUE,HISTORICAL
OBL00163,COMP001,SUP010,EMI obligation – Valeo India Pvt Ltd,EMI,42532191.01,2025-04-27,2025-06-26,HIGH,OVERDUE,HISTORICAL
OBL00164,COMP001,SUP009,TAX obligation – Sundaram-Clayton Ltd,TAX,41396187.27,2025-12-14,2026-01-28,HIGH,PENDING,HISTORICAL
OBL00165,COMP001,SUP013,EMI obligation – 3M India Ltd,EMI,28632098.21,2025-10-11,2025-12-10,HIGH,OVERDUE,HISTORICAL
OBL00166,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,16886672.91,2025-03-25,2025-05-24,HIGH,OVERDUE,HISTORICAL
OBL00167,COMP001,SUP003,SALARY obligation – Bosch Ltd,SALARY,56848903.72,2025-08-08,2025-08-23,CRITICAL,PAID,HISTORICAL
OBL00168,COMP001,SUP002,RENT obligation – JSW Steel Ltd,RENT,14396359.21,2025-04-05,2025-05-05,HIGH,OVERDUE,HISTORICAL
OBL00169,COMP001,SUP012,RAW_MATERIAL obligation – Saint-Gobain India,RAW_MATERIAL,35531551.92,2025-06-04,2025-08-03,HIGH,OVERDUE,HISTORICAL
OBL00170,COMP001,SUP005,SALARY obligation – MRF Ltd,SALARY,42016082.64,2025-11-28,2026-01-12,HIGH,PENDING,HISTORICAL
OBL00171,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,8183923.85,2025-04-07,2025-06-06,HIGH,PAID,HISTORICAL
