transaction_id,company_id,type,amount,date,category,description,reference_type,reference_id,status,data_source
TXNDDB0F30B,COMP001,CUSTOMER_PAYMENT,20461371.58,2025-01-07,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN094AE23B,COMP001,OPERATING_EXPENSE,-4017356.71,2025-01-07,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN11FBC755,COMP001,OPERATING_EXPENSE,-4157276.18,2025-01-08,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN4A10C13A,COMP001,CUSTOMER_PAYMENT,19266747.48,2025-01-08,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXND5C5F87D,COMP001,CUSTOMER_PAYMENT,16877313.81,2025-01-09,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNF2418619,COMP001,OPERATING_EXPENSE,-8189898.79,2025-01-09,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN8475AE76,COMP001,CUSTOMER_PAYMENT,24308525.73,2025-01-10,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN72BF174D,COMP001,OPERATING_EXPENSE,-7209882.58,2025-01-10,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNE0E46808,COMP001,OPERATING_EXPENSE,-1136133.97,2025-01-11,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN9D4BCD17,COMP001,CUSTOMER_PAYMENT,3544813.15,2025-01-11,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN79B5CD55,COMP001,OPERATING_EXPENSE,-1101199.78,2025-01-12,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNC1818E24,COMP001,CUSTOMER_PAYMENT,1204410.31,2025-01-12,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN46694599,COMP001,CUSTOMER_PAYMENT,18420810.84,2025-01-13,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN9970408C,COMP001,OPERATING_EXPENSE,-6052614.75,2025-01-13,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNF3A03307,COMP001,OPERATING_EXPENSE,-6076985.82,2025-01-14,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN8B58E980,COMP001,CUSTOMER_PAYMENT,25028520.56,2025-01-14,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN423C79EA,COMP001,OPERATING_EXPENSE,-5080130.31,2025-01-15,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN970AA59E,COMP001,CUSTOMER_PAYMENT,13146837.8,2025-01-15,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN2F4B1337,COMP001,OPERATING_EXPENSE,-3091713.65,2025-01-16,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNA052E140,COMP001,CUSTOMER_PAYMENT,15323931.83,2025-01-16,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN44E192F9,COMP001,CUSTOMER_PAYMENT,24892988.65,2025-01-17,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN3BCFA0D6,COMP001,OPERATING_EXPENSE,-7700446.63,2025-01-17,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN57179EF7,COMP001,CUSTOMER_PAYMENT,39838682.04,2025-01-18,RECEIVABLE,Collection from CUST021 – RCV00262,RECEIVABLE,RCV00262,COMPLETED,HISTORICAL
TXNCC3F50BF,COMP001,CUSTOMER_PAYMENT,3260789.13,2025-01-18,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNC7A5A741,COMP001,OPERATING_EXPENSE,-1920605.43,2025-01-18,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN4B073106,COMP001,OPERATING_EXPENSE,-693618.65,2025-01-19,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNDAF20033,COMP001,CUSTOMER_PAYMENT,3747510.29,2025-01-19,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN828B16DC,COMP001,CUSTOMER_PAYMENT,13056662.5,2025-01-20,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN08CCA238,COMP001,OPERATING_EXPENSE,-9426309.86,2025-01-20,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN088D4FB6,COMP001,OPERATING_EXPENSE,-5764781.25,2025-01-21,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN11FEBE14,COMP001,CUSTOMER_PAYMENT,23998733.76,2025-01-21,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXND4654179,COMP001,CUSTOMER_PAYMENT,16939534.16,2025-01-22,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNFD9779E6,COMP001,OPERATING_EXPENSE,-6587261.09,2025-01-22,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN2D4E4DB7,COMP001,OPERATING_EXPENSE,-6061609.69,2025-01-23,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN3368878F,COMP001,CUSTOMER_PAYMENT,10583714.7,2025-01-23,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNB3CFE033,COMP001,OPERATING_EXPENSE,-8974671.85,2025-01-24,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNCE0BAC8F,COMP001,CUSTOMER_PAYMENT,71572312.14,2025-01-24,RECEIVABLE,Collection from CUST001 – RCV00298,RECEIVABLE,RCV00298,COMPLETED,HISTORICAL
TXNB0E086D9,COMP001,CUSTOMER_PAYMENT,22623782.19,2025-01-24,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN50FA0286,COMP001,CUSTOMER_PAYMENT,1770617.28,2025-01-25,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN0EACAD8B,COMP001,OPERATING_EXPENSE,-1090536.32,2025-01-25,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN13583B7E,COMP001,OPERATING_EXPENSE,-1733547.63,2025-01-26,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNF2E82078,COMP001,CUSTOMER_PAYMENT,2235351.39,2025-01-26,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXND82B5630,COMP001,OPERATING_EXPENSE,-7760876.89,2025-01-27,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN8FF711DB,COMP001,CUSTOMER_PAYMENT,18578174.29,2025-01-27,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNA6AE05FD,COMP001,SUPPLIER_PAYMENT,-12972774.34,2025-01-28,PAYABLE,Payment to SUP003 – INV00309,INVOICE,INV00309,COMPLETED,HISTORICAL
TXN4D60FAB4,COMP001,OPERATING_EXPENSE,-12437466.92,2025-01-28,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN5223685D,COMP001,CUSTOMER_PAYMENT,18561777.64,2025-01-28,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN97002B65,COMP001,CUSTOMER_PAYMENT,13165799.13,2025-01-29,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNF13E18B9,COMP001,SUPPLIER_PAYMENT,-59001510.19,2025-01-29,PAYABLE,Payment to SUP001 – INV00197,INVOICE,INV00197,COMPLETED,HISTORICAL
TXNB1A56465,COMP001,OPERATING_EXPENSE,-8714365.12,2025-01-29,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN1B3A8D4E,COMP001,CUSTOMER_PAYMENT,8512031.03,2025-01-30,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNF134EA53,COMP001,OPERATING_EXPENSE,-13651846.88,2025-01-30,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN0DCCA55F,COMP001,OPERATING_EXPENSE,-4489932.0,2025-01-31,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNEB8C41EF,COMP001,CUSTOMER_PAYMENT,16404715.07,2025-01-31,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN439DCD16,COMP001,OPERATING_EXPENSE,-1678377.08,2025-02-01,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNC36B1A80,COMP001,CUSTOMER_PAYMENT,2718594.43,2025-02-01,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN170DC009,COMP001,CUSTOMER_PAYMENT,34405804.22,2025-02-01,RECEIVABLE,Collection from CUST013 – RCV00014,RECEIVABLE,RCV00014,COMPLETED,HISTORICAL
TXN04DAA0B1,COMP001,CUSTOMER_PAYMENT,2319686.66,2025-02-02,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN0BB44D89,COMP001,OPERATING_EXPENSE,-872018.16,2025-02-02,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNCF2DB6E7,COMP001,SUPPLIER_PAYMENT,-23632960.26,2025-02-02,PAYABLE,Payment to SUP002 – INV00443,INVOICE,INV00443,COMPLETED,HISTORICAL
TXNDD8EF766,COMP001,CUSTOMER_PAYMENT,24186464.48,2025-02-03,RECEIVABLE,Collection from CUST023 – RCV00015,RECEIVABLE,RCV00015,COMPLETED,HISTORICAL
TXNE3D2A261,COMP001,OPERATING_EXPENSE,-4068721.7,2025-02-03,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN4ECFFD9B,COMP001,CUSTOMER_PAYMENT,10475074.56,2025-02-03,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN95792EE7,COMP001,CUSTOMER_PAYMENT,69499378.79,2025-02-03,RECEIVABLE,Collection from CUST013 – RCV00178,RECEIVABLE,RCV00178,COMPLETED,HISTORICAL
TXN2C790E15,COMP001,CUSTOMER_PAYMENT,19800878.22,2025-02-04,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN6492AB6E,COMP001,OPERATING_EXPENSE,-4773556.82,2025-02-04,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN250D6B53,COMP001,CUSTOMER_PAYMENT,18279249.5,2025-02-05,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNA2BDBEAC,COMP001,OPERATING_EXPENSE,-4708381.89,2025-02-05,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN5F6A27DF,COMP001,CUSTOMER_PAYMENT,10091333.19,2025-02-06,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN6559F8F6,COMP001,SUPPLIER_PAYMENT,-9704618.89,2025-02-06,PAYABLE,Payment to SUP002 – INV00335,INVOICE,INV00335,COMPLETED,HISTORICAL
TXNC0A7DF93,COMP001,OPERATING_EXPENSE,-6789665.5,2025-02-06,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN24ECEE11,COMP001,OPERATING_EXPENSE,-4347703.03,2025-02-07,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNAF764F46,COMP001,CUSTOMER_PAYMENT,18490951.17,2025-02-07,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN73DE04E5,COMP001,CUSTOMER_PAYMENT,3920045.21,2025-02-08,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN9C8EB377,COMP001,OPERATING_EXPENSE,-1905446.0,2025-02-08,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN1BAA9613,COMP001,CUSTOMER_PAYMENT,48131737.88,2025-02-08,RECEIVABLE,Collection from CUST014 – RCV00226,RECEIVABLE,RCV00226,COMPLETED,HISTORICAL
TXNE80D7F24,COMP001,OPERATING_EXPENSE,-1873905.76,2025-02-09,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN3A19D212,COMP001,SUPPLIER_PAYMENT,-19807644.24,2025-02-09,PAYABLE,Payment to SUP004 – INV00265,INVOICE,INV00265,COMPLETED,HISTORICAL
TXN1BD10342,COMP001,CUSTOMER_PAYMENT,3365938.83,2025-02-09,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN29D9DB7D,COMP001,OPERATING_EXPENSE,-5347195.4,2025-02-10,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNB132E5AC,COMP001,CUSTOMER_PAYMENT,9073123.41,2025-02-10,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNA7F58959,COMP001,CUSTOMER_PAYMENT,31052891.78,2025-02-11,RECEIVABLE,Collection from CUST003 – RCV00158,RECEIVABLE,RCV00158,COMPLETED,HISTORICAL
TXNE7F743D6,COMP001,OPERATING_EXPENSE,-7482298.99,2025-02-11,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNB1A4623F,COMP001,SUPPLIER_PAYMENT,-56074243.96,2025-02-11,PAYABLE,Payment to SUP001 – INV00426,INVOICE,INV00426,COMPLETED,HISTORICAL
TXN3EFFF2FA,COMP001,CUSTOMER_PAYMENT,29245719.86,2025-02-11,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNB732C1D7,COMP001,OPERATING_EXPENSE,-3894697.15,2025-02-12,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN2B5A04A6,COMP001,CUSTOMER_PAYMENT,20617024.26,2025-02-12,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNE69FF50A,COMP001,SUPPLIER_PAYMENT,-32309796.92,2025-02-12,PAYABLE,Payment to SUP005 – INV00414,INVOICE,INV00414,COMPLETED,HISTORICAL
TXNDEC4411C,COMP001,OPERATING_EXPENSE,-7172598.2,2025-02-13,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNEDCB4B60,COMP001,CUSTOMER_PAYMENT,16297628.46,2025-02-13,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN1763C5D5,COMP001,SUPPLIER_PAYMENT,-9214229.01,2025-02-14,PAYABLE,Payment to SUP014 – INV00213,INVOICE,INV00213,COMPLETED,HISTORICAL
TXN96FDA85A,COMP001,CUSTOMER_PAYMENT,31552125.32,2025-02-14,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN22DF203F,COMP001,SUPPLIER_PAYMENT,-36684794.95,2025-02-14,PAYABLE,Payment to SUP003 – INV00420,INVOICE,INV00420,COMPLETED,HISTORICAL
TXN6A04E6E0,COMP001,CUSTOMER_PAYMENT,14917858.7,2025-02-14,RECEIVABLE,Collection from CUST014 – RCV00107,RECEIVABLE,RCV00107,COMPLETED,HISTORICAL
TXN3470C04F,COMP001,OPERATING_EXPENSE,-4157206.51,2025-02-14,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNAE71A4BB,COMP001,CUSTOMER_PAYMENT,6695164.57,2025-02-15,RECEIVABLE,Collection from CUST012 – RCV00259,RECEIVABLE,RCV00259,COMPLETED,HISTORICAL
TXN9C577739,COMP001,SUPPLIER_PAYMENT,-5138927.5,2025-02-15,PAYABLE,Payment to SUP007 – INV00371,INVOICE,INV00371,COMPLETED,HISTORICAL
TXN791538E2,COMP001,CUSTOMER_PAYMENT,39163448.01,2025-02-15,RECEIVABLE,Collection from CUST012 – RCV00147,RECEIVABLE,RCV00147,COMPLETED,HISTORICAL
TXN1272C6E9,COMP001,OPERATING_EXPENSE,-1511649.53,2025-02-15,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN269646EE,COMP001,CUSTOMER_PAYMENT,2822428.55,2025-02-15,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNA47279C0,COMP001,OPERATING_EXPENSE,-1092648.84,2025-02-16,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN394B5594,COMP001,CUSTOMER_PAYMENT,22957251.35,2025-02-16,RECEIVABLE,Collection from CUST004 – RCV00316,RECEIVABLE,RCV00316,COMPLETED,HISTORICAL
TXNF92EE968,COMP001,CUSTOMER_PAYMENT,1980210.31,2025-02-16,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN23AC7A73,COMP001,CUSTOMER_PAYMENT,17330106.7,2025-02-16,RECEIVABLE,Collection from CUST011 – RCV00016,RECEIVABLE,RCV00016,COMPLETED,HISTORICAL
TXN1C23E34C,COMP001,OPERATING_EXPENSE,-7415509.75,2025-02-17,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN9F9C4D34,COMP001,CUSTOMER_PAYMENT,16424221.14,2025-02-17,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNF94BB255,COMP001,OPERATING_EXPENSE,-9401627.08,2025-02-18,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN0F1BA5A1,COMP001,CUSTOMER_PAYMENT,41961522.26,2025-02-18,RECEIVABLE,Collection from CUST001 – RCV00255,RECEIVABLE,RCV00255,COMPLETED,HISTORICAL
TXN05A1228F,COMP001,CUSTOMER_PAYMENT,2132853.37,2025-02-18,RECEIVABLE,Collection from CUST005 – RCV00305,RECEIVABLE,RCV00305,COMPLETED,HISTORICAL
TXN1CE2B90C,COMP001,CUSTOMER_PAYMENT,29647674.67,2025-02-18,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN9E953891,COMP001,CUSTOMER_PAYMENT,48375829.98,2025-02-18,RECEIVABLE,Collection from CUST021 – RCV00196,RECEIVABLE,RCV00196,COMPLETED,HISTORICAL
TXN6DE91158,COMP001,OPERATING_EXPENSE,-9233297.3,2025-02-19,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN8487F21C,COMP001,CUSTOMER_PAYMENT,4487116.29,2025-02-19,RECEIVABLE,Collection from CUST004 – RCV00128,RECEIVABLE,RCV00128,COMPLETED,HISTORICAL
TXN5107B9BB,COMP001,CUSTOMER_PAYMENT,17277977.28,2025-02-19,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN442EABFB,COMP001,SUPPLIER_PAYMENT,-54792408.89,2025-02-20,PAYABLE,Payment to SUP008 – INV00406,INVOICE,INV00406,COMPLETED,HISTORICAL
TXN2F98E9C8,COMP001,CUSTOMER_PAYMENT,4110408.93,2025-02-20,RECEIVABLE,Collection from CUST012 – RCV00190,RECEIVABLE,RCV00190,COMPLETED,HISTORICAL
TXN5915A658,COMP001,CUSTOMER_PAYMENT,21208047.95,2025-02-20,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN1E6CBD91,COMP001,OPERATING_EXPENSE,-8307745.99,2025-02-20,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN53BF2048,COMP001,SUPPLIER_PAYMENT,-16952316.97,2025-02-21,PAYABLE,Payment to SUP003 – INV00164,INVOICE,INV00164,COMPLETED,HISTORICAL
TXNB42B93DB,COMP001,CUSTOMER_PAYMENT,24103693.44,2025-02-21,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNBBDFFF47,COMP001,OPERATING_EXPENSE,-7370428.99,2025-02-21,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN4C7AE3EC,COMP001,OPERATING_EXPENSE,-1755921.63,2025-02-22,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNF1311554,COMP001,CUSTOMER_PAYMENT,3655548.88,2025-02-22,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN0E090761,COMP001,SUPPLIER_PAYMENT,-19153086.91,2025-02-22,PAYABLE,Payment to SUP005 – INV00352,INVOICE,INV00352,COMPLETED,HISTORICAL
TXN242832E6,COMP001,OPERATING_EXPENSE,-1515691.55,2025-02-23,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN21B759CE,COMP001,CUSTOMER_PAYMENT,3388457.04,2025-02-23,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN2A368562,COMP001,CUSTOMER_PAYMENT,14452260.91,2025-02-24,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN14C167FA,COMP001,OPERATING_EXPENSE,-9017008.98,2025-02-24,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN6AC32F43,COMP001,CUSTOMER_PAYMENT,25995506.71,2025-02-25,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNB7A615BE,COMP001,OPERATING_EXPENSE,-7027072.18,2025-02-25,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN95D02F3F,COMP001,CUSTOMER_PAYMENT,11095893.41,2025-02-26,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN22CDBCB5,COMP001,OPERATING_EXPENSE,-4069771.47,2025-02-26,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN47AB2407,COMP001,CUSTOMER_PAYMENT,19373153.0,2025-02-27,RECEIVABLE,Collection from CUST008 – RCV00337,RECEIVABLE,RCV00337,COMPLETED,HISTORICAL
TXNE97800F5,COMP001,OPERATING_EXPENSE,-5966101.17,2025-02-27,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN76D99327,COMP001,CUSTOMER_PAYMENT,14996911.2,2025-02-27,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNCA705989,COMP001,SUPPLIER_PAYMENT,-30414319.76,2025-02-27,PAYABLE,Payment to SUP004 – INV00239,INVOICE,INV00239,COMPLETED,HISTORICAL
TXN08566FBA,COMP001,CUSTOMER_PAYMENT,21448712.64,2025-02-28,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXND8ECD48D,COMP001,OPERATING_EXPENSE,-10505926.62,2025-02-28,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXNFF0AC8A4,COMP001,CUSTOMER_PAYMENT,20270503.5,2025-03-01,RECEIVABLE,Collection from CUST004 – RCV00287,RECEIVABLE,RCV00287,COMPLETED,HISTORICAL
TXN93BDEA62,COMP001,OPERATING_EXPENSE,-1313334.86,2025-03-01,OPEX,Daily operating expenses,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN81787937,COMP001,CUSTOMER_PAYMENT,3162084.11,2025-03-01,SALES_RECEIPTS,Daily dealership & fleet sales collection,COMPANY,COMP001,COMPLETED,HISTORICAL
TXN6C899ECE,COMP001,SUPPLIER_PAYMENT,-20965891.37,2025-03-01,PAYABLE,Payment to SUP007 – INV00027,INVOICE,INV00027,COMPLETED,HISTORICAL
