obligation_id,company_id,supplier_id,description,category,amount,issue_date,due_date,priority,status
OBL00027,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,17922211.61,2025-10-15,2025-12-14,HIGH,PAID
OBL00028,COMP001,SUP004,RENT obligation – Denso India Pvt Ltd,RENT,23677161.23,2025-08-26,2025-09-25,CRITICAL,OVERDUE
OBL00029,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,12350994.67,2025-06-02,2025-07-02,HIGH,OVERDUE
OBL00030,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,25596022.15,2025-10-03,2025-11-17,CRITICAL,PAID
OBL00031,COMP001,SUP012,TAX obligation – Saint-Gobain India,TAX,14579190.22,2025-11-29,2026-01-28,MEDIUM,PENDING
OBL00032,COMP001,SUP012,OTHER obligation – Saint-Gobain India,OTHER,25633361.2,2025-08-03,2025-10-02,HIGH,PAID
OBL00033,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,9019091.0,2025-07-17,2025-08-31,HIGH,PAID
OBL00034,COMP001,SUP013,REGULATORY obligation – 3M India Ltd,REGULATORY,15559697.89,2025-03-13,2025-05-12,MEDIUM,OVERDUE
OBL00035,COMP001,SUP008,OTHER obligation – Bharat Forge Ltd,OTHER,14115246.11,2025-08-29,2025-10-13,HIGH,PAID
OBL00036,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,29508511.78,2025-06-19,2025-08-03,CRITICAL,PAID
OBL00037,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,7910034.87,2025-08-16,2025-09-30,HIGH,PAID
OBL00038,COMP001,SUP006,UTILITY obligation – Apollo Tyres Ltd,UTILITY,11761338.25,2025-07-15,2025-08-29,HIGH,PAID
OBL00039,COMP001,SUP009,RENT obligation – Sundaram-Clayton Ltd,RENT,16201418.61,2025-12-04,2026-01-18,HIGH,PENDING
OBL00040,COMP001,SUP005,UTILITY obligation – MRF Ltd,UTILITY,24302300.5,2025-03-21,2025-05-05,CRITICAL,PAID
OBL00041,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,13819113.23,2025-02-02,2025-02-17,CRITICAL,PAID
OBL00042,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,20090374.27,2025-02-02,2025-04-03,HIGH,PAID
OBL00043,COMP001,SUP011,RAW_MATERIAL obligation – ZF Commercial Vehicle Control,RAW_MATERIAL,5689149.01,2025-08-13,2025-10-12,HIGH,PAID
OBL00044,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,33673629.51,2025-01-12,2025-02-26,CRITICAL,PAID
OBL00045,COMP001,SUP004,REGULATORY obligation – Denso India Pvt Ltd,REGULATORY,25835068.49,2025-11-09,2025-12-09,CRITICAL,PAID
OBL00046,COMP001,SUP012,RAW_MATERIAL obligation – Saint-Gobain India,RAW_MATERIAL,22100616.83,2025-07-10,2025-09-08,HIGH,OVERDUE
OBL00047,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,10167162.64,2025-02-01,2025-04-02,HIGH,OVERDUE
OBL00048,COMP001,SUP006,REGULATORY obligation – Apollo Tyres Ltd,REGULATORY,29870995.05,2025-08-28,2025-10-12,CRITICAL,PAID
OBL00049,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,5702797.36,2025-06-05,2025-08-04,HIGH,OVERDUE
OBL00050,COMP001,SUP003,RAW_MATERIAL obligation – Bosch Ltd,RAW_MATERIAL,23068812.09,2025-06-08,2025-06-23,CRITICAL,OVERDUE
OBL00051,COMP001,SUP013,RAW_MATERIAL obligation – 3M India Ltd,RAW_MATERIAL,35507781.29,2025-05-15,2025-07-14,HIGH,PAID
OBL00052,COMP001,SUP015,OTHER obligation – Castrol India Ltd,OTHER,32350865.03,2025-05-26,2025-07-10,HIGH,OVERDUE
OBL00053,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,21830869.78,2025-05-29,2025-07-13,HIGH,OVERDUE
OBL00054,COMP001,SUP009,TAX obligation – Sundaram-Clayton Ltd,TAX,3506607.93,2025-02-18,2025-04-04,HIGH,PAID
OBL00055,COMP001,SUP013,TAX obligation – 3M India Ltd,TAX,19561602.75,2025-04-24,2025-06-23,HIGH,PAID
OBL00056,COMP001,SUP002,UTILITY obligation – JSW Steel Ltd,UTILITY,38751188.48,2025-10-16,2025-11-15,CRITICAL,OVERDUE
OBL00057,COMP001,SUP009,REGULATORY obligation – Sundaram-Clayton Ltd,REGULATORY,39069057.45,2025-05-04,2025-06-18,CRITICAL,OVERDUE
OBL00058,COMP001,SUP004,EMI obligation – Denso India Pvt Ltd,EMI,6073156.42,2025-03-13,2025-04-12,HIGH,PAID
OBL00059,COMP001,SUP011,EMI obligation – ZF Commercial Vehicle Control,EMI,27693205.07,2025-02-07,2025-04-08,CRITICAL,PAID
OBL00060,COMP001,SUP008,OTHER obligation – Bharat Forge Ltd,OTHER,20469972.58,2025-04-26,2025-06-10,HIGH,OVERDUE
OBL00061,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,21181678.38,2025-06-01,2025-07-31,HIGH,PAID
OBL00062,COMP001,SUP005,TAX obligation – MRF Ltd,TAX,23616050.69,2025-08-13,2025-09-27,CRITICAL,PAID
OBL00063,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,38148831.92,2025-07-12,2025-07-27,CRITICAL,PAID
OBL00064,COMP001,SUP012,RAW_MATERIAL obligation – Saint-Gobain India,RAW_MATERIAL,31920579.66,2025-08-18,2025-10-17,HIGH,OVERDUE
OBL00065,COMP001,SUP013,REGULATORY obligation – 3M India Ltd,REGULATORY,17093238.92,2025-09-03,2025-11-02,MEDIUM,PAID
OBL00066,COMP001,SUP009,RAW_MATERIAL obligation – Sundaram-Clayton Ltd,RAW_MATERIAL,17514804.36,2025-07-30,2025-09-13,HIGH,PAID
OBL00067,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,14179156.98,2025-07-30,2025-09-28,HIGH,PAID
OBL00068,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,36249521.66,2025-10-15,2025-12-14,CRITICAL,OVERDUE
OBL00069,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,27550910.25,2025-09-04,2025-11-03,HIGH,OVERDUE
OBL00070,COMP001,SUP009,UTILITY obligation – Sundaram-Clayton Ltd,UTILITY,37063688.46,2025-11-30,2026-01-14,HIGH,PENDING
OBL00071,COMP001,SUP004,OTHER obligation – Denso India Pvt Ltd,OTHER,31033450.79,2025-06-14,2025-07-14,CRITICAL,OVERDUE
OBL00072,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,34299233.93,2025-10-09,2025-11-08,CRITICAL,PAID
OBL00073,COMP001,SUP002,REGULATORY obligation – JSW Steel Ltd,REGULATORY,26981295.41,2025-09-20,2025-10-20,CRITICAL,PAID
OBL00074,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,4154395.45,2025-03-28,2025-04-27,HIGH,PAID
OBL00075,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,6647772.05,2025-03-25,2025-05-09,HIGH,OVERDUE
OBL00076,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,11784668.8,2025-09-03,2025-11-02,HIGH,PAID
OBL00077,COMP001,SUP004,RENT obligation – Denso India Pvt Ltd,RENT,21315280.95,2025-03-04,2025-04-03,CRITICAL,OVERDUE
OBL00078,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,8048733.48,2025-07-17,2025-08-31,HIGH,PAID
OBL00079,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,6706058.12,2025-05-07,2025-07-06,HIGH,OVERDUE
OBL00080,COMP001,SUP004,REGULATORY obligation – Denso India Pvt Ltd,REGULATORY,9642124.26,2025-02-16,2025-03-18,HIGH,PAID
OBL00081,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,20585990.77,2025-09-03,2025-11-02,HIGH,PAID
OBL00082,COMP001,SUP006,SALARY obligation – Apollo Tyres Ltd,SALARY,23271807.22,2025-08-21,2025-10-05,HIGH,OVERDUE
OBL00083,COMP001,SUP013,TAX obligation – 3M India Ltd,TAX,30543549.2,2025-06-09,2025-08-08,HIGH,PAID
OBL00084,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,39996436.82,2025-04-10,2025-06-09,CRITICAL,PAID
OBL00085,COMP001,SUP011,TAX obligation – ZF Commercial Vehicle Control,TAX,39411622.11,2025-02-20,2025-04-21,CRITICAL,OVERDUE
OBL00086,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,9369374.64,2025-04-20,2025-06-19,HIGH,PAID
OBL00087,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,34286585.73,2025-10-10,2025-12-09,CRITICAL,PAID
OBL00088,COMP001,SUP013,TAX obligation – 3M India Ltd,TAX,20700672.95,2025-08-22,2025-10-21,HIGH,OVERDUE
OBL00089,COMP001,SUP006,SALARY obligation – Apollo Tyres Ltd,SALARY,8287159.56,2025-09-26,2025-11-10,HIGH,OVERDUE
OBL00090,COMP001,SUP010,OTHER obligation – Valeo India Pvt Ltd,OTHER,12792499.88,2025-07-15,2025-09-13,HIGH,OVERDUE
OBL00091,COMP001,SUP004,TAX obligation – Denso India Pvt Ltd,TAX,23027935.2,2025-07-14,2025-08-13,CRITICAL,OVERDUE
OBL00092,COMP001,SUP004,EMI obligation – Denso India Pvt Ltd,EMI,32162596.45,2025-01-15,2025-02-14,CRITICAL,OVERDUE
OBL00093,COMP001,SUP003,RENT obligation – Bosch Ltd,RENT,8594388.13,2025-09-21,2025-10-06,HIGH,PAID
OBL00094,COMP001,SUP012,SALARY obligation – Saint-Gobain India,SALARY,18547385.18,2025-10-11,2025-12-10,HIGH,PAID
OBL00095,COMP001,SUP012,UTILITY obligation – Saint-Gobain India,UTILITY,22497463.86,2025-04-04,2025-06-03,HIGH,PAID
OBL00096,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,25220055.76,2025-08-30,2025-10-14,HIGH,PAID
OBL00097,COMP001,SUP014,RENT obligation – Asian Paints Industrial,RENT,34616285.42,2025-04-07,2025-05-22,HIGH,PAID
OBL00098,COMP001,SUP015,UTILITY obligation – Castrol India Ltd,UTILITY,25611262.77,2025-07-31,2025-09-14,HIGH,PAID
OBL00099,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,3654116.1,2025-03-08,2025-05-07,MEDIUM,PAID
OBL00100,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,27380973.95,2025-01-10,2025-02-24,CRITICAL,PAID
OBL00101,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,11763359.06,2025-03-16,2025-05-15,HIGH,PAID
OBL00102,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,25041168.19,2025-11-12,2025-12-27,CRITICAL,PAID
OBL00103,COMP001,SUP005,RAW_MATERIAL obligation – MRF Ltd,RAW_MATERIAL,11327502.68,2025-01-13,2025-02-27,HIGH,OVERDUE
OBL00104,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,7375772.54,2025-06-03,2025-07-18,MEDIUM,PAID
OBL00105,COMP001,SUP004,TAX obligation – Denso India Pvt Ltd,TAX,37899979.25,2025-11-23,2025-12-23,CRITICAL,OVERDUE
OBL00106,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,33056438.4,2025-09-18,2025-10-18,CRITICAL,PAID
OBL00107,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,25406313.21,2025-01-03,2025-02-17,CRITICAL,OVERDUE
OBL00108,COMP001,SUP015,OTHER obligation – Castrol India Ltd,OTHER,9924883.28,2025-05-05,2025-06-19,MEDIUM,PAID
OBL00109,COMP001,SUP014,REGULATORY obligation – Asian Paints Industrial,REGULATORY,15128751.0,2025-06-12,2025-07-27,MEDIUM,PAID
OBL00110,COMP001,SUP008,RAW_MATERIAL obligation – Bharat Forge Ltd,RAW_MATERIAL,23348442.27,2025-08-31,2025-10-15,HIGH,PAID
OBL00111,COMP001,SUP001,REGULATORY obligation – Tata Steel Ltd,REGULATORY,12911339.06,2025-08-05,2025-09-04,CRITICAL,PAID
OBL00112,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,24710748.74,2025-04-12,2025-05-27,CRITICAL,PAID
OBL00113,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,9841692.47,2025-04-29,2025-06-28,MEDIUM,PAID
OBL00114,COMP001,SUP002,RENT obligation – JSW Steel Ltd,RENT,33730360.38,2025-11-24,2025-12-24,CRITICAL,PAID
OBL00115,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,19395558.19,2025-12-13,2026-02-11,MEDIUM,PENDING
OBL00116,COMP001,SUP006,REGULATORY obligation – Apollo Tyres Ltd,REGULATORY,32348827.3,2025-11-08,2025-12-23,CRITICAL,PAID
OBL00117,COMP001,SUP009,REGULATORY obligation – Sundaram-Clayton Ltd,REGULATORY,30499492.13,2025-11-25,2026-01-09,HIGH,PENDING
OBL00118,COMP001,SUP007,RENT obligation – Motherson Sumi Systems Ltd,RENT,13963826.71,2025-03-17,2025-04-16,HIGH,PAID
OBL00119,COMP001,SUP012,REGULATORY obligation – Saint-Gobain India,REGULATORY,12183220.44,2025-03-20,2025-05-19,MEDIUM,PAID
OBL00120,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,4104385.98,2025-12-03,2026-01-17,MEDIUM,PENDING
OBL00121,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,21693393.19,2025-01-10,2025-03-11,HIGH,OVERDUE
OBL00122,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,30902420.63,2025-05-01,2025-06-30,CRITICAL,PAID
OBL00123,COMP001,SUP007,RAW_MATERIAL obligation – Motherson Sumi Systems Ltd,RAW_MATERIAL,9005223.28,2025-06-05,2025-07-05,HIGH,PAID
OBL00124,COMP001,SUP005,UTILITY obligation – MRF Ltd,UTILITY,23000488.9,2025-07-16,2025-08-30,CRITICAL,OVERDUE
OBL00125,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,9149167.62,2025-02-20,2025-03-22,HIGH,PAID
OBL00126,COMP001,SUP002,UTILITY obligation – JSW Steel Ltd,UTILITY,8636340.16,2025-11-29,2025-12-29,HIGH,PENDING
OBL00127,COMP001,SUP011,UTILITY obligation – ZF Commercial Vehicle Control,UTILITY,16503314.36,2025-05-13,2025-07-12,HIGH,OVERDUE
OBL00128,COMP001,SUP014,EMI obligation – Asian Paints Industrial,EMI,39906487.31,2025-06-14,2025-07-29,HIGH,PAID
OBL00129,COMP001,SUP013,RENT obligation – 3M India Ltd,RENT,19127419.03,2025-10-24,2025-12-23,HIGH,OVERDUE
OBL00130,COMP001,SUP003,EMI obligation – Bosch Ltd,EMI,6768722.29,2025-02-18,2025-03-05,HIGH,PAID
OBL00131,COMP001,SUP009,EMI obligation – Sundaram-Clayton Ltd,EMI,38394442.1,2025-02-25,2025-04-11,CRITICAL,PAID
OBL00132,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,26873542.42,2025-10-25,2025-12-09,CRITICAL,OVERDUE
OBL00133,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,30973870.07,2025-09-24,2025-11-23,CRITICAL,PAID
OBL00134,COMP001,SUP004,OTHER obligation – Denso India Pvt Ltd,OTHER,13757661.91,2025-10-13,2025-11-12,CRITICAL,OVERDUE
OBL00135,COMP001,SUP005,RENT obligation – MRF Ltd,RENT,13338086.12,2025-01-12,2025-02-26,HIGH,OVERDUE
OBL00136,COMP001,SUP007,RAW_MATERIAL obligation – Motherson Sumi Systems Ltd,RAW_MATERIAL,25634860.94,2025-08-18,2025-09-17,CRITICAL,PAID
OBL00137,COMP001,SUP010,RENT obligation – Valeo India Pvt Ltd,RENT,36165439.25,2025-07-28,2025-09-26,CRITICAL,PAID
OBL00138,COMP001,SUP007,RENT obligation – Motherson Sumi Systems Ltd,RENT,16563099.29,2025-04-18,2025-05-18,HIGH,PAID
OBL00139,COMP001,SUP002,EMI obligation – JSW Steel Ltd,EMI,33434884.13,2025-09-28,2025-10-28,CRITICAL,PAID
OBL00140,COMP001,SUP005,EMI obligation – MRF Ltd,EMI,21595839.01,2025-04-17,2025-06-01,HIGH,PAID
OBL00141,COMP001,SUP014,OTHER obligation – Asian Paints Industrial,OTHER,39902160.92,2025-06-12,2025-07-27,HIGH,PAID
OBL00142,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,35706424.08,2025-01-16,2025-03-17,HIGH,PAID
OBL00143,COMP001,SUP012,UTILITY obligation – Saint-Gobain India,UTILITY,3120800.11,2025-04-17,2025-06-16,MEDIUM,PAID
OBL00144,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,36777285.82,2025-11-13,2026-01-12,HIGH,PENDING
OBL00145,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,11648142.53,2025-04-05,2025-05-05,HIGH,PAID
OBL00146,COMP001,SUP015,RAW_MATERIAL obligation – Castrol India Ltd,RAW_MATERIAL,7972437.49,2025-05-30,2025-07-14,MEDIUM,PAID
OBL00147,COMP001,SUP010,UTILITY obligation – Valeo India Pvt Ltd,UTILITY,8957253.2,2025-01-16,2025-03-17,HIGH,OVERDUE
OBL00148,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,34964056.91,2025-04-19,2025-06-18,HIGH,OVERDUE
OBL00149,COMP001,SUP011,UTILITY obligation – ZF Commercial Vehicle Control,UTILITY,19128847.59,2025-05-01,2025-06-30,HIGH,PAID
OBL00150,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,34864481.99,2025-11-12,2025-12-27,CRITICAL,PAID
OBL00151,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,38611310.24,2025-03-05,2025-04-04,CRITICAL,OVERDUE
OBL00152,COMP001,SUP006,UTILITY obligation – Apollo Tyres Ltd,UTILITY,25623421.14,2025-01-15,2025-03-01,CRITICAL,OVERDUE
OBL00153,COMP001,SUP007,REGULATORY obligation – Motherson Sumi Systems Ltd,REGULATORY,6812413.99,2025-04-19,2025-05-19,HIGH,PAID
OBL00154,COMP001,SUP004,TAX obligation – Denso India Pvt Ltd,TAX,16615509.74,2025-03-17,2025-04-16,CRITICAL,PAID
OBL00155,COMP001,SUP009,SALARY obligation – Sundaram-Clayton Ltd,SALARY,31646126.72,2025-07-14,2025-08-28,CRITICAL,PAID
OBL00156,COMP001,SUP013,SALARY obligation – 3M India Ltd,SALARY,11250618.54,2025-12-09,2026-02-07,LOW,PENDING
OBL00157,COMP001,SUP015,SALARY obligation – Castrol India Ltd,SALARY,14692688.06,2025-10-15,2025-11-29,MEDIUM,OVERDUE
OBL00158,COMP001,SUP008,RAW_MATERIAL obligation – Bharat Forge Ltd,RAW_MATERIAL,22608344.09,2025-01-27,2025-03-13,HIGH,OVERDUE
OBL00159,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,19781196.37,2025-03-20,2025-05-04,MEDIUM,PAID
OBL00160,COMP001,SUP005,REGULATORY obligation – MRF Ltd,REGULATORY,5211458.1,2025-04-06,2025-05-21,HIGH,PAID
OBL00161,COMP001,SUP006,UTILITY obligation – Apollo Tyres Ltd,UTILITY,10271440.04,2025-06-28,2025-08-12,HIGH,PAID
OBL00162,COMP001,SUP011,SALARY obligation – ZF Commercial Vehicle Control,SALARY,12614852.69,2025-10-17,2025-12-16,HIGH,OVERDUE
OBL00163,COMP001,SUP010,EMI obligation – Valeo India Pvt Ltd,EMI,28661246.8,2025-04-27,2025-06-26,HIGH,OVERDUE
OBL00164,COMP001,SUP009,TAX obligation – Sundaram-Clayton Ltd,TAX,27923840.86,2025-12-14,2026-01-28,HIGH,PENDING
OBL00165,COMP001,SUP013,EMI obligation – 3M India Ltd,EMI,19638379.54,2025-10-11,2025-12-10,HIGH,OVERDUE
OBL00166,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,12014156.1,2025-03-25,2025-05-24,HIGH,OVERDUE
OBL00167,COMP001,SUP003,SALARY obligation – Bosch Ltd,SALARY,37954551.54,2025-08-08,2025-08-23,CRITICAL,PAID
OBL00168,COMP001,SUP002,RENT obligation – JSW Steel Ltd,RENT,10397636.68,2025-04-05,2025-05-05,HIGH,OVERDUE
OBL00169,COMP001,SUP012,RAW_MATERIAL obligation – Saint-Gobain India,RAW_MATERIAL,24116972.3,2025-06-04,2025-08-03,HIGH,OVERDUE
OBL00170,COMP001,SUP005,SALARY obligation – MRF Ltd,SALARY,28326229.08,2025-11-28,2026-01-12,HIGH,PENDING
OBL00171,COMP001,SUP010,REGULATORY obligation – Valeo India Pvt Ltd,REGULATORY,6365003.2,2025-04-07,2025-06-06,HIGH,PAID
OBL00172,COMP001,SUP015,RAW_MATERIAL obligation – Castrol India Ltd,RAW_MATERIAL,14676413.34,2025-09-29,2025-11-13,MEDIUM,PAID
OBL00173,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,21828656.99,2025-05-02,2025-06-16,HIGH,OVERDUE
OBL00174,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,37955304.53,2025-07-30,2025-09-13,CRITICAL,PAID
OBL00175,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,28833991.22,2025-03-05,2025-04-19,CRITICAL,PAID
OBL00176,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,39120982.92,2025-06-22,2025-07-22,CRITICAL,OVERDUE
OBL00177,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,28388125.22,2025-03-04,2025-04-18,CRITICAL,PAID
OBL00178,COMP001,SUP008,RAW_MATERIAL obligation – Bharat Forge Ltd,RAW_MATERIAL,22423081.41,2025-08-28,2025-10-12,HIGH,OVERDUE
OBL00179,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,19924562.25,2025-02-25,2025-03-12,CRITICAL,PAID
OBL00180,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,23916587.78,2025-01-10,2025-02-24,CRITICAL,PAID
OBL00181,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,7698862.24,2025-03-10,2025-05-09,MEDIUM,PAID
OBL00182,COMP001,SUP008,REGULATORY obligation – Bharat Forge Ltd,REGULATORY,4802904.9,2025-11-16,2025-12-31,HIGH,PENDING
OBL00183,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,18369885.93,2025-02-22,2025-03-09,CRITICAL,OVERDUE
OBL00184,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,35998620.25,2025-12-09,2026-02-07,HIGH,PENDING
OBL00185,COMP001,SUP005,REGULATORY obligation – MRF Ltd,REGULATORY,6616789.75,2025-11-16,2025-12-31,HIGH,PAID
OBL00186,COMP001,SUP001,RAW_MATERIAL obligation – Tata Steel Ltd,RAW_MATERIAL,28080949.38,2025-05-15,2025-06-14,CRITICAL,OVERDUE
OBL00187,COMP001,SUP005,SALARY obligation – MRF Ltd,SALARY,27343671.84,2025-10-24,2025-12-08,CRITICAL,OVERDUE
OBL00188,COMP001,SUP002,REGULATORY obligation – JSW Steel Ltd,REGULATORY,11918947.39,2025-12-16,2026-01-15,HIGH,PENDING
OBL00189,COMP001,SUP011,EMI obligation – ZF Commercial Vehicle Control,EMI,35149996.04,2025-03-10,2025-05-09,CRITICAL,PAID
OBL00190,COMP001,SUP015,EMI obligation – Castrol India Ltd,EMI,19174690.13,2025-11-13,2025-12-28,MEDIUM,PENDING
