date,company_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,balance,available_balance,reserved_balance,deployable_cash,invoices_created_count,invoices_created_amount,obligations_created_count,obligations_created_amount,customer_payment_amount,customer_payment_count,operating_expense_amount,operating_expense_count,supplier_payment_amount,supplier_payment_count,unexpected_expense_amount,unexpected_expense_count,loan_draw_amount,loan_draw_count,loan_repayment_amount,loan_repayment_count,interest_payment_amount,interest_payment_count,events_logged_count
2025-01-13,COMP001,CASH001,575434008.47,18420810.84,6052614.75,587802204.56,537802204.56,50000000.0,537802204.56,0,0.0,2,60239996.61,18420810.84,1,6052614.75,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-14,COMP001,CASH001,587802204.56,25028520.56,6076985.82,606753739.3,556753739.3,50000000.0,556753739.3,2,90316614.45,1,25459010.28,25028520.56,1,6076985.82,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-15,COMP001,CASH001,606753739.3,13146837.8,5080130.31,614820446.79,564820446.79,50000000.0,564820446.79,0,0.0,2,85778459.53999999,13146837.8,1,5080130.31,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-16,COMP001,CASH001,614820446.79,15323931.83,3091713.65,627052664.97,577052664.97,50000000.0,577052664.97,1,43034507.6,2,65562962.29,15323931.83,1,3091713.65,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-17,COMP001,CASH001,627052664.97,24892988.65,7700446.63,644245206.99,594245206.99,50000000.0,594245206.99,0,0.0,0,0.0,24892988.65,1,7700446.63,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-18,COMP001,CASH001,644245206.99,43099471.17,1920605.43,685424072.73,635424072.73,50000000.0,635424072.73,0,0.0,0,0.0,43099471.17,2,1920605.43,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-19,COMP001,CASH001,685424072.73,3747510.29,693618.65,688477964.37,638477964.37,50000000.0,638477964.37,2,16602763.9,0,0.0,3747510.29,1,693618.65,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-20,COMP001,CASH001,688477964.37,13056662.5,9426309.86,692108317.01,642108317.01,50000000.0,642108317.01,0,0.0,0,0.0,13056662.5,1,9426309.86,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-21,COMP001,CASH001,692108317.01,23998733.76,5764781.25,710342269.52,660342269.52,50000000.0,660342269.52,2,44742273.53,0,0.0,23998733.76,1,5764781.25,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-22,COMP001,CASH001,710342269.52,16939534.16,6587261.09,720694542.59,670694542.59,50000000.0,670694542.59,1,32466236.25,0,0.0,16939534.16,1,6587261.09,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-01-23,COMP001,CASH001,720694542.59,10583714.7,6061609.69,725216647.6,675216647.6,50000000.0,675216647.6,1,37606917.5,0,0.0,10583714.7,1,6061609.69,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-24,COMP001,CASH001,725216647.6,94196094.33,8974671.85,810438070.08,760438070.08,50000000.0,760438070.08,1,29939231.53,0,0.0,94196094.33,2,8974671.85,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-01-25,COMP001,CASH001,810438070.08,1770617.28,1090536.32,811118151.04,761118151.04,50000000.0,761118151.04,0,0.0,0,0.0,1770617.28,1,1090536.32,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-26,COMP001,CASH001,811118151.04,2235351.39,1733547.63,811619954.8,761619954.8,50000000.0,761619954.8,0,0.0,0,0.0,2235351.39,1,1733547.63,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-27,COMP001,CASH001,811619954.8,18578174.29,7760876.89,822437252.2,772437252.2,50000000.0,772437252.2,2,106745536.84,1,33207449.01,18578174.29,1,7760876.89,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-28,COMP001,CASH001,822437252.2,18561777.64,25410241.26,815588788.58,765588788.58,50000000.0,765588788.58,1,30414319.76,1,12368420.76,18561777.64,1,12437466.92,1,12972774.34,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-01-29,COMP001,CASH001,815588788.58,13165799.13,67715875.31,761038712.4,711038712.4,50000000.0,711038712.4,1,38636448.2,1,51980986.11,13165799.13,1,8714365.12,1,59001510.19,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-01-30,COMP001,CASH001,761038712.4,8512031.03,13651846.88,755898896.55,705898896.55,50000000.0,705898896.55,1,41445522.24,0,0.0,8512031.03,1,13651846.88,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3
2025-01-31,COMP001,CASH001,755898896.55,16404715.07,4489932.0,767813679.62,717813679.62,50000000.0,717813679.62,1,36684794.95,0,0.0,16404715.07,1,4489932.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-02-01,COMP001,CASH001,767813679.62,37124398.65,1678377.08,803259701.19,753259701.19,50000000.0,753259701.19,1,20965891.37,1,14041304.61,37124398.65,2,1678377.08,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-02,COMP001,CASH001,803259701.19,2319686.66,24504978.42,781074409.43,731074409.43,50000000.0,731074409.43,3,62930695.06,3,108959479.74,2319686.66,1,872018.16,1,23632960.26,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-03,COMP001,CASH001,781074409.43,104160917.83,4068721.7,881166605.56,831166605.56,50000000.0,831166605.56,1,58570252.28,1,55385806.77,104160917.83000001,3,4068721.7,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-02-04,COMP001,CASH001,881166605.56,19800878.22,4773556.82,896193926.96,846193926.96,50000000.0,846193926.96,2,52196978.62,0,0.0,19800878.22,1,4773556.82,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-02-05,COMP001,CASH001,896193926.96,18279249.5,4708381.89,909764794.57,859764794.57,50000000.0,859764794.57,2,44291827.89,0,0.0,18279249.5,1,4708381.89,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-06,COMP001,CASH001,909764794.57,10091333.19,16494284.39,903361843.37,853361843.37,50000000.0,853361843.37,1,15149695.73,1,23645172.87,10091333.19,1,6789665.5,1,9704618.89,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-02-07,COMP001,CASH001,903361843.37,18490951.17,4347703.03,917505091.51,867505091.51,50000000.0,867505091.51,3,41939302.78,1,41040883.48,18490951.17,1,4347703.03,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-02-08,COMP001,CASH001,917505091.51,52051783.09,1905446.0,967651428.6,917651428.6,50000000.0,917651428.6,2,22917758.94,1,45701903.46,52051783.09,2,1905446.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-09,COMP001,CASH001,967651428.6,3365938.83,21681550.0,949335817.43,899335817.43,50000000.0,899335817.43,3,67585339.78999999,1,37802557.31,3365938.83,1,1873905.76,1,19807644.24,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-10,COMP001,CASH001,949335817.43,9073123.41,5347195.4,953061745.44,903061745.44,50000000.0,903061745.44,1,25182057.86,0,0.0,9073123.41,1,5347195.4,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-11,COMP001,CASH001,953061745.44,60298611.64,63556542.95,949803814.13,899803814.13,50000000.0,899803814.13,1,41808613.12,2,61694706.8,60298611.64,2,7482298.99,1,56074243.96,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-12,COMP001,CASH001,949803814.13,20617024.26,36204494.07,934216344.32,884216344.32,50000000.0,884216344.32,1,3600999.38,0,0.0,20617024.26,1,3894697.15,1,32309796.92,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-13,COMP001,CASH001,934216344.32,16297628.46,7172598.2,943341374.58,893341374.58,50000000.0,893341374.58,0,0.0,0,0.0,16297628.46,1,7172598.2,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-14,COMP001,CASH001,943341374.58,46469984.02,50056230.47,939755128.13,889755128.13,50000000.0,889755128.13,1,31188745.12,0,0.0,46469984.019999996,2,4157206.51,1,45899023.96,2,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-15,COMP001,CASH001,939755128.13,48681041.13,6650577.03,981785592.23,931785592.23,50000000.0,931785592.23,1,47270989.44,0,0.0,48681041.129999995,3,1511649.53,1,5138927.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-16,COMP001,CASH001,981785592.23,42267568.36,1092648.84,1022960511.75,972960511.75,50000000.0,972960511.75,0,0.0,1,13232461.69,42267568.36,3,1092648.84,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-17,COMP001,CASH001,1022960511.75,16424221.14,7415509.75,1031969223.14,981969223.14,50000000.0,981969223.14,0,0.0,0,0.0,16424221.14,1,7415509.75,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-18,COMP001,CASH001,1031969223.14,122117880.28,9401627.08,1144685476.34,1094685476.34,50000000.0,1094685476.34,0,0.0,3,32216662.759999998,122117880.28,4,9401627.08,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-19,COMP001,CASH001,1144685476.34,21765093.57,9233297.3,1157217272.61,1107217272.61,50000000.0,1107217272.61,3,121804144.14,0,0.0,21765093.57,2,9233297.3,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-02-20,COMP001,CASH001,1157217272.61,25318456.88,63100154.88,1119435574.61,1069435574.61,50000000.0,1069435574.61,1,30582012.26,2,71566622.02,25318456.88,2,8307745.99,1,54792408.89,1,0.0,0,0.0,0,0.0,0,0.0,0,3
2025-02-21,COMP001,CASH001,1119435574.61,24103693.44,24322745.96,1119216522.09,1069216522.09,50000000.0,1069216522.09,1,53902948.36,1,50060096.45,24103693.44,1,7370428.99,1,16952316.97,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-22,COMP001,CASH001,1119216522.09,3655548.88,20909008.54,1101963062.43,1051963062.43,50000000.0,1051963062.43,2,26622506.39,2,64183617.83,3655548.88,1,1755921.63,1,19153086.91,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-02-23,COMP001,CASH001,1101963062.43,3388457.04,1515691.55,1103835827.92,1053835827.92,50000000.0,1053835827.92,1,9160209.29,0,0.0,3388457.04,1,1515691.55,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-24,COMP001,CASH001,1103835827.92,14452260.91,9017008.98,1109271079.85,1059271079.85,50000000.0,1059271079.85,3,60385186.620000005,0,0.0,14452260.91,1,9017008.98,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-25,COMP001,CASH001,1109271079.85,25995506.71,7027072.18,1128239514.38,1078239514.38,50000000.0,1078239514.38,1,43741954.83,2,86599547.24000001,25995506.71,1,7027072.18,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-02-26,COMP001,CASH001,1128239514.38,11095893.41,4069771.47,1135265636.32,1085265636.32,50000000.0,1085265636.32,0,0.0,0,0.0,11095893.41,1,4069771.47,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-02-27,COMP001,CASH001,1135265636.32,34370064.2,36380420.93,1133255279.59,1083255279.59,50000000.0,1083255279.59,1,25024810.43,0,0.0,34370064.2,2,5966101.17,1,30414319.76,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-02-28,COMP001,CASH001,1133255279.59,21448712.64,10505926.62,1144198065.61,1094198065.61,50000000.0,1094198065.61,0,0.0,0,0.0,21448712.64,1,10505926.62,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-01,COMP001,CASH001,1144198065.61,23432587.61,22279226.23,1145351426.99,1095351426.99,50000000.0,1095351426.99,1,14353734.99,0,0.0,23432587.61,2,1313334.86,1,20965891.37,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-02,COMP001,CASH001,1145351426.99,108146628.28,54956515.97,1198541539.3,1148541539.3,50000000.0,1148541539.3,1,51949960.86,0,0.0,108146628.28,3,600845.04,1,54355670.93,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-03,COMP001,CASH001,1198541539.3,15326107.14,63752749.04,1150114897.4,1100114897.4,50000000.0,1100114897.4,2,94440488.86,0,0.0,15326107.14,1,9867067.65,1,53885681.39,2,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-04,COMP001,CASH001,1150114897.4,80770388.81,4131512.55,1226753773.66,1176753773.66,50000000.0,1176753773.66,2,10131367.92,2,73326868.97,80770388.81,4,4131512.55,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-05,COMP001,CASH001,1226753773.66,137857526.86,4666388.43,1359944912.09,1309944912.09,50000000.0,1309944912.09,1,31069272.15,2,100658977.92,137857526.86,3,4666388.43,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-06,COMP001,CASH001,1359944912.09,11476891.34,44162680.68,1327259122.75,1277259122.75,50000000.0,1277259122.75,2,103560870.35,1,5820593.76,11476891.34,1,4966264.87,1,0.0,0,39196415.81,1,0.0,0,0.0,0,0.0,0,0
2025-03-07,COMP001,CASH001,1327259122.75,46472533.76,42267101.79,1331464554.72,1281464554.72,50000000.0,1281464554.72,3,64834844.269999996,0,0.0,46472533.760000005,2,9800865.54,1,32466236.25,1,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-03-08,COMP001,CASH001,1331464554.72,2199192.18,16534763.16,1317128983.74,1267128983.74,50000000.0,1267128983.74,0,0.0,1,4007692.36,2199192.18,1,1602414.85,1,14932348.309999999,2,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-09,COMP001,CASH001,1317128983.74,25432084.59,125578543.94,1216982524.39,1166982524.39,50000000.0,1166982524.39,1,42840483.27,0,0.0,25432084.59,2,1960884.54,1,123617659.4,4,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-10,COMP001,CASH001,1216982524.39,47212120.8,37574182.87,1226620462.32,1176620462.32,50000000.0,1176620462.32,1,19707219.96,2,62767160.05,47212120.8,2,8582488.2,1,28991694.669999998,2,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-11,COMP001,CASH001,1226620462.32,79482586.44,8273884.64,1297829164.12,1247829164.12,50000000.0,1247829164.12,2,55725520.25,0,0.0,79482586.44,3,8273884.64,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-12,COMP001,CASH001,1297829164.12,89194377.16,9177328.4,1377846212.88,1327846212.88,50000000.0,1327846212.88,0,0.0,0,0.0,89194377.16,4,9177328.4,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-13,COMP001,CASH001,1377846212.88,65559141.59,4896517.34,1438508837.13,1388508837.13,50000000.0,1388508837.13,2,53101629.07,2,30083045.84,65559141.589999996,2,4896517.34,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-03-14,COMP001,CASH001,1438508837.13,58642299.03,58986351.23,1438164784.93,1388164784.93,50000000.0,1388164784.93,2,70824183.42999999,0,0.0,58642299.03,2,9594285.01,1,49392066.22,2,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-15,COMP001,CASH001,1438164784.93,14157135.14,89387310.65,1362934609.42,1312934609.42,50000000.0,1312934609.42,1,30429227.65,0,0.0,14157135.139999999,2,670798.97,1,88716511.68,2,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-16,COMP001,CASH001,1362934609.42,27622373.72,44359938.94,1346197044.2,1296197044.2,50000000.0,1296197044.2,1,10744152.07,1,16500309.91,27622373.72,2,1325431.34,1,43034507.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-17,COMP001,CASH001,1346197044.2,110553783.42,6778283.82,1449972543.8,1399972543.8,50000000.0,1399972543.8,1,6349123.43,2,43865464.260000005,110553783.42,3,6778283.82,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-18,COMP001,CASH001,1449972543.8,102773066.37,64095774.95,1488649835.22,1438649835.22,50000000.0,1438649835.22,0,0.0,0,0.0,102773066.37,3,4882833.14,1,59212941.81,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-19,COMP001,CASH001,1488649835.22,13951530.56,16406254.64,1486195111.14,1436195111.14,50000000.0,1436195111.14,3,104450473.85,0,0.0,13951530.56,1,9567557.37,1,6838697.27,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-20,COMP001,CASH001,1486195111.14,39605225.81,5470563.36,1520329773.59,1470329773.59,50000000.0,1470329773.59,0,0.0,2,45999236.7,39605225.81,2,5470563.36,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-21,COMP001,CASH001,1520329773.59,49713949.74,7394268.0,1562649455.33,1512649455.33,50000000.0,1512649455.33,1,38581702.56,1,35817057.52,49713949.74,2,7394268.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2025-03-22,COMP001,CASH001,1562649455.33,1930792.21,38498102.95,1526082144.59,1476082144.59,50000000.0,1476082144.59,1,23086404.14,0,0.0,1930792.21,1,594526.69,1,37903576.26,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-23,COMP001,CASH001,1526082144.59,59090987.78,13291991.36,1571881141.01,1521881141.01,50000000.0,1521881141.01,2,72661638.5,0,0.0,59090987.78,2,1970871.65,1,11321119.71,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-24,COMP001,CASH001,1571881141.01,71809872.6,51591616.99,1592099396.62,1542099396.62,50000000.0,1542099396.62,0,0.0,1,43119201.97,71809872.6,2,9211121.15,1,42380495.84,2,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-25,COMP001,CASH001,1592099396.62,91943150.78,67809303.93,1616233243.47,1566233243.47,50000000.0,1566233243.47,1,28651573.91,2,25506213.64,91943150.78,2,8080174.86,1,59729129.07,2,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-26,COMP001,CASH001,1616233243.47,132903409.25,50556002.06,1698580650.66,1648580650.66,50000000.0,1648580650.66,1,3344718.31,0,0.0,132903409.25,4,3189154.7,1,47366847.36,2,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-27,COMP001,CASH001,1698580650.66,89126981.16,48447277.41,1739260354.41,1689260354.41,50000000.0,1689260354.41,2,89133474.78,1,7915626.46,89126981.16,3,6636561.62,1,41810715.79,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-03-28,COMP001,CASH001,1739260354.41,26101703.53,5414206.72,1759947851.22,1709947851.22,50000000.0,1709947851.22,1,48519338.88,1,4778392.99,26101703.53,1,5414206.72,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-29,COMP001,CASH001,1759947851.22,118270232.84,1428313.84,1876789770.22,1826789770.22,50000000.0,1826789770.22,0,0.0,0,0.0,118270232.84,3,1428313.84,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-30,COMP001,CASH001,1876789770.22,66401487.54,1755361.19,1941435896.57,1891435896.57,50000000.0,1891435896.57,4,102302581.86,0,0.0,66401487.54,2,1755361.19,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-03-31,COMP001,CASH001,1941435896.57,46734836.16,52374400.08,1935796332.65,1885796332.65,50000000.0,1885796332.65,1,38837615.08,0,0.0,46734836.16,2,13737951.88,1,38636448.2,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-01,COMP001,CASH001,1935796332.65,47043812.75,17443310.24,1965396835.16,1915396835.16,50000000.0,1915396835.16,0,0.0,0,0.0,47043812.75,2,4300953.3,1,0.0,0,0.0,0,0.0,0,0.0,0,13142356.94,1,0
2025-04-02,COMP001,CASH001,1965396835.16,84143654.68,4091094.58,2045449395.26,1995449395.26,50000000.0,1995449395.26,1,12659738.83,0,0.0,84143654.68,2,4091094.58,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-03,COMP001,CASH001,2045449395.26,201676407.08,4895788.19,2242230014.15,2192230014.15,50000000.0,2192230014.15,1,38867845.39,0,0.0,201676407.07999998,4,4895788.19,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-04,COMP001,CASH001,2242230014.15,110117926.98,6355151.82,2345992789.31,2295992789.31,50000000.0,2295992789.31,4,128872053.25999999,1,33036633.52,110117926.98,3,6355151.82,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-05,COMP001,CASH001,2345992789.31,1969984.04,55338140.12,2292624633.23,2242624633.23,50000000.0,2242624633.23,1,45850148.1,2,30719173.380000003,1969984.04,1,1806417.03,1,53531723.09,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-06,COMP001,CASH001,2292624633.23,2460775.05,36389472.17,2258695936.11,2208695936.11,50000000.0,2208695936.11,2,69564474.44,1,6406840.85,2460775.05,1,1380865.53,1,35008606.64,2,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-04-07,COMP001,CASH001,2258695936.11,35129528.66,4071510.52,2289753954.25,2239753954.25,50000000.0,2239753954.25,0,0.0,2,59890093.27,35129528.660000004,2,4071510.52,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-08,COMP001,CASH001,2289753954.25,18298567.31,54549179.38,2253503342.18,2203503342.18,50000000.0,2203503342.18,1,59118384.12,0,0.0,18298567.31,1,7428609.21,1,47120570.17,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-09,COMP001,CASH001,2253503342.18,66055465.12,100467509.11,2219091298.19,2169091298.19,50000000.0,2169091298.19,1,6438952.86,0,0.0,66055465.12,2,9127942.27,1,91339566.84,3,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-04-10,COMP001,CASH001,2219091298.19,13841178.42,5545142.16,2227387334.45,2177387334.45,50000000.0,2177387334.45,2,46616399.61,1,59994510.78,13841178.42,1,5545142.16,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-11,COMP001,CASH001,2227387334.45,23676383.96,15480189.3,2235583529.11,2185583529.11,50000000.0,2185583529.11,2,38171294.55,0,0.0,23676383.96,1,3530420.7,1,11949768.6,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-04-12,COMP001,CASH001,2235583529.11,63591716.04,1261696.99,2297913548.16,2247913548.16,50000000.0,2247913548.16,1,26530572.71,2,90919171.95,63591716.04,2,1261696.99,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-13,COMP001,CASH001,2297913548.16,79988485.97,36718078.09,2341183956.04,2291183956.04,50000000.0,2291183956.04,2,10760402.2,1,23009047.23,79988485.97,3,1928333.59,1,34789744.5,2,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-14,COMP001,CASH001,2341183956.04,10108186.73,4632300.11,2346659842.66,2296659842.66,50000000.0,2296659842.66,0,0.0,1,50486009.13,10108186.73,1,4632300.11,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-15,COMP001,CASH001,2346659842.66,30785473.46,52498995.54,2324946320.58,2274946320.58,50000000.0,2274946320.58,1,41062700.77,0,0.0,30785473.46,1,6099635.94,1,46399359.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-16,COMP001,CASH001,2324946320.58,22028890.1,20673620.75,2326301589.93,2276301589.93,50000000.0,2276301589.93,2,66146894.66,0,0.0,22028890.1,2,9209784.35,1,11463836.4,1,0.0,0,0.0,0,0.0,0,0.0,0,1
2025-04-17,COMP001,CASH001,2326301589.93,8607575.32,80146308.35,2254762856.9,2204762856.9,50000000.0,2204762856.9,0,0.0,2,34833741.339999996,8607575.32,1,7445915.41,1,72700392.94,3,0.0,0,0.0,0,0.0,0,0.0,0,0
2025-04-18,COMP001,CASH001,2254762856.9,74346534.46,46271330.86,2282838060.5,2232838060.5,50000000.0,2232838060.5,0,0.0,1,23894504.31,74346534.46,2,6644304.93,1,39627025.93,2,0.0,0,0.0,0,0.0,0,0.0,0,1
