receivable_id,customer_id,company_id,amount,invoice_date,expected_date,collection_probability,expected_delay_days,status,actual_payment_date
RCV00025,CUST010,COMP001,15171490.41,2025-02-24,2025-04-25,0.52,0,PAID,2025-04-25
RCV00026,CUST014,COMP001,9917598.49,2025-09-19,2025-10-19,0.85,0,OVERDUE,
RCV00027,CUST015,COMP001,18957109.45,2025-03-29,2025-04-28,0.81,24,PAID,2025-05-03
RCV00028,CUST019,COMP001,35773543.13,2025-08-10,2025-09-24,0.39,34,PAID,2025-10-21
RCV00029,CUST009,COMP001,38627672.78,2025-02-02,2025-04-03,0.28,26,PAID,2025-04-12
RCV00030,CUST018,COMP001,18440007.4,2025-04-15,2025-05-30,0.8,0,PAID,2025-05-30
RCV00031,CUST014,COMP001,18708919.06,2025-11-27,2025-12-27,0.85,0,PAID,2025-12-27
RCV00032,CUST018,COMP001,3463240.26,2025-04-17,2025-06-01,0.8,0,OVERDUE,
RCV00033,CUST021,COMP001,36615481.97,2025-04-12,2025-04-27,0.86,0,OVERDUE,
RCV00034,CUST011,COMP001,27478998.95,2025-08-11,2025-09-10,0.85,0,PAID,2025-09-08
RCV00035,CUST001,COMP001,8161587.14,2025-05-20,2025-06-04,0.89,0,PAID,2025-06-03
RCV00036,CUST010,COMP001,20617764.94,2025-07-14,2025-09-12,0.57,25,PAID,2025-09-09
RCV00037,CUST012,COMP001,25172508.74,2025-10-05,2025-10-20,0.93,0,PAID,2025-10-18
RCV00038,CUST017,COMP001,44188169.64,2025-10-09,2025-11-23,0.8,31,PAID,2025-12-17
RCV00039,CUST009,COMP001,30893226.8,2025-01-17,2025-03-18,0.3,1,PAID,2025-03-18
RCV00040,CUST004,COMP001,40236628.86,2025-05-22,2025-07-06,0.68,24,PAID,2025-07-17
RCV00041,CUST007,COMP001,49311288.83,2025-11-24,2026-01-08,0.62,0,PENDING,
RCV00042,CUST002,COMP001,18222905.53,2025-09-26,2025-10-26,0.83,0,PAID,2025-10-24
RCV00043,CUST019,COMP001,9810651.69,2025-04-26,2025-06-10,0.41,0,PAID,2025-06-07
RCV00044,CUST009,COMP001,10687515.91,2025-06-14,2025-08-13,0.36,0,PAID,2025-08-31
RCV00045,CUST023,COMP001,18273850.79,2025-04-16,2025-05-16,0.9,0,PAID,2025-05-14
RCV00046,CUST024,COMP001,33191193.7,2025-01-28,2025-03-14,0.79,0,PAID,2025-03-13
RCV00047,CUST022,COMP001,22869183.01,2025-07-31,2025-08-30,0.91,0,PAID,2025-08-29
RCV00048,CUST024,COMP001,48019285.16,2025-10-20,2025-12-04,0.83,19,PAID,2025-12-03
RCV00049,CUST007,COMP001,31122047.64,2025-08-08,2025-09-22,0.55,30,OVERDUE,
RCV00050,CUST023,COMP001,12798866.11,2025-05-28,2025-06-27,0.9,0,PAID,2025-06-27
RCV00051,CUST004,COMP001,18227455.69,2025-02-17,2025-04-03,0.68,0,PAID,2025-03-31
RCV00052,CUST017,COMP001,21362477.43,2025-07-23,2025-09-06,0.77,0,PAID,2025-09-04
RCV00053,CUST011,COMP001,8858038.0,2025-03-16,2025-04-15,0.9,0,PAID,2025-04-13
RCV00054,CUST024,COMP001,6790219.88,2025-10-03,2025-11-17,0.76,0,PAID,2025-11-15
RCV00055,CUST007,COMP001,7287581.7,2025-06-25,2025-08-09,0.56,0,OVERDUE,
RCV00056,CUST021,COMP001,31869311.01,2025-02-27,2025-03-14,0.86,0,PAID,2025-03-11
RCV00057,CUST007,COMP001,17009996.36,2025-05-22,2025-07-06,0.56,0,PAID,2025-07-06
RCV00058,CUST001,COMP001,47216985.27,2025-04-06,2025-04-21,0.89,0,PAID,2025-04-25
RCV00059,CUST020,COMP001,16923247.36,2025-01-03,2025-03-04,0.53,20,PAID,2025-03-04
RCV00060,CUST025,COMP001,46925930.89,2025-11-15,2025-12-30,0.63,0,PAID,2025-12-29
RCV00061,CUST013,COMP001,44778257.46,2025-12-10,2026-01-09,0.92,0,PENDING,
RCV00062,CUST021,COMP001,45577862.51,2025-11-04,2025-11-19,0.87,0,PAID,2025-11-30
RCV00063,CUST021,COMP001,37724530.27,2025-03-11,2025-03-26,0.85,0,PAID,2025-03-24
RCV00064,CUST011,COMP001,27952887.39,2025-04-09,2025-05-09,0.87,24,PAID,2025-05-08
RCV00065,CUST005,COMP001,13546597.96,2025-12-03,2026-01-02,0.61,24,PENDING,
RCV00066,CUST001,COMP001,42602608.28,2025-09-01,2025-09-16,0.84,0,PAID,2025-09-14
RCV00067,CUST008,COMP001,45447733.67,2025-03-26,2025-04-25,0.7,0,PAID,2025-04-24
RCV00068,CUST017,COMP001,15122293.24,2025-05-28,2025-07-12,0.78,0,PAID,2025-07-10
RCV00069,CUST017,COMP001,8741687.47,2025-03-31,2025-05-15,0.83,0,PAID,2025-05-14
RCV00070,CUST013,COMP001,18225066.66,2025-05-03,2025-06-02,0.94,28,PAID,2025-06-01
RCV00071,CUST004,COMP001,6882091.68,2025-06-30,2025-08-14,0.6,0,PAID,2025-08-12
RCV00072,CUST002,COMP001,10921550.5,2025-06-06,2025-07-06,0.83,0,PAID,2025-07-06
RCV00073,CUST020,COMP001,16500101.71,2025-07-01,2025-08-30,0.51,21,PAID,2025-08-28
RCV00074,CUST018,COMP001,22931076.94,2025-09-16,2025-10-31,0.74,15,PAID,2025-10-31
RCV00075,CUST021,COMP001,49518859.46,2025-11-05,2025-11-20,0.83,0,PAID,2025-11-17
RCV00076,CUST014,COMP001,19047251.4,2025-08-24,2025-09-23,0.78,0,PAID,2025-09-23
RCV00077,CUST007,COMP001,46600784.17,2025-08-22,2025-10-06,0.55,0,PAID,2025-10-05
RCV00078,CUST018,COMP001,42347744.31,2025-09-02,2025-10-17,0.75,22,PAID,2025-10-16
RCV00079,CUST010,COMP001,43297437.08,2025-01-16,2025-03-17,0.52,11,OVERDUE,
RCV00080,CUST014,COMP001,17459854.89,2025-03-14,2025-04-13,0.8,0,OVERDUE,
RCV00081,CUST006,COMP001,19893105.26,2025-08-31,2025-10-15,0.67,0,OVERDUE,
RCV00082,CUST006,COMP001,2993660.09,2025-07-06,2025-08-20,0.58,25,OVERDUE,
RCV00083,CUST021,COMP001,30644196.62,2025-06-13,2025-06-28,0.84,0,PAID,2025-06-27
RCV00084,CUST010,COMP001,27158381.67,2025-08-02,2025-10-01,0.57,0,PAID,2025-09-28
RCV00085,CUST025,COMP001,27255991.55,2025-02-18,2025-04-04,0.66,0,PAID,2025-04-04
RCV00086,CUST014,COMP001,7192817.58,2025-07-02,2025-08-01,0.79,0,PAID,2025-07-30
RCV00087,CUST008,COMP001,4282091.96,2025-11-03,2025-12-03,0.7,0,PAID,2025-12-02
RCV00088,CUST003,COMP001,25193549.42,2025-12-06,2025-12-21,0.89,0,PAID,2025-12-28
RCV00089,CUST015,COMP001,13353591.75,2025-05-21,2025-06-20,0.82,11,PAID,2025-06-18
RCV00090,CUST009,COMP001,39903327.24,2025-01-08,2025-03-09,0.36,17,PAID,2025-03-30
RCV00091,CUST021,COMP001,16662126.55,2025-03-04,2025-03-19,0.82,0,PAID,2025-03-17
RCV00092,CUST022,COMP001,26849753.09,2025-11-23,2025-12-23,0.97,0,PAID,2025-12-21
RCV00093,CUST006,COMP001,32850896.42,2025-10-10,2025-11-24,0.64,0,PAID,2025-11-22
RCV00094,CUST009,COMP001,47448286.87,2025-04-10,2025-06-09,0.33,22,PAID,2025-06-27
RCV00095,CUST014,COMP001,20112785.37,2025-02-12,2025-03-14,0.82,0,PAID,2025-03-14
RCV00096,CUST019,COMP001,46685146.48,2025-08-02,2025-09-16,0.41,0,OVERDUE,
RCV00097,CUST003,COMP001,6212184.26,2025-05-07,2025-05-22,0.91,0,PAID,2025-05-20
RCV00098,CUST010,COMP001,41295495.99,2025-07-15,2025-09-13,0.56,9,PAID,2025-09-11
RCV00099,CUST003,COMP001,23709930.39,2025-12-06,2025-12-21,0.9,0,PAID,2025-12-21
RCV00100,CUST024,COMP001,46673317.62,2025-04-30,2025-06-14,0.85,0,PAID,2025-06-14
RCV00101,CUST019,COMP001,40932425.04,2025-02-08,2025-03-25,0.36,0,OVERDUE,
RCV00102,CUST022,COMP001,17537576.02,2025-09-15,2025-10-15,0.95,0,PAID,2025-10-13
RCV00103,CUST008,COMP001,11227489.93,2025-06-29,2025-07-29,0.71,25,PAID,2025-07-28
RCV00104,CUST014,COMP001,22515708.71,2025-10-28,2025-11-27,0.78,0,PAID,2025-11-26
RCV00105,CUST011,COMP001,7815748.16,2025-11-03,2025-12-03,0.89,0,PAID,2025-12-03
RCV00106,CUST022,COMP001,15439452.5,2025-08-12,2025-09-11,0.91,0,PAID,2025-09-09
RCV00107,CUST014,COMP001,9949451.5,2025-01-15,2025-02-14,0.8,0,PAID,2025-02-14
RCV00108,CUST011,COMP001,34540398.6,2025-08-11,2025-09-10,0.86,0,PAID,2025-09-09
RCV00109,CUST022,COMP001,16269348.67,2025-02-08,2025-03-10,0.95,12,PAID,2025-03-07
RCV00110,CUST002,COMP001,38658856.16,2025-11-20,2025-12-20,0.86,0,PAID,2025-12-19
RCV00111,CUST021,COMP001,43090309.42,2025-04-22,2025-05-07,0.82,0,PAID,2025-05-07
RCV00112,CUST022,COMP001,23361867.09,2025-07-06,2025-08-05,0.96,0,PAID,2025-08-02
RCV00113,CUST005,COMP001,46248115.75,2025-04-06,2025-05-06,0.62,0,PAID,2025-05-04
RCV00114,CUST016,COMP001,6587508.24,2025-07-19,2025-09-02,0.65,13,OVERDUE,
RCV00115,CUST005,COMP001,36032683.88,2025-05-11,2025-06-10,0.62,21,PAID,2025-06-08
RCV00116,CUST007,COMP001,25291147.74,2025-01-15,2025-03-01,0.57,0,OVERDUE,
RCV00117,CUST017,COMP001,12580489.74,2025-04-07,2025-05-22,0.75,0,PAID,2025-05-22
RCV00118,CUST005,COMP001,48637683.61,2025-11-01,2025-12-01,0.59,24,PAID,2025-11-29
RCV00119,CUST009,COMP001,49130809.59,2025-10-01,2025-11-30,0.33,8,PAID,2025-12-21
RCV00120,CUST017,COMP001,15657900.82,2025-05-31,2025-07-15,0.77,0,PAID,2025-07-13
RCV00121,CUST011,COMP001,32882049.53,2025-06-06,2025-07-06,0.89,0,PAID,2025-07-05
RCV00122,CUST005,COMP001,35207362.75,2025-02-26,2025-03-28,0.59,0,PAID,2025-03-26
RCV00123,CUST021,COMP001,36609381.15,2025-04-03,2025-04-18,0.83,0,PAID,2025-04-18
RCV00124,CUST020,COMP001,32616994.22,2025-07-14,2025-09-12,0.48,0,OVERDUE,
RCV00125,CUST023,COMP001,6294593.01,2025-11-14,2025-12-14,0.81,0,PAID,2025-12-31
RCV00126,CUST022,COMP001,48344791.35,2025-06-18,2025-07-18,0.91,0,PAID,2025-07-15
RCV00127,CUST008,COMP001,12489693.34,2025-08-08,2025-09-07,0.66,33,PAID,2025-09-07
RCV00128,CUST004,COMP001,3530533.1,2025-01-05,2025-02-19,0.65,0,PAID,2025-02-19
RCV00129,CUST009,COMP001,31656896.22,2025-08-06,2025-10-05,0.35,15,PAID,2025-10-31
RCV00130,CUST007,COMP001,39256703.62,2025-03-08,2025-04-22,0.62,0,PAID,2025-04-19
RCV00131,CUST009,COMP001,49223515.41,2025-03-23,2025-05-22,0.33,19,PAID,2025-05-20
RCV00132,CUST011,COMP001,20670850.74,2025-06-13,2025-07-13,0.91,0,PAID,2025-07-11
RCV00133,CUST011,COMP001,23275446.23,2025-11-01,2025-12-01,0.87,0,PAID,2025-11-28
RCV00134,CUST006,COMP001,46031511.02,2025-06-16,2025-07-31,0.62,0,OVERDUE,
RCV00135,CUST017,COMP001,40896276.89,2025-10-25,2025-12-09,0.77,0,PAID,2026-01-07
RCV00136,CUST008,COMP001,8735241.96,2025-08-03,2025-09-02,0.68,0,PAID,2025-08-31
RCV00137,CUST022,COMP001,21408114.4,2025-12-02,2026-01-01,0.92,0,PENDING,
RCV00138,CUST019,COMP001,43526770.09,2025-10-25,2025-12-09,0.39,0,OVERDUE,
RCV00139,CUST024,COMP001,8032064.25,2025-05-13,2025-06-27,0.84,0,PAID,2025-06-26
RCV00140,CUST014,COMP001,12812114.31,2025-06-08,2025-07-08,0.79,0,PAID,2025-07-06
RCV00141,CUST004,COMP001,24104526.87,2025-01-13,2025-02-27,0.68,0,OVERDUE,
RCV00142,CUST005,COMP001,33372032.57,2025-08-15,2025-09-14,0.64,0,PAID,2025-09-18
RCV00143,CUST009,COMP001,20871095.98,2025-12-08,2026-02-06,0.33,0,PENDING,
RCV00144,CUST002,COMP001,2459131.54,2025-04-07,2025-05-07,0.88,0,PAID,2025-05-06
RCV00145,CUST013,COMP001,35254111.61,2025-10-26,2025-11-25,0.92,0,PAID,2025-11-25
RCV00146,CUST025,COMP001,3038951.99,2025-12-07,2026-01-21,0.6,0,PENDING,
RCV00147,CUST012,COMP001,24869814.16,2025-01-31,2025-02-15,0.96,0,PAID,2025-02-15
RCV00148,CUST025,COMP001,27855774.55,2025-11-11,2025-12-26,0.63,22,PAID,2025-12-23
RCV00149,CUST007,COMP001,4218938.44,2025-08-31,2025-10-15,0.61,0,OVERDUE,
RCV00150,CUST007,COMP001,29266680.16,2025-05-28,2025-07-12,0.63,21,PAID,2025-07-11
RCV00151,CUST004,COMP001,38660182.43,2025-02-11,2025-03-28,0.65,32,PAID,2025-03-27
RCV00152,CUST012,COMP001,14903210.57,2025-10-16,2025-10-31,0.95,0,PAID,2025-11-08
RCV00153,CUST022,COMP001,34086256.2,2025-12-14,2026-01-13,0.97,0,PENDING,
RCV00154,CUST001,COMP001,6414108.92,2025-07-24,2025-08-08,0.85,0,PAID,2025-08-10
RCV00155,CUST001,COMP001,20428750.69,2025-11-09,2025-11-24,0.85,0,PAID,2025-11-24
RCV00156,CUST013,COMP001,45297502.7,2025-05-21,2025-06-20,0.89,0,PAID,2025-06-19
RCV00157,CUST011,COMP001,49373617.89,2025-05-04,2025-06-03,0.89,0,PAID,2025-06-02
RCV00158,CUST003,COMP001,19878702.64,2025-01-29,2025-02-13,0.88,0,PAID,2025-02-11
RCV00159,CUST015,COMP001,10512376.36,2025-05-02,2025-06-01,0.74,0,PAID,2025-05-30
RCV00160,CUST009,COMP001,36330117.57,2025-01-02,2025-03-03,0.35,0,OVERDUE,
RCV00161,CUST007,COMP001,38970898.2,2025-03-13,2025-04-27,0.63,17,PAID,2025-04-27
RCV00162,CUST008,COMP001,19836165.97,2025-03-24,2025-04-23,0.7,0,PAID,2025-04-21
RCV00163,CUST001,COMP001,25816169.03,2025-07-06,2025-07-21,0.9,0,PAID,2025-07-20
RCV00164,CUST011,COMP001,35905378.42,2025-05-15,2025-06-14,0.87,0,PAID,2025-06-11
RCV00165,CUST007,COMP001,27232745.89,2025-11-10,2025-12-25,0.6,32,OVERDUE,
RCV00166,CUST012,COMP001,32631188.86,2025-06-25,2025-07-10,0.91,0,PAID,2025-07-08
RCV00167,CUST021,COMP001,17921377.67,2025-11-18,2025-12-03,0.83,0,PAID,2025-11-30
RCV00168,CUST024,COMP001,35480040.64,2025-04-08,2025-05-23,0.85,0,PAID,2025-05-23
RCV00169,CUST025,COMP001,20780046.65,2025-05-22,2025-07-06,0.64,36,OVERDUE,
RCV00170,CUST023,COMP001,15122373.58,2025-11-08,2025-12-08,0.84,0,PAID,2025-12-07
RCV00171,CUST001,COMP001,13602409.78,2025-08-12,2025-08-27,0.86,0,PAID,2025-08-24
RCV00172,CUST008,COMP001,42820276.81,2025-03-25,2025-04-24,0.68,2,PAID,2025-04-22
RCV00173,CUST005,COMP001,22602295.94,2025-07-17,2025-08-16,0.59,0,PAID,2025-08-16
RCV00174,CUST018,COMP001,31547311.82,2025-07-20,2025-09-03,0.78,0,PAID,2025-08-31
RCV00175,CUST016,COMP001,3629100.46,2025-06-14,2025-07-29,0.72,0,PAID,2025-07-26
RCV00176,CUST011,COMP001,37942250.43,2025-08-09,2025-09-08,0.89,0,PAID,2025-09-08
RCV00177,CUST022,COMP001,32549275.09,2025-07-03,2025-08-02,0.93,0,PAID,2025-08-01
RCV00178,CUST013,COMP001,43538079.25,2025-01-07,2025-02-06,0.93,0,PAID,2025-02-03
RCV00179,CUST012,COMP001,3056923.25,2025-02-25,2025-03-12,0.95,0,PAID,2025-03-12
RCV00180,CUST001,COMP001,24862192.93,2025-03-21,2025-04-05,0.84,0,PAID,2025-04-03
RCV00181,CUST009,COMP001,24983315.38,2025-02-25,2025-04-26,0.34,15,OVERDUE,
RCV00182,CUST017,COMP001,21571186.48,2025-05-16,2025-06-30,0.77,0,PAID,2025-06-30
RCV00183,CUST011,COMP001,36263807.06,2025-04-17,2025-05-17,0.86,0,PAID,2025-05-17
RCV00184,CUST005,COMP001,6460807.98,2025-07-14,2025-08-13,0.55,0,OVERDUE,
RCV00185,CUST017,COMP001,36353098.73,2025-11-04,2025-12-19,0.81,0,PAID,2025-12-18
RCV00186,CUST015,COMP001,18619820.93,2025-05-24,2025-06-23,0.81,0,PAID,2025-06-20
RCV00187,CUST022,COMP001,39830210.23,2025-02-15,2025-03-17,0.94,0,PAID,2025-03-17
RCV00188,CUST016,COMP001,3051977.43,2025-05-20,2025-07-04,0.67,0,PAID,2025-07-01
RCV00189,CUST019,COMP001,48895963.97,2025-07-25,2025-09-08,0.35,3,PAID,2025-10-03
RCV00190,CUST012,COMP001,3298713.18,2025-02-05,2025-02-20,0.96,0,PAID,2025-02-20
RCV00191,CUST008,COMP001,32872567.12,2025-06-10,2025-07-10,0.74,30,PAID,2025-07-08
RCV00192,CUST020,COMP001,13469702.54,2025-07-31,2025-09-29,0.53,0,PAID,2025-09-27
RCV00193,CUST021,COMP001,14956471.1,2025-05-19,2025-06-03,0.9,0,PAID,2025-06-03
RCV00194,CUST013,COMP001,10451999.29,2025-04-28,2025-05-28,0.93,0,PAID,2025-06-14
RCV00195,CUST013,COMP001,12761183.7,2025-03-11,2025-04-10,0.9,0,PAID,2025-04-07
RCV00196,CUST021,COMP001,30538972.3,2025-02-03,2025-02-18,0.89,19,PAID,2025-02-18
RCV00197,CUST012,COMP001,43490433.24,2025-03-12,2025-03-27,0.93,0,PAID,2025-03-25
RCV00198,CUST003,COMP001,29585636.41,2025-05-24,2025-06-08,0.86,0,PAID,2025-06-05
RCV00199,CUST023,COMP001,19000014.45,2025-09-19,2025-10-19,0.84,22,PAID,2025-10-19
RCV00200,CUST022,COMP001,23093440.38,2025-11-01,2025-12-01,0.95,0,PAID,2025-11-28
RCV00201,CUST004,COMP001,11263098.25,2025-06-12,2025-07-27,0.69,0,PAID,2025-08-17
RCV00202,CUST006,COMP001,31214075.27,2025-04-19,2025-06-03,0.59,0,OVERDUE,
RCV00203,CUST008,COMP001,37117104.7,2025-08-30,2025-09-29,0.7,7,PAID,2025-10-22
RCV00204,CUST024,COMP001,23663167.99,2025-11-22,2026-01-06,0.83,0,PENDING,
RCV00205,CUST008,COMP001,7381015.0,2025-02-13,2025-03-15,0.67,0,PAID,2025-03-15
RCV00206,CUST025,COMP001,37890145.18,2025-04-19,2025-06-03,0.63,0,PAID,2025-06-01
RCV00207,CUST019,COMP001,30211426.46,2025-03-18,2025-05-02,0.33,0,PAID,2025-04-30
RCV00208,CUST024,COMP001,26582559.56,2025-06-01,2025-07-16,0.78,0,PAID,2025-08-07
RCV00209,CUST011,COMP001,7392850.57,2025-06-11,2025-07-11,0.9,0,PAID,2025-07-11
RCV00210,CUST021,COMP001,23578914.1,2025-05-10,2025-05-25,0.9,0,PAID,2025-05-23
RCV00211,CUST011,COMP001,45702830.78,2025-09-08,2025-10-08,0.89,0,PAID,2025-10-07
RCV00212,CUST011,COMP001,36416875.96,2025-01-28,2025-02-27,0.83,0,OVERDUE,
RCV00213,CUST003,COMP001,25297120.77,2025-12-06,2025-12-21,0.85,0,PAID,2025-12-19
RCV00214,CUST010,COMP001,16740963.78,2025-08-25,2025-10-24,0.51,0,PAID,2025-10-24
RCV00215,CUST019,COMP001,30488718.65,2025-01-30,2025-03-16,0.4,35,PAID,2025-03-29
RCV00216,CUST019,COMP001,18862113.05,2025-07-22,2025-09-05,0.37,26,OVERDUE,
RCV00217,CUST019,COMP001,42623607.97,2025-10-01,2025-11-15,0.39,21,PAID,2025-11-12
RCV00218,CUST013,COMP001,34183269.25,2025-04-15,2025-05-15,0.88,0,PAID,2025-05-15
RCV00219,CUST019,COMP001,21003440.73,2025-08-10,2025-09-24,0.4,16,PAID,2025-09-24
RCV00220,CUST018,COMP001,20147242.71,2025-02-26,2025-04-12,0.81,19,PAID,2025-05-02
RCV00221,CUST011,COMP001,7395530.02,2025-05-27,2025-06-26,0.87,0,PAID,2025-06-25
RCV00222,CUST003,COMP001,8688568.76,2025-10-13,2025-10-28,0.84,0,PAID,2025-10-26
RCV00223,CUST015,COMP001,44524274.12,2025-05-05,2025-06-04,0.83,0,PAID,2025-06-20
RCV00224,CUST013,COMP001,19513243.51,2025-07-21,2025-08-20,0.91,0,PAID,2025-08-20
RCV00225,CUST013,COMP001,15292133.33,2025-09-27,2025-10-27,0.96,0,PAID,2025-10-25
RCV00226,CUST014,COMP001,30388761.77,2025-01-09,2025-02-08,0.76,19,PAID,2025-02-08
RCV00227,CUST011,COMP001,5059365.48,2025-09-06,2025-10-06,0.88,34,PAID,2025-10-03
RCV00228,CUST017,COMP001,29331595.76,2025-10-01,2025-11-15,0.84,0,PAID,2025-11-12
RCV00229,CUST020,COMP001,21970474.11,2025-11-25,2026-01-24,0.45,28,PENDING,
RCV00230,CUST020,COMP001,9872042.74,2025-02-21,2025-04-22,0.53,0,PAID,2025-04-19
RCV00231,CUST019,COMP001,23086122.94,2025-05-09,2025-06-23,0.37,0,OVERDUE,
RCV00232,CUST010,COMP001,23769268.8,2025-02-26,2025-04-27,0.51,0,PAID,2025-04-24
RCV00233,CUST022,COMP001,35601775.92,2025-07-27,2025-08-26,1.0,0,PAID,2025-08-24
RCV00234,CUST023,COMP001,41308940.79,2025-06-01,2025-07-01,0.9,0,PAID,2025-06-28
RCV00235,CUST011,COMP001,9624072.81,2025-05-07,2025-06-06,0.87,0,PAID,2025-06-04
RCV00236,CUST020,COMP001,32373059.04,2025-02-11,2025-04-12,0.49,0,PAID,2025-04-09
RCV00237,CUST001,COMP001,35820805.31,2025-11-30,2025-12-15,0.89,0,PAID,2025-12-13
RCV00238,CUST014,COMP001,47069177.12,2025-11-13,2025-12-13,0.77,0,PAID,2025-12-11
RCV00239,CUST017,COMP001,15527911.59,2025-09-21,2025-11-05,0.79,0,PAID,2025-11-05
RCV00240,CUST013,COMP001,41818592.9,2025-04-17,2025-05-17,0.95,0,PAID,2025-05-17
RCV00241,CUST018,COMP001,20268725.5,2025-02-05,2025-03-22,0.72,1,PAID,2025-03-21
RCV00242,CUST017,COMP001,26989543.2,2025-06-10,2025-07-25,0.81,0,PAID,2025-07-24
RCV00243,CUST004,COMP001,43713097.71,2025-06-01,2025-07-16,0.67,0,OVERDUE,
RCV00244,CUST023,COMP001,39936861.52,2025-12-14,2026-01-13,0.87,0,PENDING,
RCV00245,CUST010,COMP001,13482575.53,2025-09-23,2025-11-22,0.48,0,PAID,2025-11-20
RCV00246,CUST006,COMP001,34101858.31,2025-09-22,2025-11-06,0.58,0,PAID,2025-11-04
RCV00247,CUST012,COMP001,25058199.3,2025-09-04,2025-09-19,0.9,0,PAID,2025-09-19
RCV00248,CUST015,COMP001,2810010.43,2025-12-07,2026-01-06,0.78,0,PENDING,
RCV00249,CUST003,COMP001,16780488.22,2025-09-29,2025-10-14,0.86,0,PAID,2025-10-11
RCV00250,CUST016,COMP001,11801812.62,2025-08-30,2025-10-14,0.69,0,OVERDUE,
RCV00251,CUST002,COMP001,15221381.26,2025-04-06,2025-05-06,0.84,33,PAID,2025-05-03
RCV00252,CUST015,COMP001,13582262.17,2025-12-07,2026-01-06,0.8,24,PENDING,
RCV00253,CUST015,COMP001,20946013.75,2025-02-08,2025-03-10,0.81,0,PAID,2025-03-10
RCV00254,CUST010,COMP001,37297772.12,2025-03-22,2025-05-21,0.52,3,PAID,2025-05-21
RCV00255,CUST001,COMP001,26591706.01,2025-02-05,2025-02-20,0.9,0,PAID,2025-02-18
RCV00256,CUST022,COMP001,43601113.32,2025-05-07,2025-06-06,1.0,0,PAID,2025-06-05
RCV00257,CUST023,COMP001,12197529.78,2025-09-06,2025-10-06,0.84,0,PAID,2025-10-05
RCV00258,CUST007,COMP001,24334232.94,2025-05-30,2025-07-14,0.6,31,PAID,2025-07-14
RCV00259,CUST012,COMP001,4889332.04,2025-02-02,2025-02-17,0.91,0,PAID,2025-02-15
RCV00260,CUST010,COMP001,18729311.88,2025-07-16,2025-09-14,0.58,26,OVERDUE,
RCV00261,CUST008,COMP001,31384457.32,2025-02-10,2025-03-12,0.74,15,PAID,2025-04-04
RCV00262,CUST021,COMP001,25285342.8,2025-01-04,2025-01-19,0.85,0,PAID,2025-01-18
RCV00263,CUST007,COMP001,19872493.97,2025-03-30,2025-05-14,0.62,28,PAID,2025-05-11
RCV00264,CUST003,COMP001,5076547.66,2025-08-04,2025-08-19,0.92,0,PAID,2025-08-19
RCV00265,CUST007,COMP001,24877400.76,2025-01-19,2025-03-05,0.61,18,PAID,2025-03-02
