decision_id,company_id,created_at,decision_type,chosen_action,confidence,reasoning,status
DEC4CF28844,COMP001,2025-06-14,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹1,317,369,928); HIGH obligation – paying immediately.",EXECUTED
DEC78370274,COMP001,2025-06-15,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹1,291,078,185); CRITICAL obligation – paying immediately.",EXECUTED
DEC98115CC1,COMP001,2025-06-18,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹1,303,989,824); HIGH obligation – paying immediately.",EXECUTED
DECB5BC8588,COMP001,2025-06-22,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹1,309,495,384); CRITICAL obligation – paying immediately.",EXECUTED
DEC951658E2,COMP001,2025-06-22,OBLIGATION_PAYMENT,PAY_NOW,0.93,"Strong liquidity (₹1,309,495,384); HIGH obligation – paying immediately.",EXECUTED
DEC10FAE86C,COMP001,2025-06-26,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹1,166,342,835); CRITICAL obligation – paying immediately.",EXECUTED
DEC79476D34,COMP001,2025-07-03,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,265,357,917); CRITICAL obligation – paying immediately.",EXECUTED
DEC6E01168F,COMP001,2025-07-08,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹1,270,788,777); HIGH obligation – paying immediately.",EXECUTED
DEC1505638E,COMP001,2025-07-08,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,270,788,777); HIGH obligation – paying immediately.",EXECUTED
DEC9686433D,COMP001,2025-07-10,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.79,Adequate cash; scheduling payment at maturity.,EXECUTED
DECF3AB5507,COMP001,2025-07-11,OBLIGATION_PAYMENT,PAY_NOW,0.93,"Strong liquidity (₹1,338,238,582); HIGH obligation – paying immediately.",EXECUTED
DEC69DBF99C,COMP001,2025-07-14,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.77,Adequate cash; scheduling payment at maturity.,EXECUTED
DEC31535BEE,COMP001,2025-07-22,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹1,137,455,467); CRITICAL obligation – paying immediately.",EXECUTED
DEC889215C0,COMP001,2025-07-24,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,235,091,049); HIGH obligation – paying immediately.",EXECUTED
DECB646B6F8,COMP001,2025-07-26,OBLIGATION_PAYMENT,PAY_NOW,0.84,"Strong liquidity (₹1,215,831,182); HIGH obligation – paying immediately.",EXECUTED
DECD747DED2,COMP001,2025-08-03,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹1,141,885,514); HIGH obligation – paying immediately.",EXECUTED
DEC59811C4D,COMP001,2025-08-20,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.79,Adequate cash; scheduling payment at maturity.,EXECUTED
DECEEA23E70,COMP001,2025-08-26,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹866,575,578); HIGH obligation – paying immediately.",EXECUTED
DEC1E7982B5,COMP001,2025-08-26,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹866,575,578); CRITICAL obligation – paying immediately.",EXECUTED
DEC537CDB70,COMP001,2025-08-27,OBLIGATION_PAYMENT,PAY_NOW,0.95,"Strong liquidity (₹786,229,193); CRITICAL obligation – paying immediately.",EXECUTED
DECC235E54E,COMP001,2025-08-27,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹786,229,193); HIGH obligation – paying immediately.",EXECUTED
DEC893FFD4B,COMP001,2025-09-15,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹747,302,475); CRITICAL obligation – paying immediately.",EXECUTED
DECB77373BD,COMP001,2025-09-16,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹788,880,715); CRITICAL obligation – paying immediately.",EXECUTED
DEC21402F0F,COMP001,2025-09-23,OBLIGATION_PAYMENT,PAY_NOW,0.93,"Strong liquidity (₹807,289,744); CRITICAL obligation – paying immediately.",EXECUTED
DECD6A590B8,COMP001,2025-09-24,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹822,894,673); HIGH obligation – paying immediately.",EXECUTED
DEC104FE5EC,COMP001,2025-09-26,OBLIGATION_PAYMENT,PAY_NOW,0.8,"Strong liquidity (₹720,904,384); CRITICAL obligation – paying immediately.",EXECUTED
DEC83A2C3C6,COMP001,2025-09-26,OBLIGATION_PAYMENT,PAY_NOW,0.84,"Strong liquidity (₹720,904,384); HIGH obligation – paying immediately.",EXECUTED
DECDF1200F7,COMP001,2025-09-26,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹720,904,384); HIGH obligation – paying immediately.",EXECUTED
DECB036D4AE,COMP001,2025-09-27,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹704,737,322); HIGH obligation – paying immediately.",EXECUTED
DECA4156B5F,COMP001,2025-09-28,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹711,587,502); HIGH obligation – paying immediately.",EXECUTED
DEC80C19FDC,COMP001,2025-10-11,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹634,492,995); CRITICAL obligation – paying immediately.",EXECUTED
DEC1A91A281,COMP001,2025-10-15,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹446,424,460); HIGH obligation – paying immediately.",EXECUTED
DECA8E9DBF3,COMP001,2025-10-23,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹417,562,384); CRITICAL obligation – paying immediately.",EXECUTED
DECD1503DB0,COMP001,2025-10-31,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹566,299,894); CRITICAL obligation – paying immediately.",EXECUTED
DEC333FF3A7,COMP001,2025-11-02,OBLIGATION_PAYMENT,PAY_NOW,0.84,"Strong liquidity (₹498,213,790); CRITICAL obligation – paying immediately.",EXECUTED
DEC106AB908,COMP001,2025-11-03,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.84,Adequate cash; scheduling payment at maturity.,EXECUTED
DEC1584C519,COMP001,2025-11-14,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.81,Adequate cash; scheduling payment at maturity.,EXECUTED
DEC76D45A08,COMP001,2025-11-20,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹460,641,630); CRITICAL obligation – paying immediately.",EXECUTED
DEC077EFC6F,COMP001,2025-12-01,OBLIGATION_PAYMENT,PAY_NOW,0.95,"Strong liquidity (₹655,827,751); CRITICAL obligation – paying immediately.",EXECUTED
DECB43638A3,COMP001,2025-12-02,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹649,330,189); CRITICAL obligation – paying immediately.",EXECUTED
DEC86CBD24C,COMP001,2025-12-03,OBLIGATION_PAYMENT,PAY_NOW,0.95,"Strong liquidity (₹681,779,722); HIGH obligation – paying immediately.",EXECUTED
DEC6C8C837D,COMP001,2025-12-04,OBLIGATION_PAYMENT,PAY_NOW,0.84,"Strong liquidity (₹682,657,801); HIGH obligation – paying immediately.",EXECUTED
DEC1386E8D3,COMP001,2025-12-09,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹622,684,973); CRITICAL obligation – paying immediately.",EXECUTED
DEC258C13EF,COMP001,2025-12-25,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹812,664,698); CRITICAL obligation – paying immediately.",EXECUTED
DEC893C47F9,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹798,322,916); HIGH obligation – paying immediately.",EXECUTED
DECFBAF87EF,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹798,322,916); HIGH obligation – paying immediately.",EXECUTED
DECE918667A,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹798,322,916); HIGH obligation – paying immediately.",EXECUTED
DEC8AB4CCE0,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.74,Adequate cash; scheduling payment at maturity.,EXECUTED
DEC5C47AA0E,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.71,Adequate cash; scheduling payment at maturity.,EXECUTED
DECFA222DE9,COMP001,2025-12-31,OBLIGATION_PAYMENT,CAPTURE_DISCOUNT,0.82,Early-payment discount available and cash adequate.,EXECUTED
DECC1121128,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.82,Adequate cash; scheduling payment at maturity.,EXECUTED
