date,company_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,balance,available_balance,reserved_balance,deployable_cash
2025-01-31,COMP001,CASH001,755898896.55,16404715.07,4489932.0,767813679.62,717813679.62,50000000.0,717813679.62
2025-02-01,COMP001,CASH001,767813679.62,37124398.65,1678377.08,803259701.19,753259701.19,50000000.0,753259701.19
2025-02-02,COMP001,CASH001,803259701.19,2319686.66,24504978.42,781074409.43,731074409.43,50000000.0,731074409.43
2025-02-03,COMP001,CASH001,781074409.43,104160917.83,4068721.7,881166605.56,831166605.56,50000000.0,831166605.56
2025-02-04,COMP001,CASH001,881166605.56,19800878.22,4773556.82,896193926.96,846193926.96,50000000.0,846193926.96
2025-02-05,COMP001,CASH001,896193926.96,18279249.5,4708381.89,909764794.57,859764794.57,50000000.0,859764794.57
2025-02-06,COMP001,CASH001,909764794.57,10091333.19,16494284.39,903361843.37,853361843.37,50000000.0,853361843.37
2025-02-07,COMP001,CASH001,903361843.37,18490951.17,4347703.03,917505091.51,867505091.51,50000000.0,867505091.51
2025-02-08,COMP001,CASH001,917505091.51,52051783.09,1905446.0,967651428.6,917651428.6,50000000.0,917651428.6
2025-02-09,COMP001,CASH001,967651428.6,3365938.83,21681550.0,949335817.43,899335817.43,50000000.0,899335817.43
2025-02-10,COMP001,CASH001,949335817.43,9073123.41,5347195.4,953061745.44,903061745.44,50000000.0,903061745.44
2025-02-11,COMP001,CASH001,953061745.44,60298611.64,63556542.95,949803814.13,899803814.13,50000000.0,899803814.13
2025-02-12,COMP001,CASH001,949803814.13,20617024.26,36204494.07,934216344.32,884216344.32,50000000.0,884216344.32
2025-02-13,COMP001,CASH001,934216344.32,16297628.46,7172598.2,943341374.58,893341374.58,50000000.0,893341374.58
2025-02-14,COMP001,CASH001,943341374.58,46469984.02,50056230.47,939755128.13,889755128.13,50000000.0,889755128.13
2025-02-15,COMP001,CASH001,939755128.13,48681041.13,6650577.03,981785592.23,931785592.23,50000000.0,931785592.23
2025-02-16,COMP001,CASH001,981785592.23,42267568.36,1092648.84,1022960511.75,972960511.75,50000000.0,972960511.75
2025-02-17,COMP001,CASH001,1022960511.75,16424221.14,7415509.75,1031969223.14,981969223.14,50000000.0,981969223.14
2025-02-18,COMP001,CASH001,1031969223.14,122117880.28,9401627.08,1144685476.34,1094685476.34,50000000.0,1094685476.34
2025-02-19,COMP001,CASH001,1144685476.34,21765093.57,9233297.3,1157217272.61,1107217272.61,50000000.0,1107217272.61
2025-02-20,COMP001,CASH001,1157217272.61,25318456.88,63100154.88,1119435574.61,1069435574.61,50000000.0,1069435574.61
2025-02-21,COMP001,CASH001,1119435574.61,24103693.44,24322745.96,1119216522.09,1069216522.09,50000000.0,1069216522.09
2025-02-22,COMP001,CASH001,1119216522.09,3655548.88,20909008.54,1101963062.43,1051963062.43,50000000.0,1051963062.43
2025-02-23,COMP001,CASH001,1101963062.43,3388457.04,1515691.55,1103835827.92,1053835827.92,50000000.0,1053835827.92
2025-02-24,COMP001,CASH001,1103835827.92,14452260.91,9017008.98,1109271079.85,1059271079.85,50000000.0,1059271079.85
2025-02-25,COMP001,CASH001,1109271079.85,25995506.71,7027072.18,1128239514.38,1078239514.38,50000000.0,1078239514.38
2025-02-26,COMP001,CASH001,1128239514.38,11095893.41,4069771.47,1135265636.32,1085265636.32,50000000.0,1085265636.32
2025-02-27,COMP001,CASH001,1135265636.32,34370064.2,36380420.93,1133255279.59,1083255279.59,50000000.0,1083255279.59
2025-02-28,COMP001,CASH001,1133255279.59,21448712.64,10505926.62,1144198065.61,1094198065.61,50000000.0,1094198065.61
2025-03-01,COMP001,CASH001,1144198065.61,23432587.61,22279226.23,1145351426.99,1095351426.99,50000000.0,1095351426.99
2025-03-02,COMP001,CASH001,1145351426.99,108146628.28,54956515.97,1198541539.3,1148541539.3,50000000.0,1148541539.3
2025-03-03,COMP001,CASH001,1198541539.3,15326107.14,63752749.04,1150114897.4,1100114897.4,50000000.0,1100114897.4
2025-03-04,COMP001,CASH001,1150114897.4,80770388.81,4131512.55,1226753773.66,1176753773.66,50000000.0,1176753773.66
2025-03-05,COMP001,CASH001,1226753773.66,137857526.86,4666388.43,1359944912.09,1309944912.09,50000000.0,1309944912.09
2025-03-06,COMP001,CASH001,1359944912.09,11476891.34,44162680.68,1327259122.75,1277259122.75,50000000.0,1277259122.75
2025-03-07,COMP001,CASH001,1327259122.75,46472533.76,42267101.79,1331464554.72,1281464554.72,50000000.0,1281464554.72
2025-03-08,COMP001,CASH001,1331464554.72,2199192.18,16534763.16,1317128983.74,1267128983.74,50000000.0,1267128983.74
2025-03-09,COMP001,CASH001,1317128983.74,25432084.59,125578543.94,1216982524.39,1166982524.39,50000000.0,1166982524.39
2025-03-10,COMP001,CASH001,1216982524.39,47212120.8,37574182.87,1226620462.32,1176620462.32,50000000.0,1176620462.32
2025-03-11,COMP001,CASH001,1226620462.32,79482586.44,8273884.64,1297829164.12,1247829164.12,50000000.0,1247829164.12
2025-03-12,COMP001,CASH001,1297829164.12,89194377.16,9177328.4,1377846212.88,1327846212.88,50000000.0,1327846212.88
2025-03-13,COMP001,CASH001,1377846212.88,65559141.59,4896517.34,1438508837.13,1388508837.13,50000000.0,1388508837.13
2025-03-14,COMP001,CASH001,1438508837.13,58642299.03,58986351.23,1438164784.93,1388164784.93,50000000.0,1388164784.93
2025-03-15,COMP001,CASH001,1438164784.93,14157135.14,89387310.65,1362934609.42,1312934609.42,50000000.0,1312934609.42
2025-03-16,COMP001,CASH001,1362934609.42,27622373.72,44359938.94,1346197044.2,1296197044.2,50000000.0,1296197044.2
2025-03-17,COMP001,CASH001,1346197044.2,110553783.42,6778283.82,1449972543.8,1399972543.8,50000000.0,1399972543.8
2025-03-18,COMP001,CASH001,1449972543.8,102773066.37,64095774.95,1488649835.22,1438649835.22,50000000.0,1438649835.22
2025-03-19,COMP001,CASH001,1488649835.22,13951530.56,16406254.64,1486195111.14,1436195111.14,50000000.0,1436195111.14
2025-03-20,COMP001,CASH001,1486195111.14,39605225.81,5470563.36,1520329773.59,1470329773.59,50000000.0,1470329773.59
2025-03-21,COMP001,CASH001,1520329773.59,49713949.74,7394268.0,1562649455.33,1512649455.33,50000000.0,1512649455.33
2025-03-22,COMP001,CASH001,1562649455.33,1930792.21,38498102.95,1526082144.59,1476082144.59,50000000.0,1476082144.59
2025-03-23,COMP001,CASH001,1526082144.59,59090987.78,13291991.36,1571881141.01,1521881141.01,50000000.0,1521881141.01
2025-03-24,COMP001,CASH001,1571881141.01,71809872.6,51591616.99,1592099396.62,1542099396.62,50000000.0,1542099396.62
2025-03-25,COMP001,CASH001,1592099396.62,91943150.78,67809303.93,1616233243.47,1566233243.47,50000000.0,1566233243.47
2025-03-26,COMP001,CASH001,1616233243.47,132903409.25,50556002.06,1698580650.66,1648580650.66,50000000.0,1648580650.66
2025-03-27,COMP001,CASH001,1698580650.66,89126981.16,48447277.41,1739260354.41,1689260354.41,50000000.0,1689260354.41
2025-03-28,COMP001,CASH001,1739260354.41,26101703.53,5414206.72,1759947851.22,1709947851.22,50000000.0,1709947851.22
2025-03-29,COMP001,CASH001,1759947851.22,118270232.84,1428313.84,1876789770.22,1826789770.22,50000000.0,1826789770.22
2025-03-30,COMP001,CASH001,1876789770.22,66401487.54,1755361.19,1941435896.57,1891435896.57,50000000.0,1891435896.57
2025-03-31,COMP001,CASH001,1941435896.57,46734836.16,52374400.08,1935796332.65,1885796332.65,50000000.0,1885796332.65
2025-04-01,COMP001,CASH001,1935796332.65,47043812.75,17443310.24,1965396835.16,1915396835.16,50000000.0,1915396835.16
2025-04-02,COMP001,CASH001,1965396835.16,84143654.68,4091094.58,2045449395.26,1995449395.26,50000000.0,1995449395.26
2025-04-03,COMP001,CASH001,2045449395.26,201676407.08,4895788.19,2242230014.15,2192230014.15,50000000.0,2192230014.15
2025-04-04,COMP001,CASH001,2242230014.15,110117926.98,6355151.82,2345992789.31,2295992789.31,50000000.0,2295992789.31
2025-04-05,COMP001,CASH001,2345992789.31,1969984.04,55338140.12,2292624633.23,2242624633.23,50000000.0,2242624633.23
2025-04-06,COMP001,CASH001,2292624633.23,2460775.05,36389472.17,2258695936.11,2208695936.11,50000000.0,2208695936.11
2025-04-07,COMP001,CASH001,2258695936.11,35129528.66,4071510.52,2289753954.25,2239753954.25,50000000.0,2239753954.25
2025-04-08,COMP001,CASH001,2289753954.25,18298567.31,54549179.38,2253503342.18,2203503342.18,50000000.0,2203503342.18
2025-04-09,COMP001,CASH001,2253503342.18,66055465.12,100467509.11,2219091298.19,2169091298.19,50000000.0,2169091298.19
2025-04-10,COMP001,CASH001,2219091298.19,13841178.42,5545142.16,2227387334.45,2177387334.45,50000000.0,2177387334.45
2025-04-11,COMP001,CASH001,2227387334.45,23676383.96,15480189.3,2235583529.11,2185583529.11,50000000.0,2185583529.11
2025-04-12,COMP001,CASH001,2235583529.11,63591716.04,1261696.99,2297913548.16,2247913548.16,50000000.0,2247913548.16
2025-04-13,COMP001,CASH001,2297913548.16,79988485.97,36718078.09,2341183956.04,2291183956.04,50000000.0,2291183956.04
2025-04-14,COMP001,CASH001,2341183956.04,10108186.73,4632300.11,2346659842.66,2296659842.66,50000000.0,2296659842.66
2025-04-15,COMP001,CASH001,2346659842.66,30785473.46,52498995.54,2324946320.58,2274946320.58,50000000.0,2274946320.58
2025-04-16,COMP001,CASH001,2324946320.58,22028890.1,20673620.75,2326301589.93,2276301589.93,50000000.0,2276301589.93
2025-04-17,COMP001,CASH001,2326301589.93,8607575.32,80146308.35,2254762856.9,2204762856.9,50000000.0,2204762856.9
2025-04-18,COMP001,CASH001,2254762856.9,74346534.46,46271330.86,2282838060.5,2232838060.5,50000000.0,2232838060.5
2025-04-19,COMP001,CASH001,2282838060.5,78453753.22,1534596.92,2359757216.8,2309757216.8,50000000.0,2309757216.8
2025-04-20,COMP001,CASH001,2359757216.8,1361204.91,63355232.8,2297763188.91,2247763188.91,50000000.0,2247763188.91
2025-04-21,COMP001,CASH001,2297763188.91,41181094.46,3796221.99,2335148061.38,2285148061.38,50000000.0,2285148061.38
2025-04-22,COMP001,CASH001,2335148061.38,95427116.16,61955538.47,2368619639.07,2318619639.07,50000000.0,2318619639.07
2025-04-23,COMP001,CASH001,2368619639.07,8540292.38,46417926.42,2330742005.03,2280742005.03,50000000.0,2280742005.03
2025-04-24,COMP001,CASH001,2330742005.03,203238033.11,7425654.95,2526554383.19,2476554383.19,50000000.0,2476554383.19
2025-04-25,COMP001,CASH001,2526554383.19,182982767.03,113361900.09,2596175250.13,2546175250.13,50000000.0,2546175250.13
2025-04-26,COMP001,CASH001,2596175250.13,1777603.96,1669159.5,2596283694.59,2546283694.59,50000000.0,2546283694.59
2025-04-27,COMP001,CASH001,2596283694.59,64821519.49,26971029.3,2634134184.78,2584134184.78,50000000.0,2584134184.78
2025-04-28,COMP001,CASH001,2634134184.78,19877138.96,25411589.19,2628599734.55,2578599734.55,50000000.0,2578599734.55
2025-04-29,COMP001,CASH001,2628599734.55,18591614.26,80786292.21,2566405056.6,2516405056.6,50000000.0,2516405056.6
2025-04-30,COMP001,CASH001,2566405056.6,68058473.77,10976088.87,2623487441.5,2573487441.5,50000000.0,2573487441.5
2025-05-01,COMP001,CASH001,2623487441.5,57772480.82,29491204.19,2651768718.13,2601768718.13,50000000.0,2601768718.13
2025-05-02,COMP001,CASH001,2651768718.13,49539721.04,68743628.48,2632564810.69,2582564810.69,50000000.0,2582564810.69
2025-05-03,COMP001,CASH001,2632564810.69,54806884.54,40639454.23,2646732241.0,2596732241.0,50000000.0,2596732241.0
2025-05-04,COMP001,CASH001,2646732241.0,76920975.53,45816209.18,2677837007.35,2627837007.35,50000000.0,2627837007.35
2025-05-05,COMP001,CASH001,2677837007.35,17046274.37,34671434.47,2660211847.25,2610211847.25,50000000.0,2610211847.25
2025-05-06,COMP001,CASH001,2660211847.25,60852441.01,12095390.39,2708968897.87,2658968897.87,50000000.0,2658968897.87
2025-05-07,COMP001,CASH001,2708968897.87,85089298.24,67179308.77,2726878887.34,2676878887.34,50000000.0,2676878887.34
2025-05-08,COMP001,CASH001,2726878887.34,71620888.17,8509917.53,2789989857.98,2739989857.98,50000000.0,2739989857.98
2025-05-09,COMP001,CASH001,2789989857.98,111495781.35,52089782.15,2849395857.18,2799395857.18,50000000.0,2799395857.18
2025-05-10,COMP001,CASH001,2849395857.18,60330594.25,121101977.31,2788624474.12,2738624474.12,50000000.0,2738624474.12
2025-05-11,COMP001,CASH001,2788624474.12,32935220.34,645897.18,2820913797.28,2770913797.28,50000000.0,2770913797.28
2025-05-12,COMP001,CASH001,2820913797.28,16573304.36,29788033.05,2807699068.59,2757699068.59,50000000.0,2757699068.59
2025-05-13,COMP001,CASH001,2807699068.59,16036169.81,12321711.22,2811413527.18,2761413527.18,50000000.0,2761413527.18
2025-05-14,COMP001,CASH001,2811413527.18,63294261.42,61719568.26,2812988220.34,2762988220.34,50000000.0,2762988220.34
2025-05-15,COMP001,CASH001,2812988220.34,64014732.77,47871529.14,2829131423.97,2779131423.97,50000000.0,2779131423.97
2025-05-16,COMP001,CASH001,2829131423.97,17217386.21,33124043.85,2813224766.33,2763224766.33,50000000.0,2763224766.33
2025-05-17,COMP001,CASH001,2813224766.33,168665731.07,1444729.51,2980445767.89,2930445767.89,50000000.0,2930445767.89
2025-05-18,COMP001,CASH001,2980445767.89,3089082.64,47283497.24,2936251353.29,2886251353.29,50000000.0,2886251353.29
2025-05-19,COMP001,CASH001,2936251353.29,16317997.48,5061377.95,2947507972.82,2897507972.82,50000000.0,2897507972.82
2025-05-20,COMP001,CASH001,2947507972.82,111050862.79,28587752.03,3029971083.58,2979971083.58,50000000.0,2979971083.58
2025-05-21,COMP001,CASH001,3029971083.58,96520685.89,10476891.63,3116014877.84,3066014877.84,50000000.0,3066014877.84
2025-05-22,COMP001,CASH001,3116014877.84,39430429.93,6415845.44,3149029462.33,3099029462.33,50000000.0,3099029462.33
2025-05-23,COMP001,CASH001,3149029462.33,116239007.27,73230765.49,3192037704.11,3142037704.11,50000000.0,3142037704.11
2025-05-24,COMP001,CASH001,3192037704.11,2938870.28,974830.48,3194001743.91,3144001743.91,50000000.0,3144001743.91
2025-05-25,COMP001,CASH001,3194001743.91,2020892.66,113834823.83,3082187812.74,3032187812.74,50000000.0,3032187812.74
2025-05-26,COMP001,CASH001,3082187812.74,19910340.83,92519988.96,3009578164.61,2959578164.61,50000000.0,2959578164.61
2025-05-27,COMP001,CASH001,3009578164.61,22494596.28,54849236.04,2977223524.85,2927223524.85,50000000.0,2927223524.85
2025-05-28,COMP001,CASH001,2977223524.85,10058756.41,16675337.96,2970606943.3,2920606943.3,50000000.0,2920606943.3
2025-05-29,COMP001,CASH001,2970606943.3,85068935.03,29312180.56,3026363697.77,2976363697.77,50000000.0,2976363697.77
2025-05-30,COMP001,CASH001,3026363697.77,65155467.25,52451901.9,3039067263.12,2989067263.12,50000000.0,2989067263.12
2025-05-31,COMP001,CASH001,3039067263.12,2684885.39,2388494.83,3039363653.68,2989363653.68,50000000.0,2989363653.68
2025-06-01,COMP001,CASH001,3039363653.68,121462709.91,179573880.32,2981252483.27,2931252483.27,50000000.0,2931252483.27
2025-06-02,COMP001,CASH001,2981252483.27,121497736.96,14764130.85,3087986089.38,3037986089.38,50000000.0,3037986089.38
2025-06-03,COMP001,CASH001,3087986089.38,65475221.89,59988500.95,3093472810.32,3043472810.32,50000000.0,3043472810.32
2025-06-04,COMP001,CASH001,3093472810.32,34905340.4,33426854.4,3094951296.32,3044951296.32,50000000.0,3044951296.32
2025-06-05,COMP001,CASH001,3094951296.32,132289671.78,101544360.48,3125696607.62,3075696607.62,50000000.0,3075696607.62
2025-06-06,COMP001,CASH001,3125696607.62,27807093.15,85431724.37,3068071976.4,3018071976.4,50000000.0,3018071976.4
2025-06-07,COMP001,CASH001,3068071976.4,18463377.21,35671590.36,3050863763.25,3000863763.25,50000000.0,3000863763.25
2025-06-08,COMP001,CASH001,3050863763.25,125203126.62,24002473.19,3152064416.68,3102064416.68,50000000.0,3102064416.68
2025-06-09,COMP001,CASH001,3152064416.68,19516680.35,73517604.26,3098063492.77,3048063492.77,50000000.0,3048063492.77
2025-06-10,COMP001,CASH001,3098063492.77,27314600.18,60582340.82,3064795752.13,3014795752.13,50000000.0,3014795752.13
2025-06-11,COMP001,CASH001,3064795752.13,77761617.14,22127001.85,3120430367.42,3070430367.42,50000000.0,3070430367.42
2025-06-12,COMP001,CASH001,3120430367.42,37435586.49,20766412.1,3137099541.81,3087099541.81,50000000.0,3087099541.81
2025-06-13,COMP001,CASH001,3137099541.81,20786690.24,5634329.15,3152251902.9,3102251902.9,50000000.0,3102251902.9
2025-06-14,COMP001,CASH001,3152251902.9,93176465.48,69696218.79,3175732149.59,3125732149.59,50000000.0,3125732149.59
2025-06-15,COMP001,CASH001,3175732149.59,248459242.45,13117488.73,3411073903.31,3361073903.31,50000000.0,3361073903.31
2025-06-16,COMP001,CASH001,3411073903.31,15705007.26,22864703.99,3403914206.58,3353914206.58,50000000.0,3353914206.58
2025-06-17,COMP001,CASH001,3403914206.58,17438775.17,8463749.12,3412889232.63,3362889232.63,50000000.0,3362889232.63
2025-06-18,COMP001,CASH001,3412889232.63,110419094.34,77097438.91,3446210888.06,3396210888.06,50000000.0,3396210888.06
2025-06-19,COMP001,CASH001,3446210888.06,89074204.96,130749533.16,3404535559.86,3354535559.86,50000000.0,3354535559.86
2025-06-20,COMP001,CASH001,3404535559.86,135743846.21,63021552.74,3477257853.33,3427257853.33,50000000.0,3427257853.33
2025-06-21,COMP001,CASH001,3477257853.33,2155419.39,1743080.47,3477670192.25,3427670192.25,50000000.0,3427670192.25
2025-06-22,COMP001,CASH001,3477670192.25,1957282.59,1578655.51,3478048819.33,3428048819.33,50000000.0,3428048819.33
2025-06-23,COMP001,CASH001,3478048819.33,19431748.71,9711235.03,3487769333.01,3437769333.01,50000000.0,3437769333.01
2025-06-24,COMP001,CASH001,3487769333.01,31396457.0,71278702.03,3447887087.98,3397887087.98,50000000.0,3397887087.98
2025-06-25,COMP001,CASH001,3447887087.98,21814108.87,153018585.54,3316682611.31,3266682611.31,50000000.0,3266682611.31
2025-06-26,COMP001,CASH001,3316682611.31,27405854.94,62059221.02,3282029245.23,3232029245.23,50000000.0,3232029245.23
2025-06-27,COMP001,CASH001,3282029245.23,199831946.78,4869667.22,3476991524.79,3426991524.79,50000000.0,3426991524.79
2025-06-28,COMP001,CASH001,3476991524.79,69488946.97,1135493.76,3545344978.0,3495344978.0,50000000.0,3495344978.0
2025-06-29,COMP001,CASH001,3545344978.0,1467575.34,1846468.53,3544966084.81,3494966084.81,50000000.0,3494966084.81
2025-06-30,COMP001,CASH001,3544966084.81,99424882.55,55682493.41,3588708473.95,3538708473.95,50000000.0,3538708473.95
2025-07-01,COMP001,CASH001,3588708473.95,19923867.69,39777183.68,3568855157.96,3518855157.96,50000000.0,3518855157.96
2025-07-02,COMP001,CASH001,3568855157.96,15857955.12,62212258.88,3522500854.2,3472500854.2,50000000.0,3472500854.2
2025-07-03,COMP001,CASH001,3522500854.2,31423577.54,9128494.1,3544795937.64,3494795937.64,50000000.0,3494795937.64
2025-07-04,COMP001,CASH001,3544795937.64,31413108.41,80578583.49,3495630462.56,3445630462.56,50000000.0,3445630462.56
2025-07-05,COMP001,CASH001,3495630462.56,54215352.51,1510441.83,3548335373.24,3498335373.24,50000000.0,3498335373.24
2025-07-06,COMP001,CASH001,3548335373.24,65203599.29,24670462.37,3588868510.16,3538868510.16,50000000.0,3538868510.16
2025-07-07,COMP001,CASH001,3588868510.16,18717276.24,39356606.64,3568229179.76,3518229179.76,50000000.0,3518229179.76
2025-07-08,COMP001,CASH001,3568229179.76,127039265.93,88046252.46,3607222193.23,3557222193.23,50000000.0,3557222193.23
2025-07-09,COMP001,CASH001,3607222193.23,8578883.59,24381647.46,3591419429.36,3541419429.36,50000000.0,3541419429.36
2025-07-10,COMP001,CASH001,3591419429.36,40175731.32,6529635.1,3625065525.58,3575065525.58,50000000.0,3575065525.58
2025-07-11,COMP001,CASH001,3625065525.58,108391271.14,5899358.58,3727557438.14,3677557438.14,50000000.0,3677557438.14
2025-07-12,COMP001,CASH001,3727557438.14,2222184.14,137589113.13,3592190509.15,3542190509.15,50000000.0,3542190509.15
2025-07-13,COMP001,CASH001,3592190509.15,27976170.27,12782015.55,3607384663.87,3557384663.87,50000000.0,3557384663.87
2025-07-14,COMP001,CASH001,3607384663.87,53969747.17,61664144.14,3599690266.9,3549690266.9,50000000.0,3549690266.9
2025-07-15,COMP001,CASH001,3599690266.9,103312147.89,9859107.11,3693143307.68,3643143307.68,50000000.0,3643143307.68
2025-07-16,COMP001,CASH001,3693143307.68,10393836.18,63523589.03,3640013554.83,3590013554.83,50000000.0,3590013554.83
2025-07-17,COMP001,CASH001,3640013554.83,133900383.78,108236786.35,3665677152.26,3615677152.26,50000000.0,3615677152.26
2025-07-18,COMP001,CASH001,3665677152.26,26923816.09,170799885.21,3521801083.14,3471801083.14,50000000.0,3471801083.14
2025-07-19,COMP001,CASH001,3521801083.14,47159658.87,732009.54,3568228732.47,3518228732.47,50000000.0,3518228732.47
2025-07-20,COMP001,CASH001,3568228732.47,43319067.88,1550891.22,3609996909.13,3559996909.13,50000000.0,3559996909.13
2025-07-21,COMP001,CASH001,3609996909.13,15456798.04,33299380.93,3592154326.24,3542154326.24,50000000.0,3542154326.24
2025-07-22,COMP001,CASH001,3592154326.24,23877408.27,93242943.44,3522788791.07,3472788791.07,50000000.0,3472788791.07
2025-07-23,COMP001,CASH001,3522788791.07,74209315.93,86224972.46,3510773134.54,3460773134.54,50000000.0,3460773134.54
2025-07-24,COMP001,CASH001,3510773134.54,85219683.43,6260233.84,3589732584.13,3539732584.13,50000000.0,3539732584.13
2025-07-25,COMP001,CASH001,3589732584.13,28563748.43,23508449.54,3594787883.02,3544787883.02,50000000.0,3544787883.02
2025-07-26,COMP001,CASH001,3594787883.02,6580317.59,15616022.28,3585752178.33,3535752178.33,50000000.0,3535752178.33
2025-07-27,COMP001,CASH001,3585752178.33,3728351.56,88697021.42,3500783508.47,3450783508.47,50000000.0,3450783508.47
2025-07-28,COMP001,CASH001,3500783508.47,27198551.92,12620460.57,3515361599.82,3465361599.82,50000000.0,3465361599.82
2025-07-29,COMP001,CASH001,3515361599.82,22495295.88,22280050.23,3515576845.47,3465576845.47,50000000.0,3465576845.47
2025-07-30,COMP001,CASH001,3515576845.47,30993040.3,8793254.51,3537776631.26,3487776631.26,50000000.0,3487776631.26
2025-07-31,COMP001,CASH001,3537776631.26,11699711.06,42568997.55,3506907344.77,3456907344.77,50000000.0,3456907344.77
2025-08-01,COMP001,CASH001,3506907344.77,81528482.96,68051754.25,3520384073.48,3470384073.48,50000000.0,3470384073.48
2025-08-02,COMP001,CASH001,3520384073.48,39200637.5,7189662.92,3552395048.06,3502395048.06,50000000.0,3502395048.06
2025-08-03,COMP001,CASH001,3552395048.06,2211478.5,634429.11,3553972097.45,3503972097.45,50000000.0,3503972097.45
2025-08-04,COMP001,CASH001,3553972097.45,167497908.49,54696070.25,3666773935.69,3616773935.69,50000000.0,3616773935.69
2025-08-05,COMP001,CASH001,3666773935.69,61000241.28,66475258.13,3661298918.84,3611298918.84,50000000.0,3611298918.84
2025-08-06,COMP001,CASH001,3661298918.84,11594091.08,63771018.84,3609121991.08,3559121991.08,50000000.0,3559121991.08
2025-08-07,COMP001,CASH001,3609121991.08,60627719.34,8703968.96,3661045741.46,3611045741.46,50000000.0,3611045741.46
2025-08-08,COMP001,CASH001,3661045741.46,30852065.49,42743660.77,3649154146.18,3599154146.18,50000000.0,3599154146.18
2025-08-09,COMP001,CASH001,3649154146.18,1936745.39,50971439.83,3600119451.74,3550119451.74,50000000.0,3550119451.74
2025-08-10,COMP001,CASH001,3600119451.74,12995364.18,170126558.59,3442988257.33,3392988257.33,50000000.0,3392988257.33
2025-08-11,COMP001,CASH001,3442988257.33,12588603.94,67149349.96,3388427511.31,3338427511.31,50000000.0,3338427511.31
