invoice_id,supplier_id,company_id,amount,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,status,actual_payment_date
INV00024,SUP003,COMP001,17622135.85,2025-12-18,2.0,2025-12-25,2.0,INR,NEFT,PENDING,
INV00025,SUP009,COMP001,42164561.89,2025-04-27,1.0,2025-05-12,1.5,INR,NEFT,PAID,2025-06-09
INV00026,SUP013,COMP001,22048776.9,2025-10-17,0.0,,0.0,INR,NEFT,OVERDUE,
INV00027,SUP007,COMP001,20965891.37,2025-02-01,0.0,,1.0,INR,RTGS,PAID,2025-03-01
INV00028,SUP001,COMP001,33227923.52,2025-10-23,0.0,,1.0,INR,NEFT,PAID,2025-11-19
INV00029,SUP003,COMP001,33258803.06,2025-06-06,0.0,,1.5,INR,NEFT,OVERDUE,
INV00030,SUP001,COMP001,16201189.95,2025-07-01,1.5,2025-07-11,0.0,INR,CHEQUE,PAID,2025-07-29
INV00031,SUP015,COMP001,16962562.82,2025-07-12,0.0,,0.0,INR,NEFT,PAID,2025-08-25
INV00032,SUP004,COMP001,38381645.65,2025-06-25,2.5,2025-07-05,0.0,INR,NEFT,PAID,2025-07-22
INV00033,SUP002,COMP001,51109113.32,2025-12-21,2.0,2025-12-31,1.0,INR,CHEQUE,PENDING,
INV00034,SUP015,COMP001,46757435.6,2025-07-12,2.0,2025-07-27,1.0,INR,IMPS,PAID,2025-08-30
INV00035,SUP005,COMP001,16878072.34,2025-09-29,0.0,,0.0,INR,IMPS,PAID,2025-11-13
INV00036,SUP005,COMP001,38416832.5,2025-06-07,0.0,,0.0,INR,CHEQUE,PAID,2025-08-08
INV00037,SUP001,COMP001,45391163.71,2025-11-05,0.0,,1.5,INR,NEFT,PAID,2025-12-10
INV00038,SUP008,COMP001,27271686.0,2025-08-15,2.5,2025-08-30,1.0,INR,RTGS,PAID,2025-09-29
INV00039,SUP015,COMP001,25707443.11,2025-05-27,0.0,,0.0,INR,IMPS,PAID,2025-07-08
INV00040,SUP006,COMP001,7851856.43,2025-11-01,0.0,,0.0,INR,NEFT,PAID,2025-12-13
INV00041,SUP004,COMP001,53341948.69,2025-08-05,2.0,2025-08-15,2.0,INR,NEFT,PAID,2025-09-02
INV00042,SUP004,COMP001,41062700.77,2025-04-15,0.0,,0.0,INR,CHEQUE,PAID,2025-05-30
INV00043,SUP005,COMP001,50760615.05,2025-04-04,2.5,2025-04-19,1.0,INR,RTGS,PAID,2025-05-23
INV00044,SUP005,COMP001,45850148.1,2025-04-05,1.0,2025-04-20,0.0,INR,NEFT,PAID,2025-05-18
INV00045,SUP005,COMP001,45917034.35,2025-03-23,2.0,2025-04-07,0.0,INR,NEFT,PAID,2025-05-10
INV00046,SUP005,COMP001,25295955.07,2025-08-31,0.0,,2.0,INR,CHEQUE,PAID,2025-10-13
INV00047,SUP014,COMP001,17380113.34,2025-08-18,0.0,,0.0,INR,CHEQUE,PAID,2025-10-01
INV00048,SUP006,COMP001,10338834.65,2025-09-19,1.5,2025-10-04,0.0,INR,IMPS,PAID,2025-11-03
INV00049,SUP004,COMP001,27796321.66,2025-10-12,0.0,,2.0,INR,NEFT,PAID,2025-11-08
INV00050,SUP010,COMP001,3600999.38,2025-02-12,0.0,,1.5,INR,CHEQUE,PAID,2025-04-13
INV00051,SUP004,COMP001,47270989.44,2025-02-15,0.0,,0.0,INR,NEFT,PAID,2025-03-15
INV00052,SUP012,COMP001,12874275.97,2025-06-08,1.5,2025-06-28,0.0,INR,NEFT,PAID,2025-08-05
INV00053,SUP001,COMP001,19972961.58,2025-04-22,0.0,,2.0,INR,NEFT,PAID,2025-05-20
INV00054,SUP008,COMP001,38143020.93,2025-10-05,0.0,,1.0,INR,RTGS,PAID,2025-11-17
INV00055,SUP012,COMP001,56763705.74,2025-10-11,0.0,,0.0,INR,CHEQUE,PAID,2025-12-16
INV00056,SUP010,COMP001,34770833.25,2025-06-27,2.0,2025-07-17,2.0,INR,IMPS,PAID,2025-08-24
INV00057,SUP003,COMP001,27858510.24,2025-03-07,0.0,,2.0,INR,IMPS,OVERDUE,
INV00058,SUP009,COMP001,50538408.21,2025-05-30,0.0,,2.0,INR,IMPS,PAID,2025-07-18
INV00059,SUP012,COMP001,19848338.16,2025-10-09,2.0,2025-10-29,1.0,INR,CHEQUE,PAID,2025-12-07
INV00060,SUP001,COMP001,38837615.08,2025-03-31,1.0,2025-04-10,1.5,INR,CHEQUE,OVERDUE,
INV00061,SUP009,COMP001,24239668.61,2025-07-14,2.0,2025-07-29,1.5,INR,IMPS,PAID,2025-08-27
INV00062,SUP013,COMP001,10672995.8,2025-06-30,0.0,,0.0,INR,NEFT,PAID,2025-08-27
INV00063,SUP010,COMP001,36835476.8,2025-05-02,1.5,2025-05-22,1.0,INR,IMPS,PAID,2025-06-30
INV00064,SUP003,COMP001,53546999.83,2025-12-08,2.5,2025-12-15,0.0,INR,IMPS,OVERDUE,
INV00065,SUP011,COMP001,34242370.49,2025-01-14,1.5,2025-02-03,1.0,INR,RTGS,PAID,2025-03-14
INV00066,SUP005,COMP001,27750119.94,2025-06-05,1.0,2025-06-20,0.0,INR,IMPS,PAID,2025-07-17
INV00067,SUP004,COMP001,40120095.59,2025-09-02,1.0,2025-09-12,1.0,INR,RTGS,PAID,2025-10-03
INV00068,SUP003,COMP001,49239259.07,2025-08-21,0.0,,1.0,INR,RTGS,OVERDUE,
INV00069,SUP015,COMP001,47219422.93,2025-07-01,1.5,2025-07-16,0.0,INR,NEFT,PAID,2025-08-14
INV00070,SUP012,COMP001,28709129.31,2025-01-08,2.0,2025-01-28,2.0,INR,CHEQUE,PAID,2025-03-09
INV00071,SUP004,COMP001,37606917.5,2025-01-23,0.0,,1.5,INR,RTGS,OVERDUE,
INV00072,SUP014,COMP001,29085572.26,2025-10-09,2.5,2025-10-24,2.0,INR,NEFT,PAID,2025-11-25
INV00073,SUP005,COMP001,38636448.2,2025-01-29,2.0,2025-02-13,0.0,INR,CHEQUE,PAID,2025-03-31
INV00074,SUP013,COMP001,19201374.04,2025-03-11,0.0,,0.0,INR,NEFT,PAID,2025-05-29
INV00075,SUP014,COMP001,33567438.77,2025-07-10,0.0,,1.5,INR,IMPS,PAID,2025-08-22
INV00076,SUP008,COMP001,25182057.86,2025-02-10,1.0,2025-02-25,1.0,INR,IMPS,PAID,2025-03-26
INV00077,SUP013,COMP001,43034507.6,2025-01-16,0.0,,0.0,INR,NEFT,PAID,2025-03-16
INV00078,SUP005,COMP001,21346416.85,2025-05-11,0.0,,1.5,INR,RTGS,OVERDUE,
INV00079,SUP006,COMP001,3344718.31,2025-03-26,1.5,2025-04-10,1.5,INR,CHEQUE,PAID,2025-05-07
INV00080,SUP011,COMP001,44696490.19,2025-06-13,0.0,,1.0,INR,RTGS,PAID,2025-08-14
INV00081,SUP009,COMP001,34620205.16,2025-07-24,1.5,2025-08-08,0.0,INR,CHEQUE,PAID,2025-09-07
INV00082,SUP013,COMP001,25615769.83,2025-12-19,0.0,,1.5,INR,IMPS,PENDING,
INV00083,SUP004,COMP001,8101130.34,2025-02-02,2.0,2025-02-12,0.0,INR,CHEQUE,PAID,2025-03-03
INV00084,SUP012,COMP001,57681582.35,2025-07-28,0.0,,1.0,INR,NEFT,PAID,2025-09-26
INV00085,SUP002,COMP001,29831214.31,2025-11-19,0.0,,1.0,INR,CHEQUE,PAID,2025-12-19
INV00086,SUP003,COMP001,34701476.05,2025-12-01,2.0,2025-12-08,1.5,INR,CHEQUE,PAID,2025-12-15
INV00087,SUP010,COMP001,30429227.65,2025-03-15,0.0,,0.0,INR,CHEQUE,OVERDUE,
INV00088,SUP008,COMP001,28914358.47,2025-04-04,1.5,2025-04-19,1.5,INR,IMPS,PAID,2025-05-16
INV00089,SUP013,COMP001,30582012.26,2025-02-20,2.0,2025-03-12,1.5,INR,RTGS,PAID,2025-04-18
INV00090,SUP001,COMP001,27850283.64,2025-07-15,0.0,,0.0,INR,RTGS,PAID,2025-08-14
INV00091,SUP015,COMP001,27489949.4,2025-10-08,1.5,2025-10-23,0.0,INR,NEFT,PAID,2025-11-21
INV00092,SUP003,COMP001,46969708.86,2025-04-23,0.0,,0.0,INR,IMPS,PAID,2025-05-09
INV00093,SUP001,COMP001,5221748.37,2025-04-13,0.0,,2.0,INR,RTGS,PAID,2025-05-13
INV00094,SUP003,COMP001,18067647.23,2025-08-25,0.0,,1.0,INR,IMPS,OVERDUE,
INV00095,SUP006,COMP001,19659479.89,2025-05-05,2.0,2025-05-20,1.5,INR,NEFT,PAID,2025-06-19
INV00096,SUP014,COMP001,48510195.02,2025-04-20,1.0,2025-05-05,1.0,INR,IMPS,PAID,2025-06-01
INV00097,SUP006,COMP001,20191185.99,2025-12-01,2.0,2025-12-16,1.5,INR,CHEQUE,PENDING,
INV00098,SUP001,COMP001,33548733.08,2025-05-11,0.0,,1.0,INR,NEFT,OVERDUE,
INV00099,SUP001,COMP001,43568851.38,2025-08-06,0.0,,0.0,INR,RTGS,PAID,2025-09-03
INV00100,SUP010,COMP001,41424310.62,2025-06-23,0.0,,1.0,INR,CHEQUE,PAID,2025-08-21
INV00101,SUP011,COMP001,50605172.45,2025-06-08,1.5,2025-06-28,0.0,INR,NEFT,PAID,2025-08-10
INV00102,SUP013,COMP001,41808613.12,2025-02-11,0.0,,1.0,INR,CHEQUE,OVERDUE,
INV00103,SUP004,COMP001,6061544.6,2025-05-06,0.0,,2.0,INR,IMPS,PAID,2025-06-12
INV00104,SUP003,COMP001,3412503.98,2025-11-30,0.0,,1.0,INR,RTGS,PAID,2025-12-12
INV00105,SUP012,COMP001,12659738.83,2025-04-02,2.0,2025-04-22,2.0,INR,NEFT,PAID,2025-06-06
INV00106,SUP001,COMP001,59262688.72,2025-06-06,1.0,2025-06-16,0.0,INR,NEFT,PAID,2025-07-04
INV00107,SUP010,COMP001,17093060.62,2025-05-13,0.0,,0.0,INR,RTGS,PAID,2025-07-12
INV00108,SUP014,COMP001,7783190.74,2025-11-03,1.5,2025-11-18,0.0,INR,NEFT,PAID,2025-12-17
INV00109,SUP006,COMP001,24914661.1,2025-09-08,0.0,,2.0,INR,RTGS,PAID,2025-10-20
INV00110,SUP014,COMP001,28857805.37,2025-09-18,1.0,2025-10-03,0.0,INR,CHEQUE,OVERDUE,
INV00111,SUP015,COMP001,32559113.79,2025-05-25,2.0,2025-06-09,0.0,INR,IMPS,OVERDUE,
INV00112,SUP013,COMP001,8725523.77,2025-04-16,2.0,2025-05-06,0.0,INR,RTGS,PAID,2025-06-14
INV00113,SUP005,COMP001,3841663.74,2025-08-12,0.0,,0.0,INR,NEFT,PAID,2025-09-26
INV00114,SUP002,COMP001,7501360.09,2025-02-05,2.0,2025-02-15,1.0,INR,IMPS,PAID,2025-03-10
INV00115,SUP008,COMP001,37173031.88,2025-07-17,1.0,2025-08-01,0.0,INR,CHEQUE,PAID,2025-08-28
INV00116,SUP006,COMP001,23204982.86,2025-02-09,2.0,2025-02-24,1.0,INR,IMPS,PAID,2025-03-25
INV00117,SUP011,COMP001,5538653.83,2025-04-13,1.5,2025-05-03,1.0,INR,RTGS,PAID,2025-06-12
INV00118,SUP005,COMP001,26730437.15,2025-10-11,0.0,,0.0,INR,NEFT,PAID,2025-11-25
INV00119,SUP013,COMP001,14499968.93,2025-04-04,0.0,,1.5,INR,NEFT,PAID,2025-06-01
INV00120,SUP002,COMP001,14905740.33,2025-05-04,1.5,2025-05-14,2.0,INR,NEFT,PAID,2025-06-11
INV00121,SUP011,COMP001,28864137.12,2025-11-08,0.0,,2.0,INR,IMPS,PENDING,
INV00122,SUP003,COMP001,46919627.67,2025-10-14,1.0,2025-10-21,2.0,INR,IMPS,OVERDUE,
INV00123,SUP013,COMP001,45789837.08,2025-09-02,2.5,2025-09-22,2.0,INR,NEFT,OVERDUE,
INV00124,SUP002,COMP001,6966562.25,2025-11-25,1.5,2025-12-05,0.0,INR,RTGS,PAID,2025-12-22
INV00125,SUP013,COMP001,19591891.48,2025-12-04,0.0,,1.0,INR,CHEQUE,PENDING,
INV00126,SUP006,COMP001,5978315.31,2025-11-03,1.5,2025-11-18,0.0,INR,IMPS,PAID,2025-12-17
INV00127,SUP011,COMP001,22892784.05,2025-09-04,2.5,2025-09-24,1.5,INR,RTGS,PAID,2025-11-02
INV00128,SUP004,COMP001,18857125.8,2025-12-09,0.0,,2.0,INR,NEFT,PENDING,
INV00129,SUP008,COMP001,10134259.14,2025-10-21,0.0,,1.0,INR,CHEQUE,OVERDUE,
INV00130,SUP015,COMP001,15257690.11,2025-03-30,1.5,2025-04-14,1.0,INR,NEFT,PAID,2025-05-12
INV00131,SUP001,COMP001,3812834.0,2025-07-06,1.0,2025-07-16,0.0,INR,IMPS,PAID,2025-08-04
INV00132,SUP007,COMP001,51219082.72,2025-09-20,1.5,2025-09-30,0.0,INR,IMPS,PAID,2025-10-20
INV00133,SUP013,COMP001,8868624.11,2025-09-20,0.0,,2.0,INR,CHEQUE,PAID,2025-11-16
INV00134,SUP013,COMP001,53005991.6,2025-10-27,2.0,2025-11-16,1.5,INR,NEFT,PAID,2025-12-23
INV00135,SUP010,COMP001,37004053.16,2025-10-28,0.0,,1.0,INR,IMPS,PAID,2025-12-27
INV00136,SUP011,COMP001,48041129.26,2025-03-03,2.0,2025-03-23,0.0,INR,IMPS,OVERDUE,
INV00137,SUP004,COMP001,35274439.15,2025-04-28,2.5,2025-05-08,0.0,INR,IMPS,PAID,2025-05-25
INV00138,SUP014,COMP001,55115633.89,2025-05-11,2.0,2025-05-26,0.0,INR,RTGS,PAID,2025-06-25
INV00139,SUP002,COMP001,13495785.96,2025-07-15,1.0,2025-07-25,2.0,INR,RTGS,PAID,2025-08-11
INV00140,SUP015,COMP001,49151681.9,2025-06-02,0.0,,0.0,INR,IMPS,PAID,2025-07-22
INV00141,SUP004,COMP001,55932202.74,2025-09-16,0.0,,1.5,INR,RTGS,PAID,2025-10-13
INV00142,SUP004,COMP001,48233225.56,2025-10-14,0.0,,2.0,INR,CHEQUE,OVERDUE,
INV00143,SUP010,COMP001,44742748.6,2025-06-16,1.0,2025-07-06,0.0,INR,RTGS,PAID,2025-08-12
INV00144,SUP008,COMP001,53285675.08,2025-05-10,2.0,2025-05-25,1.5,INR,IMPS,PAID,2025-06-24
INV00145,SUP004,COMP001,32630588.22,2025-09-09,1.5,2025-09-19,0.0,INR,CHEQUE,PAID,2025-10-16
INV00146,SUP009,COMP001,41445522.24,2025-01-30,0.0,,1.5,INR,CHEQUE,PAID,2025-03-15
INV00147,SUP004,COMP001,17145619.92,2025-02-08,2.0,2025-02-18,1.5,INR,RTGS,PAID,2025-03-09
INV00148,SUP006,COMP001,40060907.41,2025-07-16,2.0,2025-07-31,1.0,INR,NEFT,PAID,2025-08-27
INV00149,SUP001,COMP001,26530572.71,2025-04-12,1.0,2025-04-22,0.0,INR,NEFT,OVERDUE,
INV00150,SUP009,COMP001,14111910.56,2025-06-14,0.0,,0.0,INR,RTGS,PAID,2025-07-26
INV00151,SUP006,COMP001,47910878.63,2025-11-16,2.5,2025-12-01,0.0,INR,NEFT,PAID,2025-12-31
INV00152,SUP009,COMP001,31552396.9,2025-06-12,0.0,,1.5,INR,NEFT,OVERDUE,
INV00153,SUP012,COMP001,29939231.53,2025-01-24,0.0,,1.0,INR,CHEQUE,PAID,2025-03-24
INV00154,SUP011,COMP001,35588666.42,2025-05-18,1.5,2025-06-07,2.0,INR,CHEQUE,PAID,2025-07-17
INV00155,SUP008,COMP001,11754884.54,2025-09-29,0.0,,1.5,INR,IMPS,PAID,2025-11-13
INV00156,SUP008,COMP001,54270624.05,2025-11-04,1.5,2025-11-19,0.0,INR,NEFT,PAID,2025-12-24
INV00157,SUP007,COMP001,49445617.01,2025-04-28,0.0,,0.0,INR,RTGS,PAID,2025-05-26
INV00158,SUP006,COMP001,49071133.15,2025-08-29,1.0,2025-09-13,1.5,INR,IMPS,PAID,2025-10-10
INV00159,SUP015,COMP001,55987607.6,2025-11-23,2.5,2025-12-08,0.0,INR,IMPS,PENDING,
INV00160,SUP013,COMP001,21158221.35,2025-03-07,0.0,,0.0,INR,CHEQUE,PAID,2025-05-04
INV00161,SUP009,COMP001,47606210.75,2025-08-11,2.5,2025-08-26,1.5,INR,IMPS,OVERDUE,
INV00162,SUP013,COMP001,22664229.38,2025-02-04,2.0,2025-02-24,0.0,INR,RTGS,PAID,2025-05-01
INV00163,SUP001,COMP001,23073412.31,2025-10-07,0.0,,1.0,INR,IMPS,OVERDUE,
INV00164,SUP003,COMP001,16952316.97,2025-02-09,0.0,,1.0,INR,NEFT,PAID,2025-02-21
INV00165,SUP009,COMP001,20169572.05,2025-02-24,0.0,,1.5,INR,RTGS,PAID,2025-04-09
INV00166,SUP014,COMP001,42155109.89,2025-07-04,0.0,,2.0,INR,IMPS,OVERDUE,
INV00167,SUP007,COMP001,15149695.73,2025-02-06,2.5,2025-02-16,2.0,INR,CHEQUE,PAID,2025-03-14
INV00168,SUP011,COMP001,36383609.38,2025-10-05,2.5,2025-10-25,1.5,INR,NEFT,PAID,2025-12-03
INV00169,SUP010,COMP001,6838697.27,2025-01-21,0.0,,1.0,INR,CHEQUE,PAID,2025-03-19
INV00170,SUP012,COMP001,13024326.86,2025-08-17,1.0,2025-09-06,2.0,INR,IMPS,PAID,2025-10-13
INV00171,SUP014,COMP001,3049418.23,2025-03-04,1.5,2025-03-19,0.0,INR,IMPS,PAID,2025-04-17
INV00172,SUP005,COMP001,44311823.48,2025-06-05,0.0,,2.0,INR,NEFT,PAID,2025-07-18
INV00173,SUP010,COMP001,13353019.27,2025-04-10,2.0,2025-04-30,1.5,INR,RTGS,PAID,2025-06-09
INV00174,SUP012,COMP001,21490334.58,2025-01-02,1.0,2025-01-22,1.5,INR,IMPS,PAID,2025-03-10
INV00175,SUP009,COMP001,47351805.86,2025-04-25,0.0,,2.0,INR,IMPS,OVERDUE,
INV00176,SUP004,COMP001,22184789.5,2025-02-24,0.0,,0.0,INR,NEFT,PAID,2025-03-26
INV00177,SUP015,COMP001,25700391.42,2025-12-06,0.0,,2.0,INR,NEFT,PENDING,
INV00178,SUP012,COMP001,22904550.26,2025-05-08,1.5,2025-05-28,1.5,INR,RTGS,PAID,2025-07-06
INV00179,SUP008,COMP001,24828369.78,2025-06-07,2.5,2025-06-22,1.0,INR,IMPS,PAID,2025-07-21
INV00180,SUP012,COMP001,42812191.69,2025-09-07,1.5,2025-09-27,0.0,INR,IMPS,PAID,2025-11-03
INV00181,SUP014,COMP001,57471684.56,2025-12-06,1.0,2025-12-21,2.0,INR,IMPS,PENDING,
INV00182,SUP005,COMP001,14577587.04,2025-07-03,0.0,,1.0,INR,NEFT,PAID,2025-08-15
INV00183,SUP007,COMP001,36329327.2,2025-12-11,2.5,2025-12-21,1.5,INR,NEFT,PENDING,
INV00184,SUP007,COMP001,59212941.81,2025-02-19,1.5,2025-03-01,1.5,INR,RTGS,PAID,2025-03-18
INV00185,SUP010,COMP001,42022669.81,2025-10-06,1.5,2025-10-26,0.0,INR,NEFT,PAID,2025-12-03
INV00186,SUP008,COMP001,16200364.13,2025-09-25,0.0,,0.0,INR,IMPS,PAID,2025-11-20
INV00187,SUP010,COMP001,9834321.03,2025-07-21,0.0,,1.5,INR,RTGS,OVERDUE,
INV00188,SUP004,COMP001,13955924.63,2025-10-11,2.0,2025-10-21,0.0,INR,RTGS,PAID,2025-11-09
INV00189,SUP012,COMP001,11560634.11,2025-06-26,0.0,,0.0,INR,IMPS,PAID,2025-08-25
INV00190,SUP002,COMP001,33263380.34,2025-04-10,2.0,2025-04-20,1.0,INR,CHEQUE,OVERDUE,
INV00191,SUP015,COMP001,13790443.32,2025-11-17,0.0,,1.5,INR,IMPS,PENDING,
INV00192,SUP002,COMP001,25990384.77,2025-10-21,0.0,,1.0,INR,NEFT,PAID,2025-11-20
INV00193,SUP014,COMP001,10907101.14,2025-07-01,2.5,2025-07-16,1.5,INR,CHEQUE,PAID,2025-08-12
INV00194,SUP003,COMP001,29941666.32,2025-09-04,0.0,,1.5,INR,CHEQUE,PAID,2025-09-16
INV00195,SUP005,COMP001,51949960.86,2025-03-02,1.5,2025-03-17,0.0,INR,CHEQUE,OVERDUE,
INV00196,SUP005,COMP001,48519338.88,2025-03-28,1.0,2025-04-12,2.0,INR,CHEQUE,PAID,2025-05-10
INV00197,SUP001,COMP001,59001510.19,2025-01-01,1.5,2025-01-11,0.0,INR,NEFT,PAID,2025-01-29
INV00198,SUP010,COMP001,40515769.14,2025-06-17,0.0,,2.0,INR,RTGS,PAID,2025-08-16
INV00199,SUP007,COMP001,15137166.71,2025-08-20,0.0,,0.0,INR,CHEQUE,PAID,2025-09-17
INV00200,SUP001,COMP001,5772139.02,2025-02-08,0.0,,0.0,INR,CHEQUE,PAID,2025-03-08
INV00201,SUP004,COMP001,54272235.08,2025-12-21,2.0,2025-12-31,1.0,INR,IMPS,PENDING,
INV00202,SUP002,COMP001,17565061.22,2025-09-22,0.0,,0.0,INR,IMPS,OVERDUE,
INV00203,SUP003,COMP001,39267007.7,2025-07-03,2.0,2025-07-10,0.0,INR,CHEQUE,PAID,2025-07-17
INV00204,SUP008,COMP001,9366595.43,2025-02-19,1.0,2025-03-06,1.0,INR,RTGS,PAID,2025-04-20
INV00205,SUP007,COMP001,59118384.12,2025-04-08,0.0,,1.0,INR,NEFT,PAID,2025-05-07
INV00206,SUP010,COMP001,47544705.26,2025-07-19,0.0,,2.0,INR,NEFT,PAID,2025-10-07
INV00207,SUP006,COMP001,37039778.02,2025-11-22,0.0,,0.0,INR,RTGS,PENDING,
INV00208,SUP005,COMP001,46623089.99,2025-03-30,0.0,,0.0,INR,RTGS,PAID,2025-05-27
INV00209,SUP012,COMP001,56994102.49,2025-05-21,2.0,2025-06-10,2.0,INR,RTGS,OVERDUE,
INV00210,SUP008,COMP001,56710986.15,2025-09-16,0.0,,2.0,INR,RTGS,PAID,2025-10-29
INV00211,SUP001,COMP001,34837993.69,2025-07-21,0.0,,2.0,INR,CHEQUE,PAID,2025-08-19
INV00212,SUP002,COMP001,19707219.96,2025-03-10,1.5,2025-03-20,1.5,INR,NEFT,PAID,2025-04-06
INV00213,SUP014,COMP001,9214229.01,2025-01-03,0.0,,0.0,INR,CHEQUE,PAID,2025-02-14
INV00214,SUP015,COMP001,54662962.52,2025-09-17,1.0,2025-10-02,0.0,INR,IMPS,PAID,2025-11-01
INV00215,SUP002,COMP001,13399327.05,2025-12-01,1.5,2025-12-11,1.0,INR,NEFT,PAID,2025-12-30
INV00216,SUP005,COMP001,13818086.85,2025-07-28,0.0,,0.0,INR,RTGS,PAID,2025-09-10
INV00217,SUP008,COMP001,16894007.97,2025-06-27,1.0,2025-07-12,1.0,INR,CHEQUE,PAID,2025-08-19
INV00218,SUP012,COMP001,54827715.33,2025-03-19,2.5,2025-04-08,0.0,INR,NEFT,PAID,2025-06-03
INV00219,SUP011,COMP001,8522364.74,2025-05-11,0.0,,1.0,INR,NEFT,PAID,2025-07-09
INV00220,SUP007,COMP001,45235935.9,2025-05-07,0.0,,1.5,INR,RTGS,PAID,2025-06-05
INV00221,SUP002,COMP001,43697613.1,2025-04-28,1.5,2025-05-08,1.5,INR,NEFT,PAID,2025-06-01
INV00222,SUP010,COMP001,23310648.38,2025-07-10,0.0,,0.0,INR,RTGS,PAID,2025-09-08
INV00223,SUP012,COMP001,28474262.63,2025-08-17,0.0,,1.5,INR,RTGS,PAID,2025-10-13
INV00224,SUP002,COMP001,50997373.5,2025-05-21,0.0,,0.0,INR,NEFT,PAID,2025-06-19
INV00225,SUP006,COMP001,37882349.86,2025-06-13,2.5,2025-06-28,1.0,INR,NEFT,PAID,2025-07-27
INV00226,SUP009,COMP001,16672552.88,2025-05-05,0.0,,1.0,INR,CHEQUE,PAID,2025-06-16
INV00227,SUP003,COMP001,40252700.65,2025-08-05,1.0,2025-08-12,2.0,INR,RTGS,PAID,2025-08-18
INV00228,SUP013,COMP001,6046468.77,2025-02-07,0.0,,0.0,INR,CHEQUE,PAID,2025-05-06
INV00229,SUP012,COMP001,49401958.53,2025-10-22,1.5,2025-11-11,1.0,INR,NEFT,PAID,2025-12-18
INV00230,SUP014,COMP001,4433867.0,2025-07-18,2.5,2025-08-02,1.0,INR,NEFT,PAID,2025-09-16
INV00231,SUP004,COMP001,26981555.06,2025-05-16,0.0,,0.0,INR,IMPS,OVERDUE,
INV00232,SUP010,COMP001,25309766.19,2025-07-24,2.5,2025-08-13,0.0,INR,CHEQUE,PAID,2025-09-22
INV00233,SUP006,COMP001,42169554.55,2025-08-11,1.0,2025-08-26,0.0,INR,IMPS,PAID,2025-09-24
INV00234,SUP012,COMP001,11463836.4,2025-01-19,2.0,2025-02-08,2.0,INR,IMPS,PAID,2025-04-16
INV00235,SUP004,COMP001,9293077.16,2025-07-26,0.0,,0.0,INR,IMPS,PAID,2025-08-25
