date,company_id,supplier_id,customer_id,invoice_id,receivable_id,obligation_id,transaction_id,amount,balance,status,name,issue_date,discount_percentage,discount_deadline,late_penalty_percentage,currency,payment_method,actual_payment_date,category,strategic_importance,strategic_importance_score,liquidity_risk,liquidity_risk_score,payment_terms_days,financing_available,financing_rate,invoice_date,expected_date,collection_probability,expected_delay_days,customer_name,industry,payment_terms,risk_category,total_historical_payments,on_time_payments,late_payments,on_time_probability,average_delay_days,payment_history_tier,description,due_date,priority,category_supplier,type,reference_type,reference_id,cash_account_id,opening_balance,daily_inflow,daily_outflow,available_balance,reserved_balance,deployable_cash
2025-02-07,COMP001,SUP008,,INV00021,,,,12441264.31,,PAID,Bharat Forge Ltd,2025-02-07,0.0,,1.0,INR,CHEQUE,2025-03-24,Forged Components,MEDIUM,0.68,MEDIUM,0.42,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15,COMP001,SUP006,,INV00022,,,,12113087.75,,PAID,Apollo Tyres Ltd,2025-09-15,2.0,2025-09-30,2.0,INR,CHEQUE,2025-10-30,Tyres,MEDIUM,0.65,MEDIUM,0.4,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10,COMP001,SUP007,,INV00023,,,,14495537.69,,PAID,Motherson Sumi Systems Ltd,2025-11-10,2.5,2025-11-20,0.0,INR,RTGS,2025-12-09,Electrical,MEDIUM,0.7,MEDIUM,0.38,30.0,True,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,COMP001,SUP003,,INV00024,,,,17622135.85,,PENDING,Bosch Ltd,2025-12-18,2.0,2025-12-25,2.0,INR,NEFT,,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27,COMP001,SUP009,,INV00025,,,,42164561.89,,PAID,Sundaram-Clayton Ltd,2025-04-27,1.0,2025-05-12,1.5,INR,NEFT,2025-06-09,Aluminium Castings,MEDIUM,0.6,MEDIUM,0.45,45.0,True,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-17,COMP001,SUP013,,INV00026,,,,22048776.9,,OVERDUE,3M India Ltd,2025-10-17,0.0,,0.0,INR,NEFT,,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,COMP001,SUP007,,INV00027,,,,20965891.37,,PAID,Motherson Sumi Systems Ltd,2025-02-01,0.0,,1.0,INR,RTGS,2025-03-01,Electrical,MEDIUM,0.7,MEDIUM,0.38,30.0,True,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23,COMP001,SUP001,,INV00028,,,,33227923.52,,PAID,Tata Steel Ltd,2025-10-23,0.0,,1.0,INR,NEFT,2025-11-19,Raw Materials,CRITICAL,0.93,LOW,0.12,30.0,True,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-06,COMP001,SUP003,,INV00029,,,,33258803.06,,OVERDUE,Bosch Ltd,2025-06-06,0.0,,1.5,INR,NEFT,,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01,COMP001,SUP001,,INV00030,,,,16201189.95,,PAID,Tata Steel Ltd,2025-07-01,1.5,2025-07-11,0.0,INR,CHEQUE,2025-07-29,Raw Materials,CRITICAL,0.93,LOW,0.12,30.0,True,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-12,COMP001,SUP015,,INV00031,,,,16962562.82,,PAID,Castrol India Ltd,2025-07-12,0.0,,0.0,INR,NEFT,2025-08-25,Lubricants,LOW,0.22,HIGH,0.72,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25,COMP001,SUP004,,INV00032,,,,38381645.65,,PAID,Denso India Pvt Ltd,2025-06-25,2.5,2025-07-05,0.0,INR,NEFT,2025-07-22,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-21,COMP001,SUP002,,INV00033,,,,51109113.32,,PENDING,JSW Steel Ltd,2025-12-21,2.0,2025-12-31,1.0,INR,CHEQUE,,Raw Materials,CRITICAL,0.88,LOW,0.15,30.0,True,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-12,COMP001,SUP015,,INV00034,,,,46757435.6,,PAID,Castrol India Ltd,2025-07-12,2.0,2025-07-27,1.0,INR,IMPS,2025-08-30,Lubricants,LOW,0.22,HIGH,0.72,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29,COMP001,SUP005,,INV00035,,,,16878072.34,,PAID,MRF Ltd,2025-09-29,0.0,,0.0,INR,IMPS,2025-11-13,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-07,COMP001,SUP005,,INV00036,,,,38416832.5,,PAID,MRF Ltd,2025-06-07,0.0,,0.0,INR,CHEQUE,2025-08-08,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05,COMP001,SUP001,,INV00037,,,,45391163.71,,PAID,Tata Steel Ltd,2025-11-05,0.0,,1.5,INR,NEFT,2025-12-10,Raw Materials,CRITICAL,0.93,LOW,0.12,30.0,True,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15,COMP001,SUP008,,INV00038,,,,27271686.0,,PAID,Bharat Forge Ltd,2025-08-15,2.5,2025-08-30,1.0,INR,RTGS,2025-09-29,Forged Components,MEDIUM,0.68,MEDIUM,0.42,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-27,COMP001,SUP015,,INV00039,,,,25707443.11,,PAID,Castrol India Ltd,2025-05-27,0.0,,0.0,INR,IMPS,2025-07-08,Lubricants,LOW,0.22,HIGH,0.72,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-01,COMP001,SUP006,,INV00040,,,,7851856.43,,PAID,Apollo Tyres Ltd,2025-11-01,0.0,,0.0,INR,NEFT,2025-12-13,Tyres,MEDIUM,0.65,MEDIUM,0.4,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-05,COMP001,SUP004,,INV00041,,,,53341948.69,,PAID,Denso India Pvt Ltd,2025-08-05,2.0,2025-08-15,2.0,INR,NEFT,2025-09-02,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15,COMP001,SUP004,,INV00042,,,,41062700.77,,PAID,Denso India Pvt Ltd,2025-04-15,0.0,,0.0,INR,CHEQUE,2025-05-30,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-04,COMP001,SUP005,,INV00043,,,,50760615.05,,PAID,MRF Ltd,2025-04-04,2.5,2025-04-19,1.0,INR,RTGS,2025-05-23,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-05,COMP001,SUP005,,INV00044,,,,45850148.1,,PAID,MRF Ltd,2025-04-05,1.0,2025-04-20,0.0,INR,NEFT,2025-05-18,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-23,COMP001,SUP005,,INV00045,,,,45917034.35,,PAID,MRF Ltd,2025-03-23,2.0,2025-04-07,0.0,INR,NEFT,2025-05-10,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-31,COMP001,SUP005,,INV00046,,,,25295955.07,,PAID,MRF Ltd,2025-08-31,0.0,,2.0,INR,CHEQUE,2025-10-13,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-18,COMP001,SUP014,,INV00047,,,,17380113.34,,PAID,Asian Paints Industrial,2025-08-18,0.0,,0.0,INR,CHEQUE,2025-10-01,Paints,LOW,0.25,HIGH,0.7,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19,COMP001,SUP006,,INV00048,,,,10338834.65,,PAID,Apollo Tyres Ltd,2025-09-19,1.5,2025-10-04,0.0,INR,IMPS,2025-11-03,Tyres,MEDIUM,0.65,MEDIUM,0.4,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-12,COMP001,SUP004,,INV00049,,,,27796321.66,,PAID,Denso India Pvt Ltd,2025-10-12,0.0,,2.0,INR,NEFT,2025-11-08,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-12,COMP001,SUP010,,INV00050,,,,3600999.38,,PAID,Valeo India Pvt Ltd,2025-02-12,0.0,,1.5,INR,CHEQUE,2025-04-13,Lighting Systems,MEDIUM,0.55,MEDIUM,0.5,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-15,COMP001,SUP004,,INV00051,,,,47270989.44,,PAID,Denso India Pvt Ltd,2025-02-15,0.0,,0.0,INR,NEFT,2025-03-15,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08,COMP001,SUP012,,INV00052,,,,12874275.97,,PAID,Saint-Gobain India,2025-06-08,1.5,2025-06-28,0.0,INR,NEFT,2025-08-05,Glass,LOW,0.3,HIGH,0.65,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22,COMP001,SUP001,,INV00053,,,,19972961.58,,PAID,Tata Steel Ltd,2025-04-22,0.0,,2.0,INR,NEFT,2025-05-20,Raw Materials,CRITICAL,0.93,LOW,0.12,30.0,True,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-05,COMP001,SUP008,,INV00054,,,,38143020.93,,PAID,Bharat Forge Ltd,2025-10-05,0.0,,1.0,INR,RTGS,2025-11-17,Forged Components,MEDIUM,0.68,MEDIUM,0.42,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-11,COMP001,SUP012,,INV00055,,,,56763705.74,,PAID,Saint-Gobain India,2025-10-11,0.0,,0.0,INR,CHEQUE,2025-12-16,Glass,LOW,0.3,HIGH,0.65,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-27,COMP001,SUP010,,INV00056,,,,34770833.25,,PAID,Valeo India Pvt Ltd,2025-06-27,2.0,2025-07-17,2.0,INR,IMPS,2025-08-24,Lighting Systems,MEDIUM,0.55,MEDIUM,0.5,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-07,COMP001,SUP003,,INV00057,,,,27858510.24,,OVERDUE,Bosch Ltd,2025-03-07,0.0,,2.0,INR,IMPS,,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-30,COMP001,SUP009,,INV00058,,,,50538408.21,,PAID,Sundaram-Clayton Ltd,2025-05-30,0.0,,2.0,INR,IMPS,2025-07-18,Aluminium Castings,MEDIUM,0.6,MEDIUM,0.45,45.0,True,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09,COMP001,SUP012,,INV00059,,,,19848338.16,,PAID,Saint-Gobain India,2025-10-09,2.0,2025-10-29,1.0,INR,CHEQUE,2025-12-07,Glass,LOW,0.3,HIGH,0.65,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,COMP001,SUP001,,INV00060,,,,38837615.08,,OVERDUE,Tata Steel Ltd,2025-03-31,1.0,2025-04-10,1.5,INR,CHEQUE,,Raw Materials,CRITICAL,0.93,LOW,0.12,30.0,True,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-14,COMP001,SUP009,,INV00061,,,,24239668.61,,PAID,Sundaram-Clayton Ltd,2025-07-14,2.0,2025-07-29,1.5,INR,IMPS,2025-08-27,Aluminium Castings,MEDIUM,0.6,MEDIUM,0.45,45.0,True,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,COMP001,SUP013,,INV00062,,,,10672995.8,,PAID,3M India Ltd,2025-06-30,0.0,,0.0,INR,NEFT,2025-08-27,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-02,COMP001,SUP010,,INV00063,,,,36835476.8,,PAID,Valeo India Pvt Ltd,2025-05-02,1.5,2025-05-22,1.0,INR,IMPS,2025-06-30,Lighting Systems,MEDIUM,0.55,MEDIUM,0.5,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08,COMP001,SUP003,,INV00064,,,,53546999.83,,OVERDUE,Bosch Ltd,2025-12-08,2.5,2025-12-15,0.0,INR,IMPS,,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14,COMP001,SUP011,,INV00065,,,,34242370.49,,PAID,ZF Commercial Vehicle Control,2025-01-14,1.5,2025-02-03,1.0,INR,RTGS,2025-03-14,Brakes,MEDIUM,0.62,MEDIUM,0.44,60.0,True,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05,COMP001,SUP005,,INV00066,,,,27750119.94,,PAID,MRF Ltd,2025-06-05,1.0,2025-06-20,0.0,INR,IMPS,2025-07-17,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02,COMP001,SUP004,,INV00067,,,,40120095.59,,PAID,Denso India Pvt Ltd,2025-09-02,1.0,2025-09-12,1.0,INR,RTGS,2025-10-03,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21,COMP001,SUP003,,INV00068,,,,49239259.07,,OVERDUE,Bosch Ltd,2025-08-21,0.0,,1.0,INR,RTGS,,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01,COMP001,SUP015,,INV00069,,,,47219422.93,,PAID,Castrol India Ltd,2025-07-01,1.5,2025-07-16,0.0,INR,NEFT,2025-08-14,Lubricants,LOW,0.22,HIGH,0.72,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-08,COMP001,SUP012,,INV00070,,,,28709129.31,,PAID,Saint-Gobain India,2025-01-08,2.0,2025-01-28,2.0,INR,CHEQUE,2025-03-09,Glass,LOW,0.3,HIGH,0.65,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-23,COMP001,SUP004,,INV00071,,,,37606917.5,,OVERDUE,Denso India Pvt Ltd,2025-01-23,0.0,,1.5,INR,RTGS,,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09,COMP001,SUP014,,INV00072,,,,29085572.26,,PAID,Asian Paints Industrial,2025-10-09,2.5,2025-10-24,2.0,INR,NEFT,2025-11-25,Paints,LOW,0.25,HIGH,0.7,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29,COMP001,SUP005,,INV00073,,,,38636448.2,,PAID,MRF Ltd,2025-01-29,2.0,2025-02-13,0.0,INR,CHEQUE,2025-03-31,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11,COMP001,SUP013,,INV00074,,,,19201374.04,,PAID,3M India Ltd,2025-03-11,0.0,,0.0,INR,NEFT,2025-05-29,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-10,COMP001,SUP014,,INV00075,,,,33567438.77,,PAID,Asian Paints Industrial,2025-07-10,0.0,,1.5,INR,IMPS,2025-08-22,Paints,LOW,0.25,HIGH,0.7,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-10,COMP001,SUP008,,INV00076,,,,25182057.86,,PAID,Bharat Forge Ltd,2025-02-10,1.0,2025-02-25,1.0,INR,IMPS,2025-03-26,Forged Components,MEDIUM,0.68,MEDIUM,0.42,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16,COMP001,SUP013,,INV00077,,,,43034507.6,,PAID,3M India Ltd,2025-01-16,0.0,,0.0,INR,NEFT,2025-03-16,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-11,COMP001,SUP005,,INV00078,,,,21346416.85,,OVERDUE,MRF Ltd,2025-05-11,0.0,,1.5,INR,RTGS,,Tyres,MEDIUM,0.72,MEDIUM,0.35,45.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26,COMP001,SUP006,,INV00079,,,,3344718.31,,PAID,Apollo Tyres Ltd,2025-03-26,1.5,2025-04-10,1.5,INR,CHEQUE,2025-05-07,Tyres,MEDIUM,0.65,MEDIUM,0.4,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13,COMP001,SUP011,,INV00080,,,,44696490.19,,PAID,ZF Commercial Vehicle Control,2025-06-13,0.0,,1.0,INR,RTGS,2025-08-14,Brakes,MEDIUM,0.62,MEDIUM,0.44,60.0,True,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,COMP001,SUP009,,INV00081,,,,34620205.16,,PAID,Sundaram-Clayton Ltd,2025-07-24,1.5,2025-08-08,0.0,INR,CHEQUE,2025-09-07,Aluminium Castings,MEDIUM,0.6,MEDIUM,0.45,45.0,True,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19,COMP001,SUP013,,INV00082,,,,25615769.83,,PENDING,3M India Ltd,2025-12-19,0.0,,1.5,INR,IMPS,,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-02,COMP001,SUP004,,INV00083,,,,8101130.34,,PAID,Denso India Pvt Ltd,2025-02-02,2.0,2025-02-12,0.0,INR,CHEQUE,2025-03-03,Engine Components,CRITICAL,0.87,LOW,0.18,30.0,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-28,COMP001,SUP012,,INV00084,,,,57681582.35,,PAID,Saint-Gobain India,2025-07-28,0.0,,1.0,INR,NEFT,2025-09-26,Glass,LOW,0.3,HIGH,0.65,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-19,COMP001,SUP002,,INV00085,,,,29831214.31,,PAID,JSW Steel Ltd,2025-11-19,0.0,,1.0,INR,CHEQUE,2025-12-19,Raw Materials,CRITICAL,0.88,LOW,0.15,30.0,True,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,COMP001,SUP003,,INV00086,,,,34701476.05,,PAID,Bosch Ltd,2025-12-01,2.0,2025-12-08,1.5,INR,CHEQUE,2025-12-15,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-15,COMP001,SUP010,,INV00087,,,,30429227.65,,OVERDUE,Valeo India Pvt Ltd,2025-03-15,0.0,,0.0,INR,CHEQUE,,Lighting Systems,MEDIUM,0.55,MEDIUM,0.5,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-04,COMP001,SUP008,,INV00088,,,,28914358.47,,PAID,Bharat Forge Ltd,2025-04-04,1.5,2025-04-19,1.5,INR,IMPS,2025-05-16,Forged Components,MEDIUM,0.68,MEDIUM,0.42,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,COMP001,SUP013,,INV00089,,,,30582012.26,,PAID,3M India Ltd,2025-02-20,2.0,2025-03-12,1.5,INR,RTGS,2025-04-18,Consumables,LOW,0.28,HIGH,0.68,60.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-15,COMP001,SUP001,,INV00090,,,,27850283.64,,PAID,Tata Steel Ltd,2025-07-15,0.0,,0.0,INR,RTGS,2025-08-14,Raw Materials,CRITICAL,0.93,LOW,0.12,30.0,True,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-08,COMP001,SUP015,,INV00091,,,,27489949.4,,PAID,Castrol India Ltd,2025-10-08,1.5,2025-10-23,0.0,INR,NEFT,2025-11-21,Lubricants,LOW,0.22,HIGH,0.72,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23,COMP001,SUP003,,INV00092,,,,46969708.86,,PAID,Bosch Ltd,2025-04-23,0.0,,0.0,INR,IMPS,2025-05-09,Engine Components,CRITICAL,0.91,LOW,0.1,15.0,True,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
