decision_item_id,decision_id,invoice_id,action,amount,score,expected_cost,expected_benefit,risk_score
DI046BCF7A,DEC76D45A08,OBL00133,PAY_NOW,30973870.07,0.87,1387225.24,369432.88,0.3
DIAEC964CB,DEC6EAE39E9,OBL00158,PAY_NOW,22608344.09,0.81,897281.61,450295.32,0.41
DI571190CA,DEC4069169A,OBL00057,PAY_NOW,39069057.45,0.9,1302676.54,551013.02,0.27
DIA4F8D88B,DEC893FFD4B,OBL00246,PAY_NOW,15638549.14,0.83,477638.51,241080.9,0.16
DIADE030DF,DECD747DED2,OBL00083,PAY_NOW,30543549.2,0.91,1279899.37,662189.18,0.27
DI5549C672,DEC68508448,OBL00209,PAY_NOW,25398427.4,0.86,498664.45,597257.31,0.33
DI79ECA755,DEC333FF3A7,OBL00134,PAY_NOW,13757661.91,0.84,665642.7,133462.79,0.18
DI7AF4DFA1,DEC86CBD24C,OBL00165,PAY_NOW,19638379.54,0.95,842866.09,287675.05,0.21
DI2258CAC9,DEC98115CC1,OBL00163,PAY_NOW,28661246.8,0.85,881365.15,474496.5,0.19
DIA650D65E,DEC0AED67C2,OBL00243,PAY_NOW,33019819.02,0.88,1115925.82,190430.44,0.35
DID624E7B5,DECBD53BB94,OBL00236,PAY_NOW,13795135.07,0.94,488890.59,216379.64,0.3
DI1F05E0D2,DECB43638A3,OBL00045,PAY_NOW,25835068.49,0.85,314317.76,177519.55,0.13
DIBAA1DEB1,DEC1386E8D3,OBL00007,PAY_NOW,37435616.2,0.86,616117.09,821082.53,0.86
DID1D99193,DEC4FEF25CC,OBL00200,PAY_NOW,36412222.53,0.81,1490418.67,358295.3,0.18
DI26611D2C,DEC537CDB70,OBL00111,PAY_NOW,12911339.06,0.95,326716.0,82546.25,0.12
DIC2FCA990,DEC104FE5EC,OBL00062,PAY_NOW,23616050.69,0.8,903094.5,338012.29,0.85
DIF3E40EA6,DECA8E9DBF3,OBL00139,PAY_NOW,33434884.13,0.89,1087902.7,725548.29,0.83
DI53900791,DEC6E01168F,OBL00052,PAY_NOW,32350865.03,0.91,673754.61,425599.58,0.29
DIFAB57934,DEC69DBF99C,OBL00253,PAY_AT_MATURITY,10460751.72,0.77,150603.84,205516.03,0.63
DIE59261EA,DEC045111FA,OBL00145,PAY_NOW,11648142.53,0.86,475090.75,189676.29,0.57
DIBC69A19F,DEC9CEABEDA,OBL00220,PAY_NOW,28952444.91,0.88,1260828.99,457947.97,0.39
DI23916A0C,DECEF0527E3,OBL00085,PAY_NOW,39411622.11,0.9,1089559.99,420606.22,0.9
DI0D45B748,DECA1010581,OBL00003,PAY_NOW,34419053.47,0.88,717068.36,682036.62,0.47
DIA132173D,DEC1A91A281,OBL00064,PAY_NOW,31920579.66,0.89,428051.36,863446.6,0.89
DIA46EFBA8,DECC235E54E,OBL00038,PAY_NOW,11761338.25,0.87,468284.15,110763.18,0.59
DI66C6C505,DECFA222DE9,OBL00156,CAPTURE_DISCOUNT,11250618.54,0.82,179834.93,122743.11,0.46
DID14EBF7A,DEC979A7FBE,OBL00077,PAY_NOW,21315280.95,0.86,382565.34,275037.74,0.12
DIC3ACA4D1,DEC4EE46F66,OBL00142,PAY_NOW,35706424.08,0.82,1636798.01,579148.98,0.18
DI7F3A0231,DEC9686433D,OBL00146,PAY_AT_MATURITY,7972437.49,0.79,348125.82,225581.28,0.76
DI00187CE1,DEC10FAE86C,OBL00196,PAY_NOW,28413098.06,0.9,1151509.61,531403.33,0.83
DI2DC8A1E1,DEC077EFC6F,OBL00087,PAY_NOW,34286585.73,0.95,1317030.95,785346.86,0.14
DI7B890808,DECA5ABACB7,OBL00047,PAY_NOW,10167162.64,0.84,329935.75,232734.76,0.69
DIE544089A,DECD6A590B8,OBL00010,PAY_NOW,32051385.72,0.92,889804.63,332775.67,0.23
DI15CF952C,DEC715D59BD,OBL00143,PAY_AT_MATURITY,3120800.11,0.75,106183.96,18266.64,0.6
DIA2CD1BB4,DECE5C3C7E7,OBL00154,PAY_NOW,16615509.74,0.94,760883.79,340570.63,0.76
DI498C2FE8,DECDF1200F7,OBL00093,PAY_NOW,8594388.13,0.87,89882.66,115990.15,0.17
DI62B7038A,DEC59811C4D,OBL00025,PAY_AT_MATURITY,16010551.69,0.79,672808.86,467006.49,0.61
DIBBBE440D,DEC8A4E1FD5,OBL00140,PAY_NOW,21595839.01,0.9,584922.79,391265.35,0.84
DI3D24B6FA,DEC80C19FDC,OBL00073,PAY_NOW,26981295.41,0.92,1235299.52,361409.35,0.64
DI920B58BC,DEC7D1D2DD7,OBL00225,PAY_NOW,38876616.79,0.83,1191552.06,777794.97,0.44
DI3FA28089,DECB274ABEE,OBL00112,PAY_NOW,24710748.74,0.94,337148.89,471882.62,0.62
DIDD83A638,DEC879AA394,OBL00135,PAY_NOW,13338086.12,0.87,333991.99,310434.45,0.49
DIB169F6AE,DEC8C230617,OBL00153,PAY_NOW,6812413.99,0.82,194138.68,102398.64,0.85
DIF984E740,DEC4CF28844,OBL00086,PAY_NOW,9369374.64,0.88,150543.6,112647.46,0.56
DI2A57B229,DECB646B6F8,OBL00049,PAY_NOW,5702797.36,0.84,181174.63,145200.1,0.1
DIB91B98F4,DEC1E7982B5,OBL00017,PAY_NOW,38817942.58,0.91,1291807.69,474086.57,0.65
DID30B40BD,DEC889215C0,OBL00128,PAY_NOW,39906487.31,0.81,502530.95,892593.86,0.72
DIC25D7052,DECE5CFE738,OBL00103,PAY_NOW,11327502.68,0.83,299412.94,237535.86,0.35
DI6E00C3E6,DEC1584C519,OBL00237,PAY_AT_MATURITY,13213786.38,0.81,189569.34,289294.12,0.2
DIADCF40D3,DEC258C13EF,OBL00015,PAY_NOW,27057719.07,0.89,1260365.77,781150.68,0.85
DI8176DFBA,DEC1505638E,OBL00127,PAY_NOW,16503314.36,0.81,351943.0,358633.35,0.87
DI50560EC2,DECC1121128,OBL00212,PAY_AT_MATURITY,5664292.23,0.82,105589.33,130337.22,0.85
